id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,BU(R) #post,BU(R) #pre,#voxels
484130600,SMP145_R,,SMP145,Traced,3609,2264,4,11,,1,2489431605
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,583,50,,4,2008584360
675136878,CRE070_R,,CRE070,Traced,2002,703,11,7,,2,1301294761
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,12,9,,2,1598047565
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3,1,105,352,4148353890
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,2,2,148,474,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1,,29,28,2079662476
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,6,4,108,11,1212692476
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,3,1,106,8,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1,2,109,3,1166760517
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,4,1,115,9,1211989816
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,6,3,127,11,1292065740
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,15,,1,3,3658564958
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,9,3,116,6,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,5,4,127,9,1174302319
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,8,6,118,16,1246980226
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,4,2,109,11,1276005185
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,4,5,110,5,1148479791
1513674176,ER4d(ring)_R,,ER4d,Traced,1993,588,2,2,122,15,1182276480
