id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,#voxels
265660453,,,,Traced,285,96,5,11,204964257
328935472,SMP147_R,,SMP147,Traced,6231,275,61,192,2309018467
360958913,mAL1_L,,mAL1,Traced,237,148,4,1,458789583
361445621,SMP108(ADM05)_L,,SMP108,Traced,11702,2349,7,5,3653164758
362866879,CRE083(PDM13)_L,,CRE083,Traced,533,265,8,2,820474952
386280932,FC2B(FQ7)_C7_R,FB1d356CRE,FC2B,Traced,2270,200,17,8,451954908
388954086,SMP184_R,,SMP184,Traced,2847,753,133,177,2138517487
390486371,SMP147(ADM10)_L,,SMP147,Traced,3155,671,317,3,2087229086
390616496,mAL1_L,,mAL1,Traced,248,181,7,1,529599497
390818643,SMP188(PDL05)_L,,SMP188,Traced,950,471,31,70,687666518
391497219,,,,Traced,355,43,1,3,122908737
422738252,SMP178_R,,SMP178,Traced,6049,1058,3,1,2124179274
422751191,SMP177_R,,SMP177,Traced,13884,2333,7,21,3691832933
423096449,SMP007_R,aSP14d candidates,SMP007,Traced,604,334,11,37,646783743
424434994,SIP064_R,,SIP064,Traced,2762,1105,18,38,1777201692
424582092,CRE083(PDM13)_L,,CRE083,Traced,645,301,10,2,853925507
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,92,3,2320900064
451365099,SMP371_R,,SMP371,Traced,1796,829,6,15,1668340692
452694446,mAL1_L,,mAL1,Traced,359,134,2,1,501827686
454589830,,,,Traced,137,205,54,75,145726543
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,6,8,1994134905
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,66,226,1542373100
483797945,SMP007_R,aSP14d candidates,SMP007,Traced,784,404,37,80,722050724
484130600,SMP145_R,,SMP145,Traced,3609,2264,4,11,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,1,1,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,35,29,2422546196
485589846,SMP157(ADM12)_L,,SMP157,Traced,1312,474,26,29,1008657922
485926760,FB4E_L,CRELALFB4_1,FB4E,Traced,788,138,30,3,296309896
485934965,oviIN_L,,oviIN,Traced,15998,6542,795,7,8493821787
486315287,FB5H_L,CRESMPFB5_3,FB5H,Traced,3530,1414,20,1,1336169619
