id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,NO #post,NO #pre,#voxels
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,76,21,809,341,3103732460
724267537,PFNv(PB05)_R5_C6,PFNv,PFNv,Traced,1294,324,1,,610,160,557959797
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,63,16,,1,552011293
1100796921,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2493,2346,1,2,272,144,1593973477
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,1,1,310,157,1579340978
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,27,5,1019,171,1390563331
1224945418,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1475,1010,1,1,155,48,638450431
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,5,9,13,7,5492683352
1480084038,LNO1(LAL-NO2b)_L,,LNO1,Traced,1391,502,5,,1382,502,597456784
1480084042,LNO1(LAL-NO2b)_L,,LNO1,Traced,1337,462,2,,1332,462,576390069
1509435552,LNO2(LAL-NO2a)_L,,LNO2,Traced,3120,959,1,,3116,953,1221278913
1509439784,GLNO(LAL-NO1)_L,LGNO,GLNO,Traced,901,475,1,,894,474,401598108
1568711739,LCNOp(LAL-NO3p)_L,LCNp,LCNOp,Traced,2262,384,1222,11,781,373,968794750
1787727412,,,,Traced,95,131,90,120,,1,76377992
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,144,95,3486100136
