id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,b'L(R) #post,b'L(R) #pre,#voxels
422751191,SMP177_R,,SMP177,Traced,13884,2333,7,21,17,5,3691832933
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,,1109,3,4356555624
484130600,SMP145_R,,SMP145,Traced,3609,2264,4,11,10,6,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,1,1,11,1,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,35,29,2,9,2422546196
487187476,SIP087_R,,SIP087,Traced,10957,3440,31,37,26,3,4036468535
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,11,7,14,4,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,12,1,382607989
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,72,82,,4,1640712084
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,2,1,13,3,324988292
641157199,,,,Traced,141,128,6,5,,2,234093042
641688553,CRE042_R,,CRE042,Traced,6850,1277,140,103,47,1,2405591250
675136878,CRE070_R,,CRE070,Traced,2002,703,11,7,5,1,1301294761
702704906,CRE058_R,,CRE058,Traced,463,147,4,2,1,3,394131167
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,1,1,10,2,311089027
732038980,,,,Traced,56,128,4,6,,1,128253142
733920949,,,,Traced,214,149,4,11,,2,239346092
767174553,CRE058_R,,CRE058,Traced,286,141,3,12,1,1,356082675
798892246,CRE058_R,,CRE058,Traced,338,167,6,8,,2,404837069
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,3,7,3,135248805
829939688,CRE058_R,,CRE058,Traced,447,171,5,14,2,4,468137590
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,59,76,734,3,2722993954
895441451,MBON26(B'2d)_R,,MBON26,Traced,11560,1283,45,60,3956,7,2786939491
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,8,,172,78,294789403
1015484487,,,,Traced,623,710,30,18,5,3,523595977
1016506999,LAL198_R,,LAL198,Traced,2427,780,1,8,3,1,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,2,,5817,59,2083130629
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,758,13,1,1,760736824
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,79,2,300,72,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,3,,6260,92,2226046804
1048250312,LAL155_R,,LAL155,Traced,2385,591,26,46,,1,1317529596
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,7,1,367958807
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,29,,,1,265742623
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,31,1,193,99,282949058
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,,2,2,296229744
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,27,,9,1,216360555
1286315478,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2212,893,9,,6,3,905540252
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,5,,6,2,225739136
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,7,,6,1,917030170
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,61,44,10,6,3325948715
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,17,1,2,2,3349981626
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,19,57,44,2,3288021127
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,12,10,3486100136
