id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,gL(R) #post,gL(R) #pre,#voxels
361445621,SMP108(ADM05)_L,,SMP108,Traced,11702,2349,7,5,9,3,3653164758
422738252,SMP178_R,,SMP178,Traced,6049,1058,3,1,6,3,2124179274
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,,82,2,4356555624
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,6,8,33,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,4,11,14,6,2489431605
488922181,SMP048_R,,SMP048,Traced,5146,2705,67,182,2,1,5638174363
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,1,4,14,7,3738265959
550426732,CRE107(SCB016)_L,,CRE107,Traced,3948,1079,67,7,33,7,2914412525
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,1,6,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,227,88,2,7,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,259,130,12,4,979623989
610731053,CRE027_R,,CRE027,Traced,1623,294,8,3,23,6,1208551353
611323175,mALB1_L,,mALB1,Traced,3606,1903,4,,4,1,3507551623
612755343,CRE023_L,,CRE023,Traced,2297,801,108,53,24,1,2214780944
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,2,5,7,1,748302593
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,251,343,7289,42,4367730421
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,22,49,37,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,44,13,15,5,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,5,4,4,1,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,4,13,8,1,468734043
644450565,CRE005_R,,CRE005,Traced,1857,858,28,49,7,3,1442612455
675144948,CRE031_L,,CRE031,Traced,654,198,24,27,10,2,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,9,1,3,16,611705625
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,13,25,29,4,739581338
701371011,SMP370_R,,SMP370,Traced,1736,699,73,127,8,2,2101402424
704816317,,,,Traced,925,1100,2,11,2,2,1390622287
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,12,9,13,12,1598047565
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,4,2,475,195,2704741582
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,25,1,41,4,1511191160
