id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,BU(L) #post,BU(L) #pre,#voxels
296497316,SAF(FB9)_R,SlpAF,SAF,Traced,657,131,2,,4,2,378275835
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,,1,6917059458
488922181,SMP048_R,,SMP048,Traced,5146,2705,258,463,2,1,5638174363
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,70,47,15,19,1838016114
667241165,SMP192_R,,SMP192,Traced,1173,486,244,194,4,2,1254196663
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,180,123,46,83,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,535,40,569,12,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,403,31,518,9,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,13,7,134,279,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,795,40,505,16,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,707,42,607,12,3339909507
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,43,4,7,3,1724906752
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,4,8,112,172,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,7,3,161,191,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,9,8,164,186,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,147,67,10,2,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,8,7,1935836510
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,86,171,,7,1439854944
1012954687,AVLP160_R,,AVLP160,Traced,2820,618,2,,1,1,2033167432
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1440,157,143,276,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,68,50,22,23,2079662476
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,96,160,3,7,1375874653
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,168,120,46,81,1198248632
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,804,144,73,117,1472264855
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,92,177,3,2,1412316280
1354951374,,,,Traced,68,78,3,7,4,4,211741494
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,550,132,86,139,1184449527
1570111396,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1118,147,4,4,4,1,291314908
1572390197,LAL074_R,SpVeL-LSpIp(c)1,LAL074,Traced,5490,41,3232,20,1,2,1921960807
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,135,175,,8,1478126146
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,11,7,25,31,1931391198
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,5,2,3486100136
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,11,3,149,197,1770276774
