id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,2,9,6917059458
357224041,LHPV5l1_R,,LHPV5l1,Traced,3696,1252,159,88,1,17,2184662669
358593042,SMP292_R,,SMP292,Traced,908,386,298,97,20,6,938899817
417221397,SMP238_R,,SMP238,Traced,1837,1162,37,47,7,27,2118638793
449975227,SMP293_R,,SMP293,Traced,845,395,197,59,5,1,850584484
484130600,SMP145_R,,SMP145,Traced,3609,2264,202,235,,1,2489431605
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,70,47,32,39,1838016114
549597974,SMP142_R,,SMP142,Traced,3235,2217,219,230,,2,2511194126
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,780,571,,4,2008584360
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,512,54,9,3,1823088730
613040803,CRE049_R,,CRE049,Traced,2229,750,101,12,1,1,1511757943
667241165,SMP192_R,,SMP192,Traced,1173,486,244,194,4,3,1254196663
673746538,SMP018_a_R,,SMP018_a,Traced,731,136,12,,1,1,457727412
675136878,CRE070_R,,CRE070,Traced,2002,703,88,2,,2,1301294761
730005624,SMP016_b_R,,SMP016_b,Traced,616,173,152,3,,2,566163893
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,48,59,,2,1598047565
760021137,SMP016_b_R,,SMP016_b,Traced,573,151,104,4,1,3,513719955
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,180,123,148,256,1165397767
824128501,LAL030_b_R,,LAL030_b,Traced,573,196,109,96,,1,339328650
825822254,LAL030_b_R,,LAL030_b,Traced,698,182,155,89,1,1,366896016
861583205,AOTU030_R,,AOTU030,Traced,809,325,145,25,,2,624827084
894702888,LAL013_R,,LAL013,Traced,2190,934,1204,284,6,5,1654988582
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,535,40,1122,14,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,403,31,813,14,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,13,7,105,352,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,795,40,1367,12,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,707,42,1452,17,3339909507
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,4,8,245,221,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,7,3,205,246,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,9,8,276,282,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,147,67,4,3,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,52,41,1935836510
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,86,171,4,8,1439854944
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1440,157,148,474,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,68,50,29,28,2079662476
1046726261,TuBu01_ABU_R,,TuBu01,Traced,577,136,24,2,49,133,392624531
1047426385,TuBu01_ABU_R,,TuBu01,Traced,525,119,15,28,51,89,366681305
1072063538,DNp27_R,,DNp27,Traced,6792,2658,10,23,,11,16654541697
1077459077,TuBu01_ABU_R,,TuBu01,Traced,441,118,6,,61,117,382028749
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,96,160,8,8,1375874653
1108166986,TuBu02_IBU_R,,TuBu02,Traced,175,82,7,22,18,59,239818604
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,17,2,8,9,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,168,120,87,211,1198248632
1137210821,ER2_c(ring)_R,,ER2_c,Traced,1460,456,4,,98,1,985250752
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,1,,108,11,1212692476
1167563121,ER2_a(ring)_R,,ER2_a,Traced,1385,446,1,,92,1,943354421
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,10,1,170,2,1876942269
1167896065,ER2_c(ring)_R,,ER2_c,Traced,1449,480,2,,105,1,1142260345
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,3,,106,3,1009871327
1168249921,ER2_d(ring)_R,,ER2_d,Traced,1281,372,5,,101,2,857061165
1168923315,ER2_b(ring)_R,,ER2_b,Traced,1238,383,1,,88,5,841422242
1169576040,TuBu02_IBU_R,,TuBu02,Traced,142,94,7,9,15,84,214404313
1169898618,TuBu01_ABU_R,,TuBu01,Traced,367,140,10,8,60,121,339752853
1198326456,ER4m(ring)_R,,ER4m,Traced,1691,915,3,,158,5,1682972323
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,804,144,95,198,1472264855
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,127,9,1174302319
1199289203,ER3w_a(ring)_R,,ER3w_a,Traced,1036,309,2,,100,2,737141935
1201296549,LAL190_R,pMP19 candidates; SpLC-SpIb(c),LAL190,Traced,3339,646,1444,66,,1,2077826485
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,202,4,,1,1272001412
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,247,15,7,1,1746881001
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,1,,118,16,1246980226
1230324385,ER3w_b(ring)_R,,ER3w_b,Traced,823,282,1,,82,4,714357173
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,92,177,1,22,1412316280
1261423370,ER3d_a(ring)_R,,ER3d_a,Traced,1237,341,1,,81,1,723126157
1261423444,ER3d_c(ring)_R,,ER3d_c,Traced,1241,366,1,,110,1,713799155
1261423454,ER3d_c(ring)_R,,ER3d_c,Traced,1310,343,1,,140,4,727214630
1261423507,ER3d_c(ring)_R,,ER3d_c,Traced,1160,318,1,,128,5,635382116
1261427765,ER3d_c(ring)_R,,ER3d_c,Traced,1252,324,2,,118,1,741793195
1261432158,ER3d_b(ring)_R,,ER3d_b,Traced,997,301,4,,100,5,572586665
1261436305,ER3d_c(ring)_R,,ER3d_c,Traced,1314,371,2,,105,3,734713327
1261436508,ER3d_a(ring)_R,,ER3d_a,Traced,1308,366,2,,94,4,680933989
1261756007,ER3d_a(ring)_R,,ER3d_a,Traced,1246,355,1,,128,5,699809561
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,57,2,48,9,472529807
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,3,,121,6,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,1,,137,2,568507214
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,17,1,78,4,462734560
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,2,,112,5,609683025
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,84,6,34,2,494934893
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,28,1,77,3,457061603
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,15,1,56,4,614666631
1262114112,ER3a_a(ring)_R,,ER3a_a,Traced,844,220,2,,52,2,477846056
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,4,4,105,5,671179407
1263646693,LC33a_R,,LC33a,Traced,274,206,22,148,,1,488943456
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,2,2,65,4,616393513
1292794996,ER3m(ring)_R,,ER3m,Traced,959,277,4,,58,2,589899242
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,2,1,78,9,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,8,3,64,1,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,1,1,107,8,680157635
1292847181,ER4m(ring)_R,,ER4m,Traced,1702,921,1,,143,5,1630290346
1293136062,ER3a_a(ring)_R,,ER3a_a,Traced,706,206,12,,103,7,462829419
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,2,1,110,5,1148479791
1324430237,ER6(ring)_R,,ER6,Traced,2216,550,1644,201,36,24,1016271341
1354951374,,,,Traced,68,78,3,7,,1,211741494
1355810793,ER3a_a(ring)_R,,ER3a_a,Traced,649,194,32,,73,4,461317053
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,3,10,6190229391
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,550,132,131,201,1184449527
1934975261,,,,Traced,916,690,438,316,1,6,800645639
5812983734,ER6(ring)_R,,ER6,Traced,2158,537,1634,185,26,16,901469199
5812984024,ER3a_a(ring)_R,,ER3a_a,Traced,783,222,43,3,91,4,469401707
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,135,175,3,5,1478126146
5812991668,LAL027_R,,LAL027,Traced,1904,368,206,157,,2,701257169
5813022629,PS013_R,LSp-IpG,PS013,Traced,6531,1089,1390,104,,1,2472032197
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,426,31,3,1,1501021625
5813047647,ER2_c(ring)_R,,ER2_c,Traced,1683,504,1,,112,1,964961055
5813047683,LHPV6q1_R,,LHPV6q1,Traced,5098,2267,42,290,,1,5894638340
5813048896,ER2_c(ring)_R,,ER2_c,Traced,1420,471,1,,110,2,1013861975
5813050767,ER4m(ring)_R,,ER4m,Traced,1786,916,13,3,139,5,1556793027
5813053988,ER3w_a(ring)_R,,ER3w_a,Traced,1230,346,1,,75,4,758610895
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,537,22,,1,1798572771
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,11,7,32,53,1931391198
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,11,3,246,289,1770276774
5813077556,ER2_b(ring)_R,,ER2_b,Traced,1131,324,1,,96,1,743357121
