id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,EB #post,EB #pre,#voxels
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,157,85,3892,346,1469716322
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,160,80,4070,324,1356917252
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,404,1,13,25,2928723833
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,70,47,1686,433,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,144,75,3477,209,1262283600
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,180,93,4430,270,1495976797
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,512,54,24,5,1823088730
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,124,72,2988,227,1313237477
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,132,66,3148,265,1249529709
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,145,75,3043,236,1290354899
696682163,EL(EQ5)_L,EBGAs,EL,Traced,4835,1100,179,39,4534,1028,1281064545
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,138,61,3659,234,1220895242
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,4,,19,5,5702733325
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,52,9,1,1,1097656982
727350004,EL(EQ5)_L,EBGAs,EL,Traced,4545,943,175,34,4250,873,1178553443
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,128,76,3801,317,1367317453
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,180,123,1560,601,1165397767
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,127,65,2857,195,871873631
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,140,67,2647,225,1177122514
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,156,89,2847,218,1242575632
820144012,EL(EQ5)_L,EBGAs,EL,Traced,4718,975,184,54,4418,894,1326450645
858587718,ExR6(ring)_R,,ExR6,Traced,9255,2395,4182,391,4203,1929,4204033525
864073833,FB5V_R,CRELALFB5,FB5V,Traced,1389,217,803,11,,1,679341918
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,149,101,211,134,708615708
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,179,108,257,112,720534350
882144985,IB005_R,,IB005,Traced,2133,702,379,287,,1,1521696579
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,121,64,3798,283,1279652378
912596952,EL(EQ5)_L,EBGAs,EL,Traced,4195,919,190,48,3850,812,1264795351
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,132,63,3047,208,961831095
915605943,FB6P_R,SMPCREFB6_1,FB6P,Traced,1994,241,8,,42,10,593506244
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,535,40,6796,1406,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,403,31,7117,1212,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,13,7,1235,1188,4148353890
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,163,108,296,136,737594409
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,795,40,6369,1328,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,707,42,6309,1261,3339909507
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,158,116,266,146,785035775
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,1757,457,1935836510
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,202,90,220,111,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,132,74,2733,187,965411401
1005308608,EL(EQ5)_L,EBGAs,EL,Traced,4381,729,171,47,4088,648,1157310567
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,86,171,2088,416,1439854944
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,579,3,1109,298,2716937442
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,121,80,3804,252,1027118663
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1440,157,1217,1160,5331729469
1036753721,EL(EQ5)_L,EBGAs,EL,Traced,4431,918,183,58,4078,805,1219998811
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,68,50,1613,451,2079662476
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,129,85,245,125,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,111,63,2937,188,836597415
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,203,48,3853,751,1067970589
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,96,160,2917,406,1375874653
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,106,70,3001,211,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,156,86,183,100,586585085
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,17,2,,1,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,168,120,1541,677,1198248632
1137210821,ER2_c(ring)_R,,ER2_c,Traced,1460,456,4,,1355,455,985250752
1137288015,EL(EQ5)_L,EBGAs,EL,Traced,4987,858,214,53,4669,775,1233512438
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,1,,1909,530,1212692476
1167563121,ER2_a(ring)_R,,ER2_a,Traced,1385,446,1,,1284,445,943354421
1167645442,ER4m(ring)_R,,ER4m,Traced,1675,915,10,1,1484,910,1876942269
1167896065,ER2_c(ring)_R,,ER2_c,Traced,1449,480,2,,1331,479,1142260345
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,3,,1442,461,1009871327
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,144,68,3475,234,960598574
1168249921,ER2_d(ring)_R,,ER2_d,Traced,1281,372,5,,1170,368,857061165
1168340507,EL(EQ5)_L,EBGAs,EL,Traced,4541,813,164,52,4204,722,1175399808
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,55,7,120,9,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,49,8,122,11,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,131,81,3529,240,1000269781
1168923315,ER2_b(ring)_R,,ER2_b,Traced,1238,383,1,,1139,378,841422242
1169260589,ER3a_c(ring)_R,,ER3a_c,Traced,954,253,151,8,739,239,581712518
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,143,90,310,134,718304874
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,4,9,2,2,454288161
1198326456,ER4m(ring)_R,,ER4m,Traced,1691,915,3,,1527,909,1682972323
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,804,144,1515,652,1472264855
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,2079,578,1174302319
1199289203,ER3w_a(ring)_R,,ER3w_a,Traced,1036,309,2,,931,307,737141935
1199677638,PEG(PB07)_L9,PEG,PEG,Traced,824,197,149,99,147,91,435112897
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,247,15,4,2,1746881001
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,1,,1810,547,1246980226
1230324385,ER3w_b(ring)_R,,ER3w_b,Traced,823,282,1,,737,277,714357173
1231675708,ER3a_b(ring)_R,,ER3a_b,Traced,855,241,124,1,689,240,542446051
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,126,,4,1,1011197699
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,92,177,2311,438,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,41,90,1276,5,1170924542
1261423370,ER3d_a(ring)_R,,ER3d_a,Traced,1237,341,1,,1146,335,723126157
1261423444,ER3d_c(ring)_R,,ER3d_c,Traced,1241,366,1,,1107,352,713799155
1261423454,ER3d_c(ring)_R,,ER3d_c,Traced,1310,343,1,,1148,336,727214630
1261423507,ER3d_c(ring)_R,,ER3d_c,Traced,1160,318,1,,1009,308,635382116
1261427765,ER3d_c(ring)_R,,ER3d_c,Traced,1252,324,2,,1116,315,741793195
1261432158,ER3d_b(ring)_R,,ER3d_b,Traced,997,301,4,,878,283,572586665
1261436305,ER3d_c(ring)_R,,ER3d_c,Traced,1314,371,2,,1191,357,734713327
1261436508,ER3d_a(ring)_R,,ER3d_a,Traced,1308,366,2,,1179,349,680933989
1261756007,ER3d_a(ring)_R,,ER3d_a,Traced,1246,355,1,,1100,337,699809561
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,57,2,644,225,472529807
1261768644,ER3a_c(ring)_R,,ER3a_c,Traced,995,277,129,2,851,272,603498874
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,3,,962,299,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,1,,978,310,568507214
1261772956,ER3a_b(ring)_R,,ER3a_b,Traced,619,234,118,,485,233,502015903
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,17,1,641,239,462734560
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,2,,911,305,609683025
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,84,6,675,248,494934893
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,28,1,650,190,457061603
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,15,1,838,242,614666631
1262114112,ER3a_a(ring)_R,,ER3a_a,Traced,844,220,2,,783,213,477846056
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,4,4,1042,278,671179407
1291094620,ER1_b(ring)_R,,ER1_b,Traced,771,240,148,6,599,225,512738543
1291099014,ER1_b(ring)_R,,ER1_b,Traced,796,211,246,10,544,200,484445372
1291435551,ER1_a(ring)_R,,ER1_a,Traced,633,214,144,3,402,209,443295583
1291435693,ER1_b(ring)_R,,ER1_b,Traced,821,242,227,9,587,232,512500871
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,2,2,869,287,616393513
1292794996,ER3m(ring)_R,,ER3m,Traced,959,277,4,,886,268,589899242
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,2,1,909,309,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,8,3,936,266,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,1,1,901,311,680157635
