id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
328935472,SMP147_R,,SMP147,Traced,6231,275,465,4,61,192,2309018467
390486371,SMP147(ADM10)_L,,SMP147,Traced,3155,671,313,553,317,3,2087229086
422738252,SMP178_R,,SMP178,Traced,6049,1058,28,2,3,1,2124179274
422751191,SMP177_R,,SMP177,Traced,13884,2333,20,20,7,21,3691832933
423096449,SMP007_R,aSP14d candidates,SMP007,Traced,604,334,23,36,11,37,646783743
424434994,SIP064_R,,SIP064,Traced,2762,1105,63,98,18,38,1777201692
451365099,SMP371_R,,SMP371,Traced,1796,829,98,126,6,15,1668340692
452694446,mAL1_L,,mAL1,Traced,359,134,1,,2,1,501827686
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,45,175,66,226,1542373100
483797945,SMP007_R,aSP14d candidates,SMP007,Traced,784,404,37,73,37,80,722050724
484130600,SMP145_R,,SMP145,Traced,3609,2264,202,235,4,11,2489431605
487187476,SIP087_R,,SIP087,Traced,10957,3440,780,405,31,37,4036468535
488922181,SMP048_R,,SMP048,Traced,5146,2705,258,463,67,182,5638174363
514475106,SMP371_R,,SMP371,Traced,1578,758,67,98,3,8,1591467313
514958793,SMP371(PDM08)_L,,SMP371,Traced,932,500,30,32,8,24,901732203
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,252,5,1,4,3738265959
520617773,CL265_R,pIP6 candidates,CL265,Traced,2024,941,38,49,15,24,3090347718
544637659,SMP192(PDL05)_L,,SMP192,Traced,580,391,153,115,27,23,661247098
546196205,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,557,230,36,40,29,32,575525624
548570973,CRE013_R,,CRE013,Traced,6593,820,731,36,289,237,2035120923
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,780,571,583,50,2008584360
551043841,CRE033_L,,CRE033,Traced,754,252,24,7,1,6,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,43,99,227,88,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,50,79,259,130,979623989
576566287,SMP008_R,aSP14a candidates,SMP008,Traced,765,356,57,95,41,106,679984196
576898212,SMP007_R,aSP14d candidates,SMP007,Traced,496,247,11,16,13,27,624956237
577205270,SIP003_a_R,,SIP003_a,Traced,375,113,4,,,1,373498315
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,34,49,72,82,1640712084
578254032,SMP151_R,,SMP151,Traced,1731,597,40,56,50,36,1457232811
579575594,LHPV5e3_R,,LHPV5e3,Traced,6596,2163,184,315,48,144,3043835720
579946370,SMP009_R,,SMP009,Traced,743,308,82,4,12,5,625972361
579946915,,,,Traced,288,286,8,3,2,1,296736741
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,207,144,264,23,2075693705
581746661,SMP048(ADM01)_L,,SMP048,Traced,2927,2401,147,418,218,196,4038248023
609173201,AVLP574_R,,AVLP574,Traced,1355,360,2,1,,1,1486171407
610299911,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,626,233,80,42,45,39,616710720
610321522,SMP151_R,,SMP151,Traced,1801,578,45,49,47,46,1444829096
610981584,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,726,323,86,7,1,6,665045439
611810783,,,,Traced,186,231,10,7,10,5,219227916
612742229,CRE028_L,,CRE028,Traced,1052,237,61,25,24,19,848505865
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,13,4,,4,665934503
612742298,CRE036_L,,CRE036,Traced,592,134,5,10,13,9,567524859
612755343,CRE023_L,,CRE023,Traced,2297,801,2,,108,53,2214780944
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,27,7,2,5,748302593
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,56,145,41,162,1102000302
639655157,SMP008_R,aSP14a candidates,SMP008,Traced,673,350,45,78,44,93,692009440
641157199,,,,Traced,141,128,6,7,6,5,234093042
642504699,LHPV5e3(PDL05)_L,,LHPV5e3,Traced,2296,1632,84,205,77,117,1740055280
642509080,SMP007_R,aSP14d candidates,SMP007,Traced,839,395,42,89,43,70,800973603
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,89,1,251,343,4367730421
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,819,839,141,5,3202870430
644113913,SMP139_L,,SMP139,Traced,919,199,1,2,47,35,587047514
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,23,35,22,49,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,19,13,44,13,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,3,11,5,4,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,2,5,4,13,468734043
644450565,CRE005_R,,CRE005,Traced,1857,858,679,146,28,49,1442612455
644788121,LAL007_R,,LAL007,Traced,1344,765,756,124,15,78,1701061495
665820084,CL327_R,,CL327,Traced,1910,373,1,5,170,301,1407337214
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,15,18,12,11,642080855
669965108,CRE076_R,,CRE076,Traced,2873,1348,127,41,22,11,2190715571
673413730,SMP008_R,aSP14a candidates,SMP008,Traced,465,317,26,75,22,66,536357902
673863199,CRE041(ADM10)_L,CL-L(c)2,CRE041,Traced,4230,882,658,701,1475,89,1990756814
675127915,SMP006_R,aSP14a candidates,SMP006,Traced,835,446,141,193,55,152,728467929
675136878,CRE070_R,,CRE070,Traced,2002,703,88,2,11,7,1301294761
675144948,CRE031_L,,CRE031,Traced,654,198,95,19,24,27,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,2,5,9,1,611705625
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,15,31,13,25,739581338
675805841,LAL095_R,,LAL095,Traced,374,44,233,,65,40,229963769
675809900,SMP006_R,aSP14a candidates,SMP006,Traced,673,385,73,145,59,103,713613723
700002191,mALB5_L,,mALB5,Traced,2113,1064,66,100,,1,2343622489
701371011,SMP370_R,,SMP370,Traced,1736,699,261,316,73,127,2101402424
702704906,CRE058_R,,CRE058,Traced,463,147,17,31,4,2,394131167
702708540,CRE089_R,pMP6a candidates,CRE089,Traced,701,380,22,,1,8,867262079
704785058,SMP008_R,aSP14a candidates,SMP008,Traced,476,316,45,87,29,73,546805348
704816317,,,,Traced,925,1100,22,41,2,11,1390622287
706862579,CRE059_R,,CRE059,Traced,1466,552,189,22,45,29,1186755402
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,210,242,105,132,1535739624
729007988,CL006_R,,CL006,Traced,354,171,49,67,54,100,474418867
729997357,SIP001_R,aSP14c candidates,SIP001,Traced,361,136,21,23,11,8,427515984
730687491,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,401,181,118,48,17,16,446549801
731357364,SIP002_R,aSP14c candidates,SIP002,Traced,407,147,61,42,18,10,411254917
731688775,SIP001_R,aSP14c candidates,SIP001,Traced,413,156,39,27,9,14,446745326
732038716,(ADL08)_L,,,Traced,295,305,41,40,22,13,258018867
732082028,CL006_R,,CL006,Traced,300,196,72,84,80,111,429627083
733399215,CRE089_R,pMP6a candidates,CRE089,Traced,634,393,25,2,2,9,835010108
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,8,11,56,1,1388838528
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,48,59,12,9,1598047565
736174181,CRE006_R,,CRE006,Traced,1166,492,79,47,5,11,1201102363
737486877,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,740,247,153,62,27,23,523281706
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,74,224,57,196,1535167929
760703506,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,502,221,175,47,23,31,498746956
761040902,CRE002_R,aSP14a candidates,CRE002,Traced,756,385,169,161,56,136,625180672
763752608,,,,Traced,139,176,36,47,9,19,152692511
767174553,CRE058_R,,CRE058,Traced,286,141,11,26,3,12,356082675
767187563,CRE069(AVM17)_L,,CRE069,Traced,355,427,1,,5,3,558262174
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,19,27,4,2,2704741582
769263962,AVLP477_R,,AVLP477,Traced,3877,898,12,30,2,12,3183304555
769355285,CRE085(PDM13)_L,,CRE085,Traced,489,321,4,8,55,14,653997083
769605178,CRE047_R,,CRE047,Traced,1053,114,422,61,70,22,469273291
770257411,CRE037_L,,CRE037,Traced,596,161,12,4,16,12,530744513
770930321,CRE037_L,,CRE037,Traced,558,150,8,5,13,14,539301387
770952011,CRE038_L,,CRE038,Traced,507,143,9,14,20,14,557020698
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,180,123,,1,1165397767
792800570,CL006_R,,CL006,Traced,257,165,53,70,42,87,397959432
793439006,(ADL08)_L,,,Traced,245,224,101,67,47,49,191028812
794462286,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,584,285,104,27,11,8,559849976
794963206,,,,Traced,37,159,6,29,3,8,166231138
796146244,,,,Traced,201,230,23,16,9,16,197699992
796978752,LAL040(ADM03)_L,VeLC-LVe(c),LAL040,Traced,3804,1299,405,680,2304,126,2338124058
798892246,CRE058_R,,CRE058,Traced,338,167,12,38,6,8,404837069
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,10,3,25,1,1511191160
799868224,AOTU019_R,AoSiLVe-LVeSpIp(c),AOTU019,Traced,16870,541,4522,1,66,280,8144664705
800303089,PPL108_R,,PPL108,Traced,5875,2272,646,491,634,524,2618373937
800373114,AVLP477(PDM12)_L,,AVLP477,Traced,323,845,11,53,3,15,1534568346
819725372,CL199_R,,CL199,Traced,3265,863,18,40,6,26,2739280146
826511647,,,,Traced,111,137,38,51,10,16,145164742
826857417,(ADL08)_L,,,Traced,241,261,76,65,34,40,207268472
827422560,PLP187_R,,PLP187,Traced,635,203,87,105,2,1,601736428
829939688,CRE058_R,,CRE058,Traced,447,171,9,34,5,14,468137590
830419511,,,,Traced,263,177,10,30,2,22,257876494
831295271,,,,Traced,217,219,12,7,9,8,211982182
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,51,176,59,193,1049700272
857210366,(ADL08)_L,,,Traced,125,221,44,70,39,71,177317713
858232878,,,,Traced,108,111,39,35,8,12,128643427
858928511,(ADL08)_L,,,Traced,130,292,12,24,9,29,230446095
860892243,AOTU002_a_R,,AOTU002_a,Traced,494,63,1,,33,63,469200054
860905704,AOTU002_a_R,,AOTU002_a,Traced,596,109,3,,54,96,548602560
861073717,CRE012(ADM05)_L,,CRE012,Traced,3864,1148,827,638,662,63,1872147154
861574580,AOTU001_R,,AOTU001,Traced,710,135,1,,80,124,513720169
862270029,AOTU002_b_R,,AOTU002_b,Traced,357,103,2,,29,83,377228366
862270098,AOTU002_b_R,,AOTU002_b,Traced,600,138,1,,37,101,475103860
862597411,AOTU001_R,,AOTU001,Traced,498,125,58,1,62,115,459493749
862787861,CRE037_R,,CRE037,Traced,247,130,19,10,3,4,379708980
863331646,AOTU003_R,,AOTU003,Traced,610,227,27,71,9,32,530325498
863698974,LAL155(PVM03)_L,,LAL155,Traced,1494,548,10,9,326,36,1064408131
864156049,CRE047(ADM10)_L,,CRE047,Traced,660,119,163,61,183,32,393708474
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,81,186,43,200,1069803729
882144985,IB005_R,,IB005,Traced,2133,702,379,287,246,154,1521696579
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,62,155,67,186,1151779323
882580620,CL199(PDM12)_L,,CL199,Traced,724,858,8,26,9,40,1896030360
883790186,AOTU038_R,,AOTU038,Traced,225,49,1,,23,43,363571338
885495731,CL005_R,,CL005,Traced,323,156,54,72,38,54,432326168
888577071,,,,Traced,136,269,11,17,12,24,230594526
890619489,,,,Traced,171,241,39,47,18,21,197795265
892614148,AOTU001_R,,AOTU001,Traced,551,198,23,4,81,159,521641607
893754136,(MBDLaxon2),,,Traced,2509,1179,200,227,390,178,3754329882
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,438,442,59,76,2722993954
894362173,LAL004_R,,LAL004,Traced,469,208,121,93,49,98,469303915
894707517,AOTU004_R,,AOTU004,Traced,394,142,53,56,95,85,320253988
895441451,MBON26(B'2d)_R,,MBON26,Traced,11560,1283,3662,551,45,60,2786939491
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,450,699,915,208,2272675577
913262104,IB005(ADM03)_L,,IB005,Traced,1471,663,205,194,208,217,1110181889
913681721,LHPV3a1_R,,LHPV3a1,Traced,1309,209,42,105,6,3,457986323
915503330,PLP032_R,,PLP032,Traced,1443,1260,61,182,9,28,3007064555
915519608,LAL006_R,,LAL006,Traced,299,148,42,63,42,85,410875506
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,50,207,59,200,1366489368
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,535,40,,1,3151242119
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,13,7,3,1,4148353890
921684387,,,,Traced,80,96,2,2,5,3,133292428
923989857,AOTU003_R,,AOTU003,Traced,433,151,6,5,21,71,432072992
925241334,LAL155_R,,LAL155,Traced,3211,604,1992,95,29,38,1395981955
925811326,,,,Traced,838,1189,177,203,153,163,1225284890
947233211,CL005_R,,CL005,Traced,274,194,61,94,28,53,474112030
947582284,CL308_R,,CL308,Traced,3091,666,87,133,67,138,1835937992
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,60,155,36,147,1090467478
949930583,AOTU040_R,,AOTU040,Traced,159,51,97,,37,50,248826212
950888882,AVLP155_R,,AVLP155,Traced,1647,639,6,2,,1,1220855773
952374245,LAL114_R,,LAL114,Traced,1394,573,843,153,38,33,1003906934
952987284,LAL086_R,AoL-L(c),LAL086,Traced,574,117,373,,87,115,507840103
953319814,AOTU038_R,,AOTU038,Traced,200,59,1,,28,48,326653734
955733080,AOTU004_R,,AOTU004,Traced,430,165,93,74,76,91,296213575
958197533,LAL042_R,,LAL042,Traced,1365,214,945,130,45,32,799512116
975197713,LAL192_R,,LAL192,Traced,843,568,113,191,43,113,786663687
979666456,LAL006_R,,LAL006,Traced,282,107,25,55,13,36,341160091
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,45,145,53,152,1104413493
981306568,AOTU039_R,,AOTU039,Traced,217,58,41,,30,55,330658642
981306774,AOTU038_R,,AOTU038,Traced,234,55,5,1,36,34,349769614
983063787,,,,Traced,150,352,25,49,9,41,272758710
983064344,,,,Traced,123,266,28,66,33,69,195389314
983767417,LAL175_R,,LAL175,Traced,885,116,459,58,7,1,603981792
983771898,,,,Traced,370,449,1,2,89,85,357394580
984536209,LAL100_R,,LAL100,Traced,3609,1173,1852,281,58,62,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,35,19,29,31,540136093
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,21,86,73,85,2278694286
986089634,AOTU003_R,,AOTU003,Traced,506,175,28,56,16,35,450761383
986974738,CRE010(ADM03)_L,,CRE010,Traced,649,333,144,67,15,7,627397855
1008059095,,,,Traced,476,706,25,41,3,9,705804597
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,9,11,6,8,4703423471
1012341321,AOTU038_R,,AOTU038,Traced,220,58,27,,26,55,349894692
1013019093,AOTU039_R,,AOTU039,Traced,207,63,59,,39,61,311202946
1013066710,CRE071_R,,CRE071,Traced,1410,623,524,9,21,7,1233966102
1014107332,,,,Traced,160,339,42,76,27,54,262794569
1014802430,LAL175_R,,LAL175,Traced,1878,450,582,67,427,316,924926310
1015138886,,,,Traced,85,98,15,7,10,15,132629721
1015143077,CRE024_L,,CRE024,Traced,4924,969,339,22,5,3,1768786393
1015479949,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,769,309,158,47,20,30,656458777
1015484487,,,,Traced,623,710,13,6,30,18,523595977
1015570297,CRE059(AVM13)_L,,CRE059,Traced,667,563,66,37,41,17,593637995
1016506999,LAL198_R,,LAL198,Traced,2427,780,1858,58,1,8,1609357758
1018550022,,,,Traced,143,82,1,2,3,1,116601785
1036503560,LHPV3a1_R,,LHPV3a1,Traced,1254,229,32,84,3,2,502388494
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1440,157,2,2,5331729469
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,164,237,758,13,760736824
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,57,16,63,16,552011293
1048250312,LAL155_R,,LAL155,Traced,2385,591,1485,104,26,46,1317529596
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,1178,131,409,260,959950008
1051311534,LAL176_R,,LAL176,Traced,1060,188,378,9,205,156,541040227
1070379357,PLP229_R,,PLP229,Traced,3041,476,1,,3,6,1473463852
1075062749,AVLP157_R,,AVLP157,Traced,2129,844,3,1,4,2,1640064576
1076168044,,,,Traced,187,282,44,83,34,71,213330499
1076841388,,,,Traced,107,232,44,84,32,93,174454918
1081957306,CRE041_R,CL-L(c)2,CRE041,Traced,9609,533,4702,112,255,287,2917394941
1099808012,IB071(PVM03)_L,,IB071,Traced,393,209,235,176,1,1,326371007
1101094884,LAL006_R,,LAL006,Traced,307,107,40,64,31,39,319576274
1108136270,AOTU040_R,,AOTU040,Traced,240,49,184,1,40,47,251080743
1108222244,,,,Traced,145,308,52,117,27,85,230371781
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,50,29,526,56,1054960124
1112436285,,,,Traced,376,677,6,18,139,213,490334249
1112443807,LAL129(PDM13)_L,,LAL129,Traced,2988,1085,27,19,1426,252,1382344571
1133455474,CL333_R,,CL333,Traced,2675,304,15,2,58,198,2026670082
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,5708,231,223,260,3708849906
1138937616,,,,Traced,95,145,41,85,2,1,167092902
1139265826,LAL075_R,L-LC(c)2,LAL075,Traced,4077,440,3801,1,93,177,1200070323
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,99,129,112,217,606324377
1144756508,,,,Traced,78,523,19,135,8,58,572144725
1144761556,LAL129_R,,LAL129,Traced,4068,1156,1836,242,124,97,1629782018
1160073701,LAL191_R,,LAL191,Traced,941,620,82,187,44,100,1138606987
1165823464,,,,Traced,193,238,2,,2,1,266294180
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,44,203,48,160,1481422725
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,1,,6,4,1212692476
1169907679,LAL088_R,,LAL088,Traced,767,125,602,16,103,106,444715060
1170352367,LAL008_R,,LAL008,Traced,1897,388,979,107,312,195,1094926658
1170891789,AOTU039_R,,AOTU039,Traced,199,66,68,,37,65,290715475
1170935308,AOTU004_R,,AOTU004,Traced,440,189,64,60,69,108,370783828
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,22,4,6,9,547627159
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,5,4,1174302319
1200001508,LAL073(AVM07)_L,VeL-LVe(c)2,LAL073,Traced,1087,1237,51,533,948,1,1632152374
1200014419,LAL076(AVM07)_L,L-LC(c)1,LAL076,Traced,1993,794,128,619,1827,1,1085408939
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,73,209,56,175,1532312771
1200942398,AOTU037_R,,AOTU037,Traced,663,113,322,1,120,110,475960874
1202677966,,,,Traced,112,224,59,110,12,13,300144230
1222100337,VES070_R,,VES070,Traced,1233,462,7,,125,290,1272093233
1223616241,VES078(PVM09)_L,,VES078,Traced,845,562,149,327,1,1,900592899
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,1,,8,6,1246980226
1231044615,LAL076_R,L-LC(c)1,LAL076,Traced,4220,709,4032,2,144,599,1394142188
1232038141,LAL123_R,VeLC-LVe(c)3,LAL123,Traced,6473,549,4147,191,249,210,1842453375
1232041867,,,,Traced,84,85,42,64,1,1,79523241
1251170902,PS215(PVM02)_L,,PS215,Traced,111,585,1,5,,17,943098682
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,57,89,52,124,622234921
1256800488,PVLP144_R,,PVLP144,Traced,356,250,3,1,4,2,610577877
1263404948,,,,Traced,196,379,85,130,72,151,285776211
1265037070,AOTU040_R,,AOTU040,Traced,213,48,149,,37,48,251272409
1283867659,IB068_R,,IB068,Traced,1271,95,1,1,,5,698231186
1284325332,IB075(PVM03)_L,,IB075,Traced,459,181,78,70,,4,333834324
1287883039,,,,Traced,172,225,3,,,1,253964801
1294102958,,,,Traced,166,375,58,117,59,159,267430258
1298476253,LAL086_R,AoL-L(c),LAL086,Traced,581,92,448,1,70,91,418017130
1300276335,LAL159_R,VeLC-L(c),LAL159,Traced,6693,950,4146,316,213,399,2323036998
1311125016,LAL158_R,,LAL158,Traced,971,19,252,2,1,14,1000029046
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,2,1,4,5,1148479791
1325133618,LAL045_R,VeL-L(c),LAL045,Traced,3392,1042,1414,271,145,178,1863773445
1325138101,,,,Traced,174,388,68,145,79,185,232769293
1325138112,VES041(AVM21)_L,IbSpVeL-(LIb)(c)Sm(b),VES041,Traced,2482,2486,709,595,398,426,2676458550
1325138116,CRE002_R,,CRE002,Traced,1020,466,117,146,110,158,769437715
1325799453,LAL087_R,L-L(c)1,LAL087,Traced,361,51,260,,37,49,279192876
1330008281,LAL191(PVM09)_L,,LAL191,Traced,346,530,40,97,62,174,558358802
1331311183,LAL163(PVM03)_L,VeL-LVeC(c),LAL163,Traced,562,536,167,281,288,105,795002234
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,6,11,5,9,5492683352
1353359159,AVLP154_R,,AVLP154,Traced,2564,1155,1,,1,4,1771062430
1362674294,VES067(PVM01)_L,,VES067,Traced,534,580,102,169,125,23,1084170295
1375206889,CL309_R,,CL309,Traced,1647,356,3,3,3,1,1448439545
1378785906,,,,Traced,603,445,5,,27,4,811507599
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,78,234,43,191,1437029317
1385433981,AVLP579_R,,AVLP579,Traced,629,299,6,2,148,204,797760873
1392440010,LAL192(PVM09)_L,,LAL192,Traced,623,513,54,93,42,135,623847777
1404933332,SAD084_R,,SAD084,Traced,1657,312,4,,30,111,1715727181
1405226806,PVLP138_R,,PVLP138,Traced,1659,115,28,,21,49,1331952172
1405992348,PS231_R,,PS231,Traced,1855,440,3,1,5,1,1352005857
1406276743,LAL178_R,,LAL178,Traced,145,85,1,,21,84,401804554
1407130999,LAL097_R,,LAL097,Traced,113,23,30,,8,7,219914878
1407783264,IB080(PVM03)_L,,IB080,Traced,336,177,4,2,,1,379736086
1409129636,VES020(AVM11)_L,,VES020,Traced,420,146,1,5,,5,294501017
1410516394,IB078(PVM03)_L,,IB078,Traced,323,186,1,2,1,1,340875873
1417556867,,,,Traced,122,133,60,56,9,15,141999686
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,,1,6190229391
1419266727,LAL152_R,,LAL152,Traced,1830,7,1526,1,3,1,957562765
1419927105,,,,Traced,383,484,157,182,63,94,433339040
1436650486,LAL167_R,,LAL167,Traced,346,113,277,77,3,5,488690568
1436987180,PS232_R,,PS232,Traced,3300,215,1179,10,11,43,1495799448
1436991674,LAL168_R,,LAL168,Traced,518,236,422,200,5,1,634295719
1437492175,(PVM03)_L,,,Traced,178,243,87,141,16,1,341921529
1437492192,LAL090_R,L-Lic(c),LAL090,Traced,635,54,514,4,22,46,312375817
1437682098,LAL169_R,,LAL169,Traced,2778,701,2295,578,115,75,1467699526
1437682133,LAL163_R,VeL-LVeC(c),LAL163,Traced,1867,558,1117,141,183,227,997475900
1440462757,VES020_R,,VES020,Traced,706,206,5,4,4,8,482604588
1448064992,,,,Traced,95,147,40,55,47,78,142612880
1448065485,,,,Traced,115,206,56,103,57,100,152295170
1448544317,,,,Traced,146,278,1,,2,5,267373547
1448587188,,,,Traced,144,155,91,93,46,62,143772560
1448929584,,,,Traced,72,137,16,60,3,1,131177633
1450016008,AVLP562(PVL15)_L,,AVLP562,Traced,1058,1169,80,68,52,104,1538240069
1465630554,LAL161_R,CL-L(c)1,LAL161,Traced,2216,269,1143,138,87,62,911168646
1467344475,PS087_R,,PS087,Traced,112,28,34,,5,8,247815085
1467685423,LAL179_R,,LAL179,Traced,104,60,9,,27,60,300564980
1467689768,PS087_R,,PS087,Traced,47,23,13,,2,4,203099744
1467966209,LAL157_R,,LAL157,Traced,1440,195,486,7,75,166,1326547190
1468030788,PS087_R,,PS087,Traced,46,16,17,1,1,4,214424726
1468030790,PS087_R,,PS087,Traced,59,8,1,,1,3,188226678
1468863702,LAL097_R,,LAL097,Traced,66,34,3,,7,11,207614334
1469403612,LAL172_R,,LAL172,Traced,1474,91,1322,28,12,10,734889874
1472676490,mALC3_L,,mALC3,Traced,368,258,1,,,1,1918054875
1479099705,,,,Traced,113,180,95,131,16,34,162618294
1479623035,LAL090_R,L-Lic(c),LAL090,Traced,905,100,776,2,57,77,396567968
1479626494,LAL120_R,,LAL120,Traced,7397,243,6905,9,68,207,2086476166
1480226188,,,,Traced,170,309,4,1,3,2,259738203
1480308804,,,,Traced,159,145,96,78,47,56,153338259
1480452227,,,,Traced,177,318,78,110,82,170,209171483
1480653743,LAL121_R,CL-L(c)2,LAL121,Traced,4279,650,3893,22,147,627,1732689236
1480982992,,,,Traced,164,163,105,93,50,56,143628769
1481336455,(AVM09)_L,,,Traced,210,63,74,58,134,1,148722586
1483679759,AOTU039_R,,AOTU039,Traced,207,65,90,,27,65,284517891
1486123650,LAL164(PVM03)_L,VeL-CLVe(c)1,LAL164,Traced,648,529,199,248,334,120,606608242
1498374987,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,103,116,36,72,59,1,197256325
1498379059,PS087_R,,PS087,Traced,37,13,2,,,3,215341111
1498379078,(AVM09)_L,,,Traced,114,81,1,2,1,1,188298976
1499065406,(AVM09)_L,,,Traced,95,103,47,69,24,1,177706345
1500429718,LAL164_R,VeL-CLVe(c)1,LAL164,Traced,1610,304,1312,163,47,68,769872799
1504207129,LAL199_R,,LAL199,Traced,458,471,148,293,32,46,987660334
1509966560,,,,Traced,323,126,123,114,188,12,250929608
1509966789,,,,Traced,163,146,119,99,44,47,126243714
1510302921,LAL095_R,,LAL095,Traced,243,30,160,,48,28,245238221
1510308047,LAL088_R,,LAL088,Traced,882,113,629,15,119,84,412076725
1510308226,LAL091_R,,LAL091,Traced,613,81,468,3,76,72,264174551
1510311956,LAL121(AVM20)_L,CL-L(c)2,LAL121,Traced,1520,823,200,821,1299,2,1310371886
1510312061,LAL090_R,L-Lic(c),LAL090,Traced,636,58,502,,65,50,320427790
1510315982,LAL196(PVM09)_L,,LAL196,Traced,615,317,452,298,120,19,392748514
1510316567,LAL090_R,L-Lic(c),LAL090,Traced,689,62,590,1,20,56,362907232
1510648834,LAL124(AVM20)_L,L-L(c)2,LAL124,Traced,1777,1605,1606,1582,127,9,1158599186
1510653932,LAL196(PVM09)_L,,LAL196,Traced,775,294,499,293,242,1,425712903
