id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,300,198,6917059458
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,8,4,516,133,549640572
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,512,54,403,177,1823088730
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,3,2,366,99,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,10,1,552,147,602925629
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,1,,480,73,387127398
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,2,1,367,94,382389771
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,14,5,628,120,631785776
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,579,3,354,45,2716937442
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,57,16,,1,552011293
1075827302,FB2D_R,LALCREFB2_2,FB2D,Traced,3206,575,267,8,19,2,1027285919
1101133698,FB4B(NO2)_L,NO2LALFB4,FB4B,Traced,3594,915,1,,760,75,1317034611
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,507,8,713,74,2142474039
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,452,16,244,121,2860197903
1131831822,FB3A_R,,FB3A,Traced,2774,451,782,2,580,96,1522866333
1162529693,FB3A_R,,FB3A,Traced,2547,449,643,3,561,92,1488371650
1162866390,FB3A_L,,FB3A,Traced,1682,474,1,,479,97,748100151
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,5,2,330,70,323395635
1224595273,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2359,1059,248,,169,52,1211327177
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,202,4,150,33,1272001412
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,117,12,1040,170,2367341468
1268568859,LCNOp(LAL-NO3p)_R,LCNp,LCNOp,Traced,4090,394,2322,,994,394,1446214118
1289359184,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4578,2519,565,14,271,121,2446970593
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,594,1,1442,478,1389645128
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,6,11,13,7,5492683352
1448575109,LNO2(LAL-NO2a)_R,,LNO2,Traced,8560,939,5104,5,2695,931,3621306261
1450318227,LNO1(LAL-NO2b)_R,,LNO1,Traced,1867,464,692,2,1119,459,1156622360
1508956088,LNOa(LAL-NO3a)_R,LNa,LNOa,Traced,1938,546,712,9,1091,534,1488500482
1511032500,LNO1(LAL-NO2b)_R,,LNO1,Traced,2043,469,669,6,1221,462,1168699761
1513363614,LCNOpm(LAL-NO3pm)_R,LCNpm,LCNOpm,Traced,6501,858,3827,12,2291,810,2388661962
1539994995,GLNO(LAL-NO1)_R,LGNO,GLNO,Traced,1585,469,655,,800,461,725035559
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,3,3,516,137,532651939
1600420555,GLNO(LAL-NO1)_R,LGNO,GLNO,Traced,1806,481,823,1,904,475,787489080
1666561406,LAL015_R,,LAL015,Traced,2467,821,1779,664,106,1,1689810440
1756263997,,,,Orphan,8,2,6,1,2,1,529627
1756605721,,,,Orphan,7,3,3,2,4,1,1219517
1787727412,,,,Traced,95,131,3,2,,1,76377992
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,10,4,662,154,508396228
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,421,1,449,62,2846693400
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,8,3,584,154,481368357
5813047453,LAL001_R,,LAL001,Traced,2867,943,1934,791,16,1,1709019324
5813054853,,,,Traced,1761,1410,477,946,1,1,2421300138
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,537,22,449,170,1798572771
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,144,95,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,165,21,770,331,3621432113
