id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,aL(R) #post,aL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,18,17,6917059458
425790257,APL_R,,APL,Traced,127151,16190,2,,14634,1644,23360457066
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,3,,3,3,5135386763
487187476,SIP087_R,,SIP087,Traced,10957,3440,780,405,7,1,4036468535
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,5,,17,7,1948744287
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,559,177,399312668
609656444,SMP143_R,Tdc2 (OA)-ASM candidates,SMP143,Traced,2955,1680,15,,,4,2084093642
612703762,CRE052_R,,CRE052,Traced,1198,190,3,3,1,1,498092715
633149202,KCg-m_R,,KCg-m,Traced,765,229,1,,,1,391427293
673085197,CRE051_R,,CRE051,Traced,1568,184,6,,5,1,496936655
691760950,KCab-m_R,,KCab-m,Traced,529,199,1,,199,87,241765288
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,4,,95,25,5702733325
733036127,MBON07(a1)_R,,MBON07,Traced,15519,474,2,,14600,14,1520161953
736839651,CRE057_R,,CRE057,Traced,505,186,1,,3,1,297120213
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,19,27,,1,2704741582
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,2,,6,2,4762453854
829572451,KCab-c_R,,KCab-c,Traced,364,147,1,1,142,62,205049129
915520244,CL336_R,,CL336,Traced,1534,241,3,,1,1,1903329551
940070913,KCab-m_R,,KCab-m,Traced,521,190,1,,222,91,274247055
954053018,KCab-c_R,,KCab-c,Traced,468,158,1,1,178,69,241045676
973151229,KCg-m_R,,KCg-m,Traced,773,232,3,,1,1,346133896
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,4,8,,6,1622607507
1141346308,KCg-m_R,,KCg-m,Traced,752,202,2,1,1,1,350472783
1141972202,KCg-m_R,,KCg-m,Traced,815,267,1,2,5,2,420915787
1142658717,KCg-m_R,,KCg-m,Traced,697,264,1,,,1,372743702
1172665846,KCg-m_R,,KCg-m,Traced,895,281,1,,3,3,308381801
1172670463,KCg-m_R,,KCg-m,Traced,674,226,1,1,,1,344726997
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,2,,14426,25,1466363330
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,83,23,6190229391
5812980590,KCab-c_R,,KCab-c,Traced,378,142,1,,150,56,222164621
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,638,442,1,1,3325948715
5812983423,KCab-m_R,,KCab-m,Traced,560,196,1,1,217,82,263403128
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,75,13,4,2,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,503,,20,4,5444071374
5813047662,KCg-m_R,,KCg-m,Traced,764,261,2,,4,3,364278076
5813057956,KCg-m_R,,KCg-m,Traced,772,230,1,1,1,1,356908730
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,1,,2,2,338596004
5813081511,KCab-c_R,,KCab-c,Traced,514,183,2,,175,84,254528174
5813105172,DPM_R,,DPM,Traced,77269,17628,1,,12898,2694,15191654896
