id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,6,8,6917059458
425790257,APL_R,,APL,Traced,127151,16190,2,,14938,1215,23360457066
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,77,24,399312668
633144545,KCg-m_R,,KCg-m,Traced,723,227,3,,,2,339522438
691760950,KCab-m_R,,KCab-m,Traced,529,199,1,,125,59,241765288
693927941,ALIN1_R,,ALIN1,Traced,1553,406,20,,138,37,2113783525
733036127,MBON07(a1)_R,,MBON07,Traced,15519,474,2,,538,1,1520161953
829572451,KCab-c_R,,KCab-c,Traced,364,147,1,1,87,38,205049129
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,16,,5,1,1395825196
940070913,KCab-m_R,,KCab-m,Traced,521,190,1,,141,56,274247055
954053018,KCab-c_R,,KCab-c,Traced,468,158,1,1,112,39,241045676
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,168,120,,1,1198248632
1173745411,KCg-m_R,,KCg-m,Traced,809,252,1,,1,1,379558460
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,48,28,6190229391
5812980590,KCab-c_R,,KCab-c,Traced,378,142,1,,111,45,222164621
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,86,42,,2,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,753,671,,1,2164861052
5812983423,KCab-m_R,,KCab-m,Traced,560,196,1,1,153,65,263403128
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,75,13,3,3,2864745122
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,83,70,5,1,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,4,6,1,1,975624467
5813081511,KCab-c_R,,KCab-c,Traced,514,183,2,,137,56,254528174
5813105172,DPM_R,,DPM,Traced,77269,17628,1,,8630,1738,15191654896
