id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,b'L(L) #post,b'L(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,19,14,6917059458
425790257,APL_R,,APL,Traced,127151,16190,2,,677,145,23360457066
484130600,SMP145_R,,SMP145,Traced,3609,2264,202,235,2,1,2489431605
487187476,SIP087_R,,SIP087,Traced,10957,3440,780,405,2,2,4036468535
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,34,49,10,9,1640712084
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,17,9,399312668
613040803,CRE049_R,,CRE049,Traced,2229,750,101,12,14,4,1511757943
641157199,,,,Traced,141,128,6,7,,1,234093042
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,15,18,,1,642080855
675763039,PAM06_a(B'2m)_R,,PAM06_a,Traced,1447,402,4,,304,128,502684880
693927941,ALIN1_R,,ALIN1,Traced,1553,406,20,,22,22,2113783525
702704906,CRE058_R,,CRE058,Traced,463,147,17,31,1,2,394131167
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,681,329,24,1,2183958132
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,210,242,170,2,1535739624
760690116,CRE066_R,,CRE066,Traced,934,533,132,30,14,3,937265171
766493391,CRE058_R,,CRE058,Traced,486,168,25,44,,1,392887778
767174553,CRE058_R,,CRE058,Traced,286,141,11,26,3,3,356082675
798892246,CRE058_R,,CRE058,Traced,338,167,12,38,1,3,404837069
799578347,PAM13(B'1ap)_R,,PAM13,Traced,975,248,1,,219,97,354640313
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,7,,7,1,440919426
829939688,CRE058_R,,CRE058,Traced,447,171,9,34,3,2,468137590
830419511,,,,Traced,263,177,10,30,3,1,257876494
831321033,LAL110_R,,LAL110,Traced,713,214,506,34,4,1,474498142
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,450,699,3100,29,2272675577
923385340,PAM05(B'2p)_R,,PAM05,Traced,1021,323,1,,263,138,384780795
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,73,1,6,3,382633721
984799284,CRE060_R,,CRE060,Traced,844,393,298,10,6,3,738647628
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,21,86,28,10,2278694286
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,16,,196,75,389938087
1015484487,,,,Traced,623,710,13,6,,1,523595977
1016166622,CRE067_R,,CRE067,Traced,1039,396,147,3,5,4,735317516
1016506999,LAL198_R,,LAL198,Traced,2427,780,1858,58,3,3,1609357758
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,164,237,1,1,760736824
1047887562,CRE068_R,,CRE068,Traced,594,325,238,15,1,9,562548941
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,1,5210,87,2791162363
1139265826,LAL075_R,L-LC(c)2,LAL075,Traced,4077,440,3801,1,,2,1200070323
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,2,,138,52,427493806
1170413425,PAM06_a(B'2m)_R,,PAM06_a,Traced,1384,411,1,,378,161,476191448
1173745330,PAM08_a(y4)_R,,PAM08_a,Traced,990,169,41,,,1,329507895
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,27,3,170,77,366409907
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,66,,,1,308877449
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,594,1,14,18,1389645128
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,20,4,269,9,3823216871
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,8,9,6190229391
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,638,442,26,5,3325948715
5812982118,PAM06_a(B'2m)_R,,PAM06_a,Traced,1274,334,2,,272,115,428564958
5813022201,PAM06_a(B'2m)_R,,PAM06_a,Traced,1403,306,1,,284,100,397327304
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,75,13,13,21,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,503,,61,13,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,83,70,3,5,3288021127
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,2,,24,15,3046434158
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,48,36,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,11,,181,14,2038784377
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,1,,93,51,338596004
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,5,,307,145,467187303
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,2,,,2,444049069
