id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,21,21,6917059458
422751191,SMP177_R,,SMP177,Traced,13884,2333,20,20,17,5,3691832933
425790257,APL_R,,APL,Traced,127151,16190,2,,11254,1515,23360457066
484130600,SMP145_R,,SMP145,Traced,3609,2264,202,235,10,6,2489431605
487187476,SIP087_R,,SIP087,Traced,10957,3440,780,405,26,3,4036468535
549597974,SMP142_R,,SMP142,Traced,3235,2217,219,230,7,11,2511194126
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,34,49,,4,1640712084
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,21,8,399312668
613083375,CRE032_L,,CRE032,Traced,918,233,8,14,18,1,653637060
613719036,MBON10(B'1)_R,,MBON10,Traced,1254,198,5,1,378,4,380870360
633144545,KCg-m_R,,KCg-m,Traced,723,227,3,,1,1,339522438
633148704,KCg-m_R,,KCg-m,Traced,848,237,1,1,5,3,360958036
641157199,,,,Traced,141,128,6,7,,2,234093042
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,3,,28,1,2023774583
672352543,MBON10(B'1)_R,,MBON10,Traced,1347,214,16,,437,4,437971929
675136878,CRE070_R,,CRE070,Traced,2002,703,88,2,5,1,1301294761
675763039,PAM06_a(B'2m)_R,,PAM06_a,Traced,1447,402,4,,681,266,502684880
693927941,ALIN1_R,,ALIN1,Traced,1553,406,20,,28,27,2113783525
699324804,SIP081_R,,SIP081,Traced,1714,524,164,13,1,1,891515346
702704906,CRE058_R,,CRE058,Traced,463,147,17,31,1,3,394131167
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,681,329,1,3,2183958132
724531411,KCg-m_R,,KCg-m,Traced,821,250,3,3,6,1,364478609
760690116,CRE066_R,,CRE066,Traced,934,533,132,30,11,3,937265171
767174553,CRE058_R,,CRE058,Traced,286,141,11,26,1,1,356082675
767541763,SMP174_R,,SMP174,Traced,320,146,83,1,,4,279033075
768555687,MBON10(B'1)_R,,MBON10,Traced,1537,170,13,,749,1,387649695
793728667,LHAV9a1_c_R,,LHAV9a1_c,Traced,575,215,8,,2,1,378488418
798892246,CRE058_R,,CRE058,Traced,338,167,12,38,,2,404837069
799578347,PAM13(B'1ap)_R,,PAM13,Traced,975,248,1,,302,123,354640313
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,2,,251,15,4762453854
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,7,,4,2,440919426
829939688,CRE058_R,,CRE058,Traced,447,171,9,34,2,4,468137590
831321033,LAL110_R,,LAL110,Traced,713,214,506,34,1,1,474498142
859265651,PPL107_R,,PPL107,Traced,12366,5040,39,1,20,4,3767188818
859618655,FB4D_R,CRESMPFB4_2,FB4D,Traced,1648,336,1,,23,3,692407236
891663788,LAL080_R,,LAL080,Traced,602,177,144,122,7,1,393852657
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,438,442,734,3,2722993954
894422413,LAL110_R,,LAL110,Traced,398,164,211,29,1,3,417847529
894702888,LAL013_R,,LAL013,Traced,2190,934,1204,284,1,1,1654988582
895441451,MBON26(B'2d)_R,,MBON26,Traced,11560,1283,3662,551,3956,7,2786939491
917919724,CRE066_R,,CRE066,Traced,605,431,174,2,3,4,706765280
923385340,PAM05(B'2p)_R,,PAM05,Traced,1021,323,1,,335,157,384780795
951018323,PLP042_c_R,,PLP042_c,Traced,497,99,7,,1,4,274871091
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,73,1,4,1,382633721
984794932,CRE068_R,,CRE068,Traced,513,268,264,24,3,1,494990396
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,16,,293,125,389938087
1015484487,,,,Traced,623,710,13,6,5,3,523595977
1016506999,LAL198_R,,LAL198,Traced,2427,780,1858,58,3,1,1609357758
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,164,237,1,1,760736824
1048250312,LAL155_R,,LAL155,Traced,2385,591,1485,104,,1,1317529596
1100801188,FB4D_R,CRESMPFB4_2,FB4D,Traced,1610,379,11,,2,2,678707599
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,168,120,,1,1198248632
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,2,,259,103,427493806
1141337605,PAM08_e(y4)_R,,PAM08_e,Traced,1013,193,27,,3,1,410437147
1141972202,KCg-m_R,,KCg-m,Traced,815,267,1,2,13,5,420915787
1142658717,KCg-m_R,,KCg-m,Traced,697,264,1,,1,1,372743702
1170413425,PAM06_a(B'2m)_R,,PAM06_a,Traced,1384,411,1,,490,235,476191448
1172665846,KCg-m_R,,KCg-m,Traced,895,281,1,,18,3,308381801
