id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
328601956,CRE105_R,,CRE105,Traced,1995,492,16,2,38,2,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,424,316,6917059458
417221397,SMP238_R,,SMP238,Traced,1837,1162,37,47,18,7,2118638793
421041565,SMP157_R,,SMP157,Traced,2309,737,32,29,14,4,1339640338
422738252,SMP178_R,,SMP178,Traced,6049,1058,28,2,6,3,2124179274
425790257,APL_R,,APL,Traced,127151,16190,2,,33649,3544,23360457066
456523994,SMP165_R,,SMP165,Traced,1962,465,4,,15,3,1120887108
484130600,SMP145_R,,SMP145,Traced,3609,2264,202,235,14,6,2489431605
484821546,SMP586_R,,SMP586,Traced,2205,504,47,74,24,2,1433691715
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,3,,107,4,5135386763
488922181,SMP048_R,,SMP048,Traced,5146,2705,258,463,2,1,5638174363
518217691,Leaves Body,,,Traced,913,938,2,5,125,44,1000837714
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,252,5,14,7,3738265959
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,1415,941,3848,9,3839917924
540730639,KCg-m_R,,KCg-m,Traced,738,234,3,1,440,186,366129174
547552266,MBON33(y2y3)_R,,MBON33,Traced,6746,711,325,61,2086,48,2406294739
549597974,SMP142_R,,SMP142,Traced,3235,2217,219,230,33,20,2511194126
550280614,SIP010_R,,SIP010,Traced,607,168,3,,,1,427580771
551043841,CRE033_L,,CRE033,Traced,754,252,24,7,1,6,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,43,99,2,7,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,50,79,12,4,979623989
570742599,KCg-m_R,,KCg-m,Traced,800,259,2,2,523,209,409027498
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,512,54,40,1,1823088730
581678043,CRE051_R,,CRE051,Traced,1335,185,6,1,9,2,433534708
582372162,,,,Traced,418,690,19,25,19,4,776986494
602459682,KCg-m_R,,KCg-m,Traced,784,228,1,,443,176,338151440
610312734,CRE023_R,,CRE023,Traced,3901,1023,156,15,49,5,2864705468
611323175,mALB1_L,,mALB1,Traced,3606,1903,66,2,4,1,3507551623
611693656,SMP164_R,,SMP164,Traced,2493,804,646,30,9,11,2344057409
612004584,CRE069_R,,CRE069,Traced,1221,642,11,4,,2,1365924450
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,16,5,20,22,791330474
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,13,4,1010,49,665934503
612746670,CRE026_L,,CRE026,Traced,860,218,23,,5,2,799068563
612755343,CRE023_L,,CRE023,Traced,2297,801,2,,24,1,2214780944
613040803,CRE049_R,,CRE049,Traced,2229,750,101,12,19,9,1511757943
613044611,SMP075_R,,SMP075,Traced,2408,458,45,1,97,1,1142572517
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,27,7,7,1,748302593
613083359,CRE029_c_L,,CRE029_c,Traced,1255,301,45,5,7,7,760445981
613083375,CRE032_L,,CRE032,Traced,918,233,8,14,339,17,653637060
633144545,KCg-m_R,,KCg-m,Traced,723,227,3,,441,175,339522438
633148704,KCg-m_R,,KCg-m,Traced,848,237,1,1,508,199,360958036
633148859,KCg-m_R,,KCg-m,Traced,828,262,2,1,449,217,364698402
633149202,KCg-m_R,,KCg-m,Traced,765,229,1,,452,180,391427293
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,490,61,5,2,2934178330
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,3,,100,2,2023774583
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,89,1,7289,42,4367730421
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,23,35,37,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,19,13,15,5,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,3,11,4,1,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,2,5,8,1,468734043
644450565,CRE005_R,,CRE005,Traced,1857,858,679,146,7,3,1442612455
667266529,CRE108(SCB032)_R,,CRE108,Traced,2538,839,52,128,27,11,2527313023
667857582,LHPV7c1_R,,LHPV7c1,Traced,2339,1062,17,6,185,36,2219154543
668967527,CRE040_R,CL-Sm(c),CRE040,Traced,14008,1750,2619,199,41,1,5225476639
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,3,1,,1,483565747
673776769,SMP156_R,,SMP156,Traced,5988,578,701,1,101,7,2068609640
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,50,10,5,2,836699232
675144948,CRE031_L,,CRE031,Traced,654,198,95,19,10,2,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,2,5,3,16,611705625
675187572,CRE030_a_R,,CRE030_a,Traced,642,213,13,25,8,1,668621996
