id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,LAL(R) #post,LAL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,59,47,6917059458
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,516,133,8,4,549640572
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,809,341,,1,3103732460
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,403,177,512,54,1823088730
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,366,99,3,2,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,552,147,10,1,602925629
669965108,CRE076_R,,CRE076,Traced,2873,1348,1,,127,41,2190715571
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,367,94,2,1,382389771
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,628,120,14,5,631785776
922659797,CL289_R,,CL289,Traced,1031,537,25,,52,1,1270154260
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,354,45,579,3,2716937442
1075827302,FB2D_R,LALCREFB2_2,FB2D,Traced,3206,575,19,2,267,8,1027285919
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,713,74,507,8,2142474039
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,244,121,452,16,2860197903
1131831822,FB3A_R,,FB3A,Traced,2774,451,580,96,782,2,1522866333
1162529693,FB3A_R,,FB3A,Traced,2547,449,561,92,643,3,1488371650
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,330,70,5,2,323395635
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,150,33,202,4,1272001412
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,1040,170,117,12,2367341468
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,387,,41,90,1170924542
1262360335,LAL014_R,,LAL014,Traced,10261,1122,76,,8798,758,2256070859
1289359184,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4578,2519,271,121,565,14,2446970593
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1442,478,594,1,1389645128
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,13,7,6,11,5492683352
1406911688,PVLP093_R,,PVLP093,Traced,3391,1493,1,,136,1,4082300865
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,3,2,6190229391
1448575109,LNO2(LAL-NO2a)_R,,LNO2,Traced,8560,939,2695,931,5104,5,3621306261
1450318227,LNO1(LAL-NO2b)_R,,LNO1,Traced,1867,464,1119,459,692,2,1156622360
1508956088,LNOa(LAL-NO3a)_R,LNa,LNOa,Traced,1938,546,1091,534,712,9,1488500482
1511032500,LNO1(LAL-NO2b)_R,,LNO1,Traced,2043,469,1221,462,669,6,1168699761
1513363614,LCNOpm(LAL-NO3pm)_R,LCNpm,LCNOpm,Traced,6501,858,2291,810,3827,12,2388661962
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,516,137,3,3,532651939
1600420555,GLNO(LAL-NO1)_R,LGNO,GLNO,Traced,1806,481,904,475,823,1,787489080
1601715638,ExR8(ring)_R,,ExR8,Traced,1685,441,546,,30,56,1111869658
1629383757,Ascending?,,,Traced,5797,1631,106,,1368,62,3262430111
1666561406,LAL015_R,,LAL015,Traced,2467,821,106,1,1779,664,1689810440
1756263997,,,,Orphan,8,2,2,1,6,1,529627
1756605721,,,,Orphan,7,3,4,1,3,2,1219517
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,662,154,10,4,508396228
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,449,62,421,1,2846693400
5813043994,,,,Orphan,3,2,1,,2,2,1487207
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,584,154,8,3,481368357
5813047453,LAL001_R,,LAL001,Traced,2867,943,16,1,1934,791,1709019324
5813054853,,,,Traced,1761,1410,1,1,477,946,2421300138
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,449,170,537,22,1798572771
5813057245,VES008_R,,VES008,Traced,6414,746,89,,1309,105,2900921519
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,1,7,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,770,331,165,21,3621432113
