id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,FB #post,FB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3,3,3576,2111,6917059458
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,776,1,3,2,686693145
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,265,213,26,1,1469716322
416642425,EPG(PB08)_R4,EPG,EPG,Traced,3834,470,318,224,24,1,1169220265
417998204,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,999,229,324,26,66,78,476702093
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,174,23,2128,512,1107227318
446714544,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1407,310,538,1,328,215,488272608
478077561,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,617,118,352,1,37,74,331399103
478375456,EPG(PB08)_R3,EPG,EPG,Traced,4249,483,272,212,9,1,1290806813
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,373,50,81,110,549640572
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,380,1,2348,14,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,712,2,1092,9,1365074914
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,438,,,1,801363719
539810773,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,585,102,293,,37,62,300703583
540493022,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,594,125,248,,32,73,295161410
541119189,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,645,118,311,1,40,64,347051058
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,257,207,20,2,1262283600
569481415,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,890,194,381,3,55,123,506958053
570185174,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,820,203,259,4,38,125,519425583
570518166,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,520,147,192,,43,104,414900048
571826184,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,277,74,117,4,28,38,190747929
572166953,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,213,54,78,,21,30,176173193
572167406,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,262,63,119,2,19,30,161518101
572167413,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,296,70,100,,32,38,177049794
572494993,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,887,211,320,32,41,66,410291839
601120917,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,935,249,420,44,41,66,324848103
