id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,2,9,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,67,11,3,3,5117109108
417221397,SMP238_R,,SMP238,Traced,1837,1162,2,,7,27,2118638793
894702888,LAL013_R,,LAL013,Traced,2190,934,1,,6,5,1654988582
978336888,AOTU046_R,,AOTU046,Traced,1958,713,1,,276,282,1774175847
1078447660,TuBu09_SBU_R,,TuBu09,Traced,308,60,1,,49,60,204192875
1109478369,TuBu09_SBU_R,,TuBu09,Traced,413,64,1,,55,51,226234004
1140508414,TuBu10_SBU_R,,TuBu10,Traced,324,72,1,,56,71,240094540
1140517447,TuBu10_SBU_R,,TuBu10,Traced,386,75,1,,58,75,263216523
1141195327,TuBu09_SBU_R,,TuBu09,Traced,289,64,1,,61,62,207863175
1171902272,TuBu09_SBU_R,,TuBu09,Traced,216,57,1,,42,57,190225697
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,40,9,1,3,3658564958
1200290859,TuBu09_SBU_R,,TuBu09,Traced,266,53,1,,48,51,203498578
1201961255,TuBu10_SBU_R,,TuBu10,Traced,269,66,2,,58,62,216152597
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,3,10,6190229391
5812979232,TuBu10_SBU_R,,TuBu10,Traced,143,54,1,,43,53,193010592
