id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
487187476,SIP087_R,,SIP087,Traced,10957,3440,7,1,31,37,4036468535
641688553,CRE042_R,,CRE042,Traced,6850,1277,1,,140,103,2405591250
701371011,SMP370_R,,SMP370,Traced,1736,699,1,,73,127,2101402424
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,10,,59,76,2722993954
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,11,1,79,2,4211579375
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,1,,223,260,3708849906
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,,1,6190229391
1914460817,VES079_R,,VES079,Traced,1323,550,2,,12,9,1108172940
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,1,1,61,44,3325948715
5813009620,SMP109_R,,SMP109,Traced,6129,1399,2,,12,22,2742026328
5901213440,CRE011_R,,CRE011,Traced,19674,2149,2,,35,85,5844952800
