id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,162,68,116,52,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,206,60,420,110,549779297
300968622,KCab-m_R,,KCab-m,Traced,511,193,198,81,151,68,279723087
301309622,KCab-c_R,,KCab-c,Traced,358,142,135,61,108,48,133670973
301314150,KCab-c_R,,KCab-c,Traced,528,179,182,82,124,52,271031858
301314154,KCab-c_R,,KCab-c,Traced,415,156,130,60,142,53,139037136
301314208,KCab-c_R,,KCab-c,Traced,411,148,140,62,126,35,242376591
301318641,KCab-c_R,,KCab-c,Traced,437,177,180,73,98,58,237234042
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,215,54,1076,264,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,1,1155,333,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,130,39,776,236,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,6,8,6917059458
331662668,KCab-m_R,,KCab-m,Traced,530,216,205,108,129,60,283368182
331662717,KCab-s_R,,KCab-s,Traced,630,224,212,97,186,80,287565290
331999156,KCab-c_R,,KCab-c,Traced,568,159,195,65,139,50,241428851
331999213,KCab-s_R,,KCab-s,Traced,614,220,244,102,169,77,291645899
332003372,KCab-c_R,,KCab-c,Traced,395,161,173,72,111,47,122162962
332003629,KCab-m_R,,KCab-m,Traced,514,192,227,90,122,57,253736233
332003730,KCab-c_R,,KCab-c,Traced,353,139,172,67,112,44,103432112
332003895,KCab-m_R,,KCab-m,Traced,410,195,209,99,131,62,127517438
332003899,KCab-c_R,,KCab-c,Traced,324,128,153,60,98,43,105484035
332007728,KCab-m_R,,KCab-m,Traced,506,195,184,82,139,66,277872366
332008063,KCab-m_R,,KCab-m,Traced,560,194,234,85,121,57,294635155
332008082,KCab-m_R,,KCab-m,Traced,531,195,218,94,116,54,177708912
332340127,KCab-s_R,,KCab-s,Traced,549,226,227,111,130,68,313331158
332340236,KCab-m_R,,KCab-m,Traced,521,208,217,94,113,57,266377828
