id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,gL(L) #post,gL(L) #pre,#voxels
298258513,SMP108_R,,SMP108,Traced,23289,2753,3,,5,4,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,644,151,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,67,11,5,1,5117109108
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,19,35,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,69,21,51,2,1773011190
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,64,104,1964048244
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,2,,95,30,386116617
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,481,172,,1,307010567
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,11,1,1407,485,4211579375
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,555,195,1,1,339562986
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,19,7,6190229391
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,2,351,92,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,20,4,1423,464,5444071374
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,9,,108,38,357750093
