id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,215,54,9,2,610336226
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,424,316,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,71,17,,1,434301483
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,67,11,4814,1090,5117109108
417221397,SMP238_R,,SMP238,Traced,1837,1162,2,,18,7,2118638793
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,2037,513,35,4,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,1,82,2,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,69,21,19,1,1773011190
425768822,KCab-s_R,,KCab-s,Traced,719,254,241,111,4,1,350843815
425790257,APL_R,,APL,Traced,127151,16190,14634,1644,33649,3544,23360457066
426477089,KCab-s_R,,KCab-s,Traced,577,232,201,100,1,1,316376045
455793827,KCab-s_R,,KCab-s,Traced,575,252,227,119,1,1,322219018
456462919,KCab-p_R,,KCab-p,Traced,633,245,255,115,2,1,354321563
478660968,KCg-m_R,,KCg-m,Traced,808,261,1,,463,213,344368201
484821546,SMP586_R,,SMP586,Traced,2205,504,1,,24,2,1433691715
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,41,17,,1,404232661
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,3,3,107,4,5135386763
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,1,1,10,7,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,1,2,17,18,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,4,2,9,7,448443256
488205572,KCab-s_R,,KCab-s,Traced,662,273,242,115,8,8,324030943
508939879,KCg-m_R,,KCg-m,Traced,679,237,1,,265,131,391159969
509013752,KCg-m_R,,KCg-m,Traced,832,237,2,2,495,193,390785099
