id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,#voxels
239736436,,,,Traced,84,27,1,1,19028092
270089341,,,,Traced,101,52,5,4,28348240
270434559,,,,Traced,105,39,5,1,24016310
270438894,,,,Traced,126,47,6,3,30549960
270779779,,,,Traced,93,41,3,1,23061441
270779781,,,,Traced,100,48,6,2,23682372
270779942,,,,Traced,122,40,2,1,28768375
271457393,,,,Traced,109,44,1,2,28447754
299082033,LHPV5e1(PDL05)_L,,LHPV5e1,Traced,4201,1313,22,1,1486830838
301123893,,,,Traced,129,46,5,1,32165042
301124062,,,,Traced,109,47,8,3,29358986
301128261,,,,Traced,143,58,1,1,33298389
301460548,,,,Traced,114,47,2,2,26826251
301460855,,,,Traced,133,52,6,2,35654156
301465428,,,,Traced,89,27,3,2,17920943
301478005,,,,Traced,79,36,7,3,22357419
301819035,,,,Traced,118,55,1,1,30512025
301819141,,,,Traced,85,34,2,1,20211367
302155901,,,,Traced,68,33,4,1,21717327
302483885,,,,Traced,117,45,2,1,26141619
331827708,,,,Traced,83,38,7,4,27312126
332154668,,,,Traced,68,30,3,1,26512199
332158996,,,,Traced,67,26,3,1,13538997
332163494,,,,Traced,112,47,4,1,26748916
332163675,,,,Traced,50,18,10,2,15771248
332167978,,,,Traced,74,25,6,2,16630810
332168042,,,,Traced,51,21,6,2,15751241
332495466,,,,Traced,92,42,1,2,23508391
332500250,,,,Traced,94,32,43,12,29813356
332504511,,,,Traced,130,47,1,1,25898578
332853941,,,,Traced,82,26,4,1,18320411
333177968,,,,Traced,109,38,10,4,26484864
333523535,,,,Traced,699,111,2,1,84325708
333536377,,,,Traced,51,22,4,1,14454944
333868337,,,,Traced,69,25,2,1,18185247
362853300,,,,Traced,58,27,3,3,15756649
362857131,,,,Traced,41,18,7,3,13846294
362857380,,,,Traced,73,33,7,2,20196932
362857567,,,,Traced,47,16,1,1,12127692
362857733,,,,Traced,32,10,4,1,9282469
362862579,,,,Traced,50,18,4,3,12085113
362862596,,,,Traced,33,17,1,2,9922854
