id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,b'L(L) #post,b'L(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,1,,4,1,1973521252
299082033,LHPV5e1(PDL05)_L,,LHPV5e1,Traced,4201,1313,22,1,169,3,1486830838
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,1,2,29,38,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,6728,1648,6483095365
489051772,,,,Traced,52,32,18,9,8,7,25148698
489051866,,,,Traced,71,40,18,11,7,2,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,40,71,1964048244
673555868,,,,Traced,348,97,15,,2,1,151362113
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,2,,259,2,2764738281
675602047,,,,Traced,45,34,19,12,8,8,25643951
706633128,,,,Traced,52,36,16,6,,2,27955134
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,52,,170,2,1535739624
737672126,,,,Traced,111,53,25,12,73,34,42419389
831113316,,,,Traced,51,28,25,14,1,1,25931501
831114007,,,,Traced,48,29,29,20,1,1,23307647
1015622418,,,,Traced,809,407,3,,15,13,235779801
1170409025,,,,Traced,401,202,19,9,362,174,122832054
1171423213,,,,Traced,978,429,1,1,19,7,295799970
1173866149,,,,Traced,400,200,5,1,348,160,142748783
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,,26,5,3325948715
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,30,15,138,1,869209965
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,16,12,181,14,2038784377
