id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
422751191,SMP177_R,,SMP177,Traced,13884,2333,16,,7,21,3691832933
487187476,SIP087_R,,SIP087,Traced,10957,3440,21,3,31,37,4036468535
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,1,,,4,665934503
641688553,CRE042_R,,CRE042,Traced,6850,1277,20,,140,103,2405591250
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,1295,6,251,343,4367730421
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,2,,22,49,795100404
703351975,mAL3B_L,,mAL3B,Traced,237,93,2,,2,1,279216339
736174181,CRE006_R,,CRE006,Traced,1166,492,2,,5,11,1201102363
798892246,CRE058_R,,CRE058,Traced,338,167,1,,6,8,404837069
863331646,AOTU003_R,,AOTU003,Traced,610,227,6,,9,32,530325498
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,4979,43,59,76,2722993954
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,2886,850,79,2,4211579375
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,2,,526,56,1054960124
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,2,,223,260,3708849906
1761328259,,,,Traced,462,288,1,,10,10,326715837
1914460817,VES079_R,,VES079,Traced,1323,550,1,,12,9,1108172940
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,1,61,44,3325948715
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,,17,1,3349981626
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,14,8,3486100136
5813083779,CRE022_R,,CRE022,Traced,8464,1155,31,,142,136,2658194530
5901213440,CRE011_R,,CRE011,Traced,19674,2149,69,6,35,85,5844952800
