id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,aL(R) #post,aL(R) #pre,#voxels
300972942,MBON14(a3)_R,,MBON14,Traced,13634,543,24,,13271,17,1566415099
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,,3,1,766273281
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,18,17,6917059458
330268940,LHCENT9_R,,LHCENT9,Traced,12428,2654,22,3,6,6,3801815677
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,15,3,4477,1042,2855596370
332340127,KCab-s_R,,KCab-s,Traced,549,226,1,1,227,111,313331158
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,82,37,377339671
362697657,KCab-s_R,,KCab-s,Traced,601,210,8,,218,91,313058417
362701969,KCab-s_R,,KCab-s,Traced,622,232,8,2,229,103,333622355
363030040,KCab-s_R,,KCab-s,Traced,641,229,3,1,282,126,313793782
393736822,KCab-m_R,,KCab-m,Traced,610,210,2,,196,91,243629778
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,1,,67,11,5117109108
394060620,KCab-s_R,,KCab-s,Traced,606,214,4,2,208,100,307349594
394081878,KCab-s_R,,KCab-s,Traced,605,228,1,1,257,112,354685350
394427392,KCab-s_R,,KCab-s,Traced,650,247,1,1,221,109,248847423
394764082,KCab-m_R,,KCab-m,Traced,541,212,5,2,178,78,308206119
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,38,18,2037,513,3157840413
423382015,MBON23(a2sp)_R,,MBON23,Traced,4508,733,63,,3874,29,861775689
423774471,MBON19(a2p3p)_R,,MBON19,Traced,1484,299,417,2,763,7,629332084
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,651,177,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,42,25,2,1,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,3,3,253,96,382647663
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,36,2,69,21,1773011190
425112506,KCab-s_R,,KCab-s,Traced,628,266,1,1,272,119,308889289
425431837,KCab-s_R,,KCab-s,Traced,606,235,2,,227,124,248439472
425768768,KCab-s_R,,KCab-s,Traced,609,237,1,2,211,106,355693478
425790257,APL_R,,APL,Traced,127151,16190,10116,1262,14634,1644,23360457066
