id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,#voxels
297230760,5-HTPMPD01_R,,5-HTPMPD01,Traced,4749,1660,1,1,2406556060
297908801,5-HTPMPD01(PDM22)_L,,5-HTPMPD01,Traced,1089,1249,2,2,1603372967
298258513,SMP108_R,,SMP108,Traced,23289,2753,6,4,5584315251
327499164,LHCENT2_R,,LHCENT2,Traced,11285,2773,43,2,4370363560
328861282,LHCENT1_R,,LHCENT1,Traced,12721,2577,7,1,3927647702
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,6917059458
330268940,LHCENT9_R,,LHCENT9,Traced,12428,2654,22,3,3801815677
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,15,3,2855596370
332340127,KCab-s_R,,KCab-s,Traced,549,226,1,1,313331158
360284300,LHCENT8_R,,LHCENT8,Traced,1953,1942,11,7,2878888552
362041442,SIP019_R,,SIP019,Traced,1271,368,7,1,772174030
362701969,KCab-s_R,,KCab-s,Traced,622,232,8,2,333622355
363030040,KCab-s_R,,KCab-s,Traced,641,229,3,1,313793782
394060620,KCab-s_R,,KCab-s,Traced,606,214,4,2,307349594
394081878,KCab-s_R,,KCab-s,Traced,605,228,1,1,354685350
394427392,KCab-s_R,,KCab-s,Traced,650,247,1,1,248847423
394764082,KCab-m_R,,KCab-m,Traced,541,212,5,2,308206119
415511327,KCg-m_R,,KCg-m,Traced,791,213,2,2,357755854
415848195,KCg-m_R,,KCg-m,Traced,798,213,2,1,342713700
415908516,KCg-m_R,,KCg-m,Traced,748,235,2,1,344222918
416189500,KCg-m_R,,KCg-m,Traced,835,254,1,1,361575893
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,38,18,3157840413
423748579,LHPV10d1_R,,LHPV10d1,Traced,5206,1622,5,2,2059917114
423774471,MBON19(a2p3p)_R,,MBON19,Traced,1484,299,417,2,629332084
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,42,25,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,3,3,382647663
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,36,2,1773011190
425112506,KCab-s_R,,KCab-s,Traced,628,266,1,1,308889289
425768768,KCab-s_R,,KCab-s,Traced,609,237,1,2,355693478
425790257,APL_R,,APL,Traced,127151,16190,10116,1262,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,3,3,271653563
446848967,KCg-m_R,,KCg-m,Traced,794,215,1,2,407287419
448204394,SIP035_R,,SIP035,Traced,717,191,30,2,445392026
448342846,CRE075_R,,CRE075,Traced,6837,880,6,3,3305148308
456152258,SIP044_R,,SIP044,Traced,237,128,1,2,385029607
457175171,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2109,270,1269,19,502230847
457196643,MBON16-like(a'3a)_R,,MBON28,Traced,3753,389,2314,5,964698539
457520516,(MBDLaxon2),,,Traced,1102,1060,4,1,1208350209
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,174,92,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,2,2,422024205
478591447,CL129_R,,CL129,Traced,3121,1067,23,5,1415882800
484911954,SMP089(ADM04)_L,,SMP089,Traced,1686,816,1,1,1753812107
486496648,SMP195_a_R,,SMP195_a,Traced,653,181,2,1,478090655
486815976,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,639,213,177,104,441509023
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,132,71,404232661
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,18,5,5135386763
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,170,79,432706975
487187476,SIP087_R,,SIP087,Traced,10957,3440,21,3,4036468535
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,172,92,434027068
487489064,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,203,147,81,413858538
487493197,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,723,280,196,110,462839023
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,145,87,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,144,73,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,137,80,448443256
488179878,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,241,136,82,409972326
488520820,KCab-p_R,,KCab-p,Traced,667,231,3,1,346345890
508918609,KCa'b'-m_R,,KCa'b'-m,Traced,706,266,186,94,448221441
508939879,KCg-m_R,,KCg-m,Traced,679,237,54,23,391159969
509928512,LHPD2b1_a_R,ML8 (Jeanne et al. Neuron 2018),LHPD2b1_a,Traced,727,189,17,6,547945845
511271574,LHCENT8_R,,LHCENT8,Traced,3391,2465,7,2,3641958064
517510393,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,609,256,156,97,410542571
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,2108,892,1948744287
517514588,SMP443_R,,SMP443,Traced,3779,468,28,2,1001591613
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,1964048244
517847127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,651,261,189,107,454494825
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,192,93,410906156
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,200,93,451451628
518183562,SIP016_R,,SIP016,Traced,601,202,27,3,256000348
518187118,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,257,199,88,416264592
518191547,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,638,270,178,109,443819373
518195738,KCab-p_R,,KCab-p,Traced,765,254,12,5,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,165,94,449871654
518528152,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,280,185,100,406965578
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,103,56,408741628
518864844,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,708,282,160,85,477341060
518864924,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,215,164,90,466625910
518869381,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,290,146,97,487559505
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,115,79,418664355
