id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,b'L(L) #post,b'L(L) #pre,#voxels
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,,3,5,766273281
328611004,LHPV5e1_R,,LHPV5e1,Traced,10796,1573,46,,3,1,2647663694
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,19,14,6917059458
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,8,1,377339671
393404592,SMP127_R,,SMP127,Traced,2570,648,7,,34,23,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,29,38,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,42,25,604,2,4356555624
425790257,APL_R,,APL,Traced,127151,16190,10116,1262,677,145,23360457066
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,4,,13,7,846161332
487187476,SIP087_R,,SIP087,Traced,10957,3440,21,3,2,2,4036468535
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,40,71,1964048244
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,127,58,36,12,387116321
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,137,71,61,25,437355377
641688553,CRE042_R,,CRE042,Traced,6850,1277,20,,16,2,2405591250
642660081,LHAV9a1_b_R,,LHAV9a1_b,Traced,459,219,1,,1,1,362337911
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,102,47,80,34,409839983
675451588,PAM14(B'1m)_R,,PAM14,Traced,606,207,4,,115,57,279502184
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,6,,164,76,318884796
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,3,1,174,83,296744630
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,3,1,71,29,293613873
765457262,PAM06_a(B'2m)_R,,PAM06_a,Traced,1430,310,1,,288,115,389761769
767494105,KCab-p_R,,KCab-p,Traced,633,218,6,2,11,3,365582357
797687628,PAM14(B'1m)_L,,PAM14,Traced,297,107,8,2,23,4,122502582
798892246,CRE058_R,,CRE058,Traced,338,167,1,,1,3,404837069
799919294,PAM14(B'1m)_R,,PAM14,Traced,544,185,3,,85,42,305810666
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,1,2,109,48,192486246
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,9,,94,1,2083130629
1016839809,PAM06_a(B'2m)_R,,PAM06_a,Traced,1467,301,4,,253,100,442006674
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,2886,850,172,24,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,18,,84,6,2226046804
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,6,,6,4,720192159
1170322501,PAM06_a(B'2m)_R,,PAM06_a,Traced,1190,304,1,,224,110,419481355
1170400248,APL fragment?,,,Traced,2026,235,25,1,1453,183,293828523
1170412847,,,,Traced,2034,249,19,,1828,230,280315243
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,1,,170,77,366409907
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,1,26,5,3325948715
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,785,344,138,1,869209965
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,155,86,32,12,437684352
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,52,1,13,21,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,2837,682,61,13,5444071374
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,134,59,96,32,427955175
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,48,36,3486100136
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,194,96,37,14,442358082
5813091744,KCab-p_R,,KCab-p,Traced,635,285,3,1,8,2,392247819
