id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
326817334,SMP012_R,,SMP012,Traced,1781,488,6,,1,8,1335099785
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,424,316,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,1,,4814,1090,5117109108
415511327,KCg-m_R,,KCg-m,Traced,791,213,2,2,480,188,357755854
415848195,KCg-m_R,,KCg-m,Traced,798,213,2,1,443,163,342713700
415908516,KCg-m_R,,KCg-m,Traced,748,235,2,1,451,197,344222918
416189500,KCg-m_R,,KCg-m,Traced,835,254,1,1,474,206,361575893
417221397,SMP238_R,,SMP238,Traced,1837,1162,2,,18,7,2118638793
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,38,18,35,4,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,42,25,82,2,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,36,2,19,1,1773011190
425790257,APL_R,,APL,Traced,127151,16190,10116,1262,33649,3544,23360457066
446848967,KCg-m_R,,KCg-m,Traced,794,215,1,2,465,173,407287419
456462919,KCab-p_R,,KCab-p,Traced,633,245,1,,2,1,354321563
478591447,CL129_R,,CL129,Traced,3121,1067,23,5,26,1,1415882800
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,132,71,,1,404232661
486880919,SMP012_R,,SMP012,Traced,1734,464,12,,1,6,1337974199
487143497,MBON24(B2y5)_R,,MBON24,Traced,8285,723,1,,464,1,1630842748
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,18,5,107,4,5135386763
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,172,92,5,4,434027068
487489064,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,203,147,81,18,8,413858538
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,145,87,10,7,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,144,73,17,18,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,137,80,9,7,448443256
488179878,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,241,136,82,27,9,409972326
508939879,KCg-m_R,,KCg-m,Traced,679,237,54,23,265,131,391159969
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,73,84,1964048244
517847127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,651,261,189,107,18,10,454494825
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,192,93,4,1,410906156
517858947,KCab-p_R,,KCab-p,Traced,674,269,7,,5,3,390763882
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,165,94,5,4,449871654
518528152,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,280,185,100,13,9,406965578
518864844,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,708,282,160,85,31,11,477341060
518869381,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,290,146,97,18,15,487559505
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,115,79,10,5,418664355
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,4,1,3848,9,3839917924
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,152,87,8,6,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,152,70,11,9,405713307
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,148,72,26,12,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,143,81,7,2,455019134
539975122,KC(incomplete?),,,Traced,671,213,19,9,208,81,394579982
540389734,KCg-m_R,,KCg-m,Traced,771,259,3,,470,204,378955754
547552266,MBON33(y2y3)_R,,MBON33,Traced,6746,711,10,,2086,48,2406294739
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,196,96,2,2,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,197,91,12,8,429727313
548885313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,260,193,99,11,6,392539188
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,127,84,4,2,387491401
549899821,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,254,121,81,7,5,438957339
549904227,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,569,272,155,106,5,4,459101009
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,150,81,17,11,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,206,99,11,7,433385122
550245056,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,542,242,131,74,4,5,424536592
570742510,KCg-m_R,,KCg-m,Traced,823,274,6,2,517,224,410798272
570742527,KCg-m_R,,KCg-m,Traced,725,265,7,4,480,204,378231757
571778381,KCg-m_R,,KCg-m,Traced,717,243,1,1,451,193,364736474
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,3,,40,1,1823088730
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,143,75,3,2,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,137,57,17,10,417324948
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,141,77,9,7,391955328
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,134,81,11,8,452235552
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,124,69,10,17,470261330
581678043,CRE051_R,,CRE051,Traced,1335,185,3,,9,2,433534708
601725442,KC(incomplete?),,,Traced,611,242,29,21,113,66,428233069
601725569,KCg-d_R,,KCg-d,Traced,562,227,51,24,290,152,333188141
602476655,LHPV9b1_R,,LHPV9b1,Traced,2853,696,11,7,46,32,2622607123
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,143,83,4,3,427745414
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,179,86,10,8,406286707
