id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,BU(L) #post,BU(L) #pre,#voxels
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1,,134,279,4148353890
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1,2,143,276,5331729469
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,2,,38,4,814085663
1198684596,ER2_a(ring)_L,,ER2_a,Traced,1267,449,1,,51,1,549789390
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,1,,4,1,777031418
1230125720,ER3w_b(ring)_L,,ER3w_b,Traced,905,291,1,,86,3,419079858
1230480261,ER2_c(ring)_L,,ER2_c,Traced,1499,466,2,,41,1,714272277
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,3,1,2,1,720375603
1261169514,ER3p_a(ring)_L,,ER3p_a,Traced,888,319,1,,77,4,456720664
1292445517,ER3d_b(ring)_L,,ER3d_b,Traced,975,291,1,,85,2,389186608
1292799346,ER3m(ring)_L,,ER3m,Traced,924,333,2,,1,2,449128238
1322811232,ER3p_b(ring)_L,,ER3p_b,Traced,973,340,1,,126,7,453208049
5813045050,ER3w_b(ring)_L,,ER3w_b,Traced,902,296,1,,82,4,460800179
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,5,2,3486100136
