id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,BU(R) #post,BU(R) #pre,#voxels
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1,,105,352,4148353890
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1,2,148,474,5331729469
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,2,,108,11,1212692476
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,2,,138,5,1055943440
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,1,1,115,9,1211989816
1167645658,ER2_c(ring)_R,,ER2_c,Traced,1575,512,1,,152,1,1028415501
1167904437,ER2_c(ring)_R,,ER2_c,Traced,1568,464,3,,106,3,1009871327
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,2,1,127,9,1174302319
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,3,,118,16,1246980226
1230738247,ER5(ring)_R,,ER5,Traced,998,592,1,,90,8,1212148019
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1,3,110,5,1148479791
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,3,10,6190229391
