id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,438,442,2722993954
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1,,13,7,4148353890
984536209,LAL100_R,,LAL100,Traced,3609,1173,1,,1852,281,2063807718
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,55,,21,86,2278694286
986974738,CRE010(ADM03)_L,,CRE010,Traced,649,333,2,,144,67,627397855
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1,2,1440,157,5331729469
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,1,,57,16,552011293
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,,1,1,2791162363
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,647,130,,1,498035936
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,2,,,1,1055943440
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,1,,62,1,396639821
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,2,,57,89,622234921
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1,3,2,1,1148479791
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,3,2,6190229391
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,1,753,671,2164861052
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,1,,47,2,2345461437
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,1,7,3486100136
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,1,,572,486,1596324019
5813083779,CRE022_R,,CRE022,Traced,8464,1155,4,,85,78,2658194530
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,3,,66,62,799850664
7112622044,LAL137(PVL05)_L,VeLC-(LC)(c)Sm(b),LAL137,Traced,2087,1376,1,,80,192,1529252938
