id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,bL(R) #post,bL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,145,48,116,52,323658271
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,503,137,1075,268,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,232,63,420,110,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,318,79,1076,264,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,543,157,1155,333,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,271,76,776,236,475403925
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,142,48,315,111,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,478,145,1088,309,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,73,34,197,75,377339671
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,259,53,310,72,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,248,35,320,65,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,7262,15,10037,18,4356555624
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,153,38,172,40,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,274,76,662,182,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,592,167,1134,335,846161332
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,1,2,2,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,327,58,352,77,279368748
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,3,2,15,2,521006485
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,239,48,222,34,1964048244
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,673,214,956,282,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,747,147,449,109,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,1554,243,856,147,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,1454,296,704,152,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,3,2,77,24,399312668
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,3,,,1,343929818
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,837,170,394,101,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,310,89,1046,316,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,349,83,215,46,200058563
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,2,,4,1,6839504360
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,201,49,264,75,261596710
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,594,167,850,245,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,356,113,306,101,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,259,58,283,73,279472747
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,213,78,233,94,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,597,150,194,58,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,562,114,339,88,220213685
693927941,ALIN1_R,,ALIN1,Traced,1553,406,147,37,138,37,2113783525
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,364,75,256,59,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,997,184,624,125,311089027
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,97,35,291,108,357006298
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,1,,4,1,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,57,26,157,56,365582357
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,379,73,849,182,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,303,82,191,55,135248805
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,141,30,107,36,159577026
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,37,9,134,35,104991789
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,776,135,1055,205,486729507
1016805008,KCab-p_R,,KCab-p,Traced,703,242,81,37,228,80,378892564
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,1163,173,1616,276,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,2,1,9,4,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,465,136,220,79,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,230,61,451,131,430816435
