id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,gL(R) #post,gL(R) #pre,#voxels
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,318,79,9,2,610336226
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,142,48,,1,434301483
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,259,53,4,5,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,248,35,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,7262,15,82,2,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,5,,19,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,5333,1048,1336,329,6483095365
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,153,38,77,31,226850098
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,239,48,73,84,1964048244
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,3,,710,103,341998412
581060581,CRE027_R,,CRE027,Traced,1821,325,1,,35,3,1320584874
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,3,,651,132,343929818
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,2,,25325,10,6839504360
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,201,49,2,3,261596710
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,3,,61,12,299806071
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,3,,315,48,255879136
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,3,,246,52,214397229
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,213,78,17,5,251389374
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,141,4,2722993954
984536209,LAL100_R,,LAL100,Traced,3609,1173,1,,5,4,2063807718
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,3,,40,8,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,1,,17,2,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,55,,46,12,2278694286
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,84,2,60,6,2083130629
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,1,,34,8,2226046804
1050585709,PAM03(B2B'2a)_R,,PAM03,Traced,336,80,114,28,1,1,149916255
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,,17278,206,2791162363
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,1,,841,118,437796532
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,3,,165,23,297452211
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,391,77,10,1,474678964
1172796014,PAM08_a(y4)_L,,PAM08_a,Traced,825,209,1,,160,48,259656990
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,1,,579,126,396639821
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,1,,198,74,228273943
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,2,,28,2,294286432
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,1,,288,54,240889204
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,184,48,51,18,225739136
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,226,61,,1,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,77,35,6190229391
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,3,,318,46,259131792
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,1,,367,42,291541065
5812979560,PAM01_a(y5)_L,,PAM01_a,Traced,1468,128,4,,415,44,284303946
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,3,,51,15,288587422
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,1,,162,27,1631233720
5813052909,MBON29(y4y5)(PVL06)_L,,MBON29,Traced,5270,755,15,,1230,24,1673885779
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,1,,6392,21,2345461437
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,4,1,23,4,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,84,55,3486100136
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,2,,101,24,167259973
5813083779,CRE022_R,,CRE022,Traced,8464,1155,4,,370,3,2658194530
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,2,,34,5,340231907
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,3,,25,4,799850664
