id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,EB #post,EB #pre,#voxels
1136861363,ER2_c(ring)_R,,ER2_c,Traced,1524,457,3,,1413,453,1057527061
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,1,,1835,524,736880426
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1,,1830,519,1055943440
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,2,,1515,652,1472264855
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,2079,578,1174302319
1199712272,ER2_c(ring)_L,,ER2_c,Traced,1574,477,1,,1485,473,663224623
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,1,,962,299,624560735
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,57,34,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,828,157,,1,383407340
5812983309,KCab-c_R,,KCab-c,Traced,408,145,143,56,,1,228612790
5813050818,KCab-m_R,,KCab-m,Traced,560,188,149,52,,2,180469456
