id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,59,47,6917059458
417221397,SMP238_R,,SMP238,Traced,1837,1162,1,,37,47,2118638793
484130600,SMP145_R,,SMP145,Traced,3609,2264,1,,202,235,2489431605
540730639,KCg-m_R,,KCg-m,Traced,738,234,6,,3,1,366129174
611693656,SMP164_R,,SMP164,Traced,2493,804,1,,646,30,2344057409
644450565,CRE005_R,,CRE005,Traced,1857,858,1,,679,146,1442612455
644788121,LAL007_R,,LAL007,Traced,1344,765,1,,756,124,1701061495
662802782,KCg-m_R,,KCg-m,Traced,821,234,2,1,,1,343032811
667603691,ATL035_R,,ATL035,Traced,1272,359,1,,364,28,1101689382
739572008,CRE039_L,,CRE039,Traced,782,159,1,,154,13,504905684
792368888,MBON20(y1y2)_R,,MBON20,Traced,6136,1988,1,,851,7,5261473419
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,1,,10,3,1511191160
800286386,CRE080_R,pMP6b candidates,CRE080,Traced,1068,217,1,,1,5,888608503
829572451,KCab-c_R,,KCab-c,Traced,364,147,87,38,1,1,205049129
847254536,KCab-m_R,,KCab-m,Traced,534,199,125,58,,1,162721568
859960201,CRE043_b_R,,CRE043_b,Traced,1614,221,1,,35,10,769800671
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,438,442,2722993954
954053018,KCab-c_R,,KCab-c,Traced,468,158,112,39,1,1,241045676
1011611587,LAL002_R,,LAL002,Traced,2392,876,1,,560,495,1502700413
1015143077,CRE024_L,,CRE024,Traced,4924,969,258,,339,22,1768786393
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,,1,1,2791162363
1112436285,,,,Traced,376,677,1,,6,18,490334249
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,1,,33,2,853725137
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,1273,219,,1,498035936
1167300154,ER4d(ring)_R,,ER4d,Traced,1978,530,1,,,1,1055943440
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,2,,804,144,1472264855
1300276335,LAL159_R,VeLC-L(c),LAL159,Traced,6693,950,1,,4146,316,2323036998
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,3,2,6190229391
1504207129,LAL199_R,,LAL199,Traced,458,471,1,,148,293,987660334
1605181883,LAL008(ADM02)_L,,LAL008,Traced,1754,717,1,,923,576,1138502686
5812983423,KCab-m_R,,KCab-m,Traced,560,196,153,65,1,1,263403128
5813019850,CRE048_R,,CRE048,Traced,5674,1107,3,,208,19,2306300526
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,3,3,75,13,2864745122
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,5,1,83,70,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,1,1,4,6,975624467
5813050820,KCab-m_R,,KCab-m,Traced,554,187,142,63,,1,254323816
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,2,,47,2,2345461437
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,1,,106,13,1200274635
