id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,gL(L) #post,gL(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,644,151,6917059458
393404592,SMP127_R,,SMP127,Traced,2570,648,3,9,13,4,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,320,65,19,35,5265462913
484130600,SMP145_R,,SMP145,Traced,3609,2264,1,,10,5,2489431605
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,222,34,64,104,1964048244
519279166,CRE027_L,,CRE027,Traced,2134,327,1,,41,10,973318320
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,194,58,8,7,277333760
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,2,,36,4,360759597
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,191,55,4,1,135248805
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,1,,95,30,386116617
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,1,,13692,266,2083130629
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,2,,13331,335,2226046804
1050249677,PAM07(y4<y1y2)_R,,PAM07,Traced,1208,179,3,,78,29,419404915
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,,47,1,2791162363
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,9,2,1,1,339562986
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,4,1,32,6,324421746
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,1,,508,66,311773637
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,8,2,102,38,320100027
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,1,,79,32,429243268
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,1,,46,6,294286432
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,67,16,161,50,225739136
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,2,,114,25,354276543
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,19,7,6190229391
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,3,3,351,92,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7725,12,7,1,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,5,1,82,18,3288021127
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,8,1,54,10,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,2,,473,97,288587422
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,2,,443,21,2345461437
