id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,1076,264,9,2,610336226
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,6,8,424,316,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,315,111,,1,434301483
417221397,SMP238_R,,SMP238,Traced,1837,1162,1,,18,7,2118638793
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,310,72,4,5,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,17924,199,35,4,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,320,65,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,10037,18,82,2,4356555624
425768822,KCab-s_R,,KCab-s,Traced,719,254,248,89,4,1,350843815
425790257,APL_R,,APL,Traced,127151,16190,14938,1215,33649,3544,23360457066
426477089,KCab-s_R,,KCab-s,Traced,577,232,203,87,1,1,316376045
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,172,40,77,31,226850098
455793827,KCab-s_R,,KCab-s,Traced,575,252,156,81,1,1,322219018
456462919,KCab-p_R,,KCab-p,Traced,633,245,192,82,2,1,354321563
484130600,SMP145_R,,SMP145,Traced,3609,2264,1,,14,6,2489431605
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,3,4,,1,404232661
487143497,MBON24(B2y5)_R,,MBON24,Traced,8285,723,5606,6,464,1,1630842748
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,5,,107,4,5135386763
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,5,1,9,7,448443256
488205572,KCab-s_R,,KCab-s,Traced,662,273,179,88,8,8,324030943
509695478,KCg-m_R,,KCg-m,Traced,707,211,1,,423,167,341380321
509700197,KCg-m_R,,KCg-m,Traced,762,219,1,,439,175,354508934
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,222,34,73,84,1964048244
517858947,KCab-p_R,,KCab-p,Traced,674,269,204,81,5,3,390763882
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,5,,5,4,449871654
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,2,1,7,2,455019134
519279166,CRE027_L,,CRE027,Traced,2134,327,1,,23,6,973318320
519564501,KCab-s_R,,KCab-s,Traced,496,193,98,53,2,1,245598444
540730639,KCg-m_R,,KCg-m,Traced,738,234,6,,440,186,366129174
550599514,KCab-s_R,,KCab-s,Traced,599,207,153,72,1,1,274655094
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,4,3,3,2,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,8,2,17,10,417324948
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,1,2,11,8,452235552
602459682,KCg-m_R,,KCg-m,Traced,784,228,1,,443,176,338151440
611693656,SMP164_R,,SMP164,Traced,2493,804,1,,9,11,2344057409
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,12,5,2,1,405985069
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,4,1,25325,10,6839504360
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,264,75,2,3,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,30,,22,6,4377863012
613079053,MBON04(B'2mp_bilateral)_L,,MBON04,Traced,17615,1600,2,,2201,6,3379363451
631400288,KCg-d_R,,KCg-d,Traced,596,230,1,,435,190,368051780
632086737,KCg-d_R,,KCg-d,Traced,543,215,2,2,375,171,328980177
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,2,2,3,2,424988147
643362770,KCab-s_R,,KCab-s,Traced,596,243,164,79,2,3,320018612
644450565,CRE005_R,,CRE005,Traced,1857,858,1,,7,3,1442612455
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,6,2,3,3,388134264
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,3,3,11,4,426186749
662802782,KCg-m_R,,KCg-m,Traced,821,234,2,1,510,192,343032811
663134970,KCg-m_R,,KCg-m,Traced,784,259,9,5,468,196,392525010
663834152,KCg-m_R,,KCg-m,Traced,751,239,1,,433,194,328819897
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,1,,9,8,452846628
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,233,94,17,5,251389374
704409534,KCab-p_R,,KCab-p,Traced,685,243,284,94,3,1,354049999
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,1,,4912,38,1733289825
736813212,KCab-s_R,,KCab-s,Traced,582,245,166,92,1,1,315312530
739572008,CRE039_L,,CRE039,Traced,782,159,1,,73,1,504905684
753847960,KCg-m_R,,KCg-m,Traced,777,234,1,,474,197,328116484
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,3,2,10,7,440292610
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,3,,12,6,419723448
792368888,MBON20(y1y2)_R,,MBON20,Traced,6136,1988,1,,2624,39,5261473419
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,1,,41,4,1511191160
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,1,,26087,778,4762453854
800286386,CRE080_R,pMP6b candidates,CRE080,Traced,1068,217,1,,190,2,888608503
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,1,1,3,4,347955774
