id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,FB #post,FB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,3576,2111,6917059458
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,1,,3971,2823,3103732460
828027702,FB2C_L,SMPCREFB2_1,FB2C,Traced,1178,264,1,,591,257,457328614
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,1,,1096,463,1395825196
923809011,FB4K_R,CRESMPFB4_3,FB4K,Traced,1752,403,13,,1023,402,1255531817
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,5,,2235,452,1132282137
987877232,FB4K_L,CRESMPFB4_3,FB4K,Traced,2078,415,5,,1052,414,1341902381
1015592525,FB4A_L,CRESMPFB4_1,FB4A,Traced,689,107,2,,578,107,262043621
1075598224,FS1B(FQ9)_C2_R,FB25SMPSMP,FS1B,Traced,1109,113,11,,1031,1,304625174
1076293806,FB4D_L,CRESMPFB4_2,FB4D,Traced,1327,342,9,,1027,310,546158725
1102514975,FB5J_L,SMPFB5,FB5J,Traced,1614,238,4,,1338,236,465565865
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,8,5,736,549,635401587
1131831702,FB4K_R,CRESMPFB4_3,FB4K,Traced,1656,426,28,,976,421,1356524757
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,1,,384,314,560532390
1169739559,FB2K_L,LALSMPFB2,FB2K,Traced,752,138,1,,545,138,272803307
1224945409,FB2B_b_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1370,619,7,,1331,617,1059621938
1286315478,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2212,893,7,1,1945,881,905540252
1317354662,FB2B_b_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1478,594,8,,1415,593,1134982630
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,12,2,1965,865,917030170
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,131,64,6190229391
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,1,,1823,435,671097858
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,1,,1950,725,1173703683
5813041796,FB4X_L,CRESIPFB45,FB4X,Traced,3822,1149,10,,2693,1138,1452721843
5813053846,FB4H_L,CRELALFB4_4,FB4H,Traced,3047,822,1,,1913,736,1618714005
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,3071,1745,3486100136
5813062647,FB4A_L,CRESMPFB4_1,FB4A,Traced,1363,179,1,,1075,176,357841020
5813071255,FB4D_L,CRESMPFB4_2,FB4D,Traced,1248,349,1,,951,323,571000082
5813088712,FB4D_L,CRESMPFB4_2,FB4D,Traced,1404,318,6,6,1032,295,519936683
5813088939,FB6P_L,SMPCREFB6_1,FB6P,Traced,1862,285,10,,1372,249,600756468
