id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
328601956,CRE105_R,,CRE105,Traced,1995,492,2,,16,2,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,59,47,6917059458
422751191,SMP177_R,,SMP177,Traced,13884,2333,2,,20,20,3691832933
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,202,235,2489431605
487187476,SIP087_R,,SIP087,Traced,10957,3440,2,2,780,405,4036468535
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,1,,,1,3103732460
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,10,9,34,49,1640712084
581746661,SMP048(ADM01)_L,,SMP048,Traced,2927,2401,2,,147,418,4038248023
613040803,CRE049_R,,CRE049,Traced,2229,750,14,4,101,12,1511757943
640630581,CRE058_R,,CRE058,Traced,350,160,1,2,,2,394843136
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,69,,819,839,3202870430
669965108,CRE076_R,,CRE076,Traced,2873,1348,1,,127,41,2190715571
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,9,,3,1,483565747
675136878,CRE070_R,,CRE070,Traced,2002,703,1,,88,2,1301294761
702704906,CRE058_R,,CRE058,Traced,463,147,1,2,17,31,394131167
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,24,1,681,329,2183958132
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,170,2,210,242,1535739624
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,2,,8,11,1388838528
760690116,CRE066_R,,CRE066,Traced,934,533,14,3,132,30,937265171
767174553,CRE058_R,,CRE058,Traced,286,141,3,3,11,26,356082675
798892246,CRE058_R,,CRE058,Traced,338,167,1,3,12,38,404837069
829939688,CRE058_R,,CRE058,Traced,447,171,3,2,9,34,468137590
830419511,,,,Traced,263,177,3,1,10,30,257876494
831321033,LAL110_R,,LAL110,Traced,713,214,4,1,506,34,474498142
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,3100,29,450,699,2272675577
917919724,CRE066_R,,CRE066,Traced,605,431,9,,174,2,706765280
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,6,3,73,1,382633721
956820684,LAL110_R,,LAL110,Traced,638,223,5,,472,41,470275757
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,1,,66,1,332844630
984794932,CRE068_R,,CRE068,Traced,513,268,3,,264,24,494990396
984799284,CRE060_R,,CRE060,Traced,844,393,6,3,298,10,738647628
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,28,10,21,86,2278694286
1015143077,CRE024_L,,CRE024,Traced,4924,969,3,,339,22,1768786393
1016166622,CRE067_R,,CRE067,Traced,1039,396,5,4,147,3,735317516
1016506999,LAL198_R,,LAL198,Traced,2427,780,3,3,1858,58,1609357758
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,1,1,164,237,760736824
1047887562,CRE068_R,,CRE068,Traced,594,325,1,9,238,15,562548941
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,5210,87,1,1,2791162363
1110640084,CRE067_R,,CRE067,Traced,1342,370,5,,311,5,763267727
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,9,4,,1,498035936
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,170,77,27,3,366409907
1231044615,LAL076_R,L-LC(c)1,LAL076,Traced,4220,709,1,,4032,2,1394142188
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,14,18,594,1,1389645128
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,269,9,20,4,3823216871
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,3,2,6190229391
1576815601,LAL177(PVM03)_L,,LAL177,Traced,857,445,1,,588,405,538993825
1779696775,LAL084(AVM09)_L,SpVeL-LSpIp(c)2,LAL084,Traced,515,990,1,,28,167,1622938985
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,26,5,638,442,3325948715
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,13,21,75,13,2864745122
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,3,5,83,70,3288021127
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,4,,47,2,2345461437
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,1,7,3486100136
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,58,,572,486,1596324019
5813117126,VES040_R,,VES040,Traced,1105,571,1,,177,19,1062252422
