id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,aL(R) #post,aL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,7,,162,68,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,7,3,206,60,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,6,3,215,54,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,5,3,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,9,,130,39,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,18,17,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,10,3,71,17,434301483
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,8,1,82,37,377339671
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,651,177,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,2,1,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,12,,69,21,1773011190
425790257,APL_R,,APL,Traced,127151,16190,677,145,14634,1644,23360457066
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,18,1,22,4,348888419
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,38,27,193,96,371345136
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,2,632,209,555872978
487187476,SIP087_R,,SIP087,Traced,10957,3440,2,2,7,1,4036468535
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,17,2,492,166,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,16,5,437,143,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,119,30,1964048244
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,36,12,26,10,387116321
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,61,25,20,6,437355377
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,17,9,559,177,399312668
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,4,1,1,1,434243909
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,80,34,6,6,409839983
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,19,1,50,9,251389374
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,3,,144,36,357006298
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,11,6,234,137,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,11,3,154,62,365582357
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,109,48,,2,192486246
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,22,6,432,166,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,20,8,481,172,307010567
1016805008,KCab-p_R,,KCab-p,Traced,703,242,1,,194,71,378892564
1043151516,,,,Traced,156,246,1,3,,3,889810212
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,11,4,551,166,327454873
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,172,24,11,1,4211579375
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,17,4,676,193,551823489
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,17,5,555,195,339562986
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,15,3,952,260,659070629
1234731487,PAM14(B'1m)_L,,PAM14,Traced,277,117,18,2,,1,121961389
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,83,23,6190229391
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,4,1,128,46,431109241
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,26,5,1,1,3325948715
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,10,3,513,176,502377982
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,138,1,3,1,869209965
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,11,3,326,133,248528210
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,13,21,4,2,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,61,13,20,4,5444071374
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,96,32,20,5,427955175
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,93,51,2,2,338596004
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,12,3,338,83,547363626
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,37,14,5,2,442358082
5813091744,KCab-p_R,,KCab-p,Traced,635,285,8,2,148,80,392247819
