id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,bL(R) #post,bL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,7,,116,52,323658271
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,3,2,1075,268,684295892
299289811,SMP146_R,,SMP146,Traced,5080,1011,30,36,,1,2562854346
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,7,3,420,110,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,6,3,1076,264,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,5,1155,333,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,9,,776,236,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,6,8,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,10,3,315,111,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,5,2,1088,309,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,8,1,197,75,377339671
393404592,SMP127_R,,SMP127,Traced,2570,648,34,23,3,9,1245001681
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,3,,310,72,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,320,65,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,10037,18,4356555624
425790257,APL_R,,APL,Traced,127151,16190,677,145,14938,1215,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,4,1,172,40,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,18,1,662,182,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,13,7,1134,335,846161332
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,2,2,2,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,12,3,352,77,279368748
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,17,2,15,2,521006485
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,222,34,1964048244
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,36,12,6,3,387116321
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,22,4,956,282,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,27,3,449,109,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,17,3,856,147,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,12,2,704,152,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,17,9,77,24,399312668
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,2,,,1,343929818
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,22,2,394,101,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,4,1,1046,316,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,5,,215,46,200058563
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,1,264,75,261596710
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,19,3,850,245,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,22,6,306,101,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,5,,283,73,279472747
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,19,1,233,94,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,11,2,194,58,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,10,1,339,88,220213685
