id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,gL(L) #post,gL(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,4,1,12,1,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,30,36,22,15,2562854346
328601956,CRE105_R,,CRE105,Traced,1995,492,2,,36,14,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,644,151,6917059458
361376643,CRE025_R,,CRE025,Traced,3432,545,3,,2,1,1813320802
393404592,SMP127_R,,SMP127,Traced,2570,648,34,23,13,4,1245001681
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,19,35,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,12,,51,2,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,6728,1648,16559,4033,6483095365
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,1,,54,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,10,5,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,3,,392,50,380174418
487925063,MBON04(B'2mp_bilateral)_R,,MBON04,Traced,16859,1776,7340,7,2269,4,3269688224
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,2,,223,42,322182562
488581156,(MBDLaxon2),,,Traced,989,933,1,,4,1,1178319505
489051866,,,,Traced,71,40,7,2,9,7,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,64,104,1964048244
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,1,,28,1,3103732460
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,7,,394,47,341998412
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,48,,437,3,758606595
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,22,3,679,111,305318308
550431171,,,,Traced,374,415,4,5,1,3,466149886
577040776,,,,Traced,811,338,1,,30,3,406252950
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,10,9,1,3,1640712084
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,10,4,274,58,417405171
581121328,,,,Traced,890,139,6,,6,1,851399266
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,2,,113,27,343929818
