id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,gL(R) #post,gL(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,4,1,15,6,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,30,36,20,4,2562854346
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,6,3,9,2,610336226
328601956,CRE105_R,,CRE105,Traced,1995,492,2,,38,2,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,424,316,6917059458
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,10,3,,1,434301483
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,3,,4,5,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,29,38,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,604,2,82,2,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,12,,19,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,6728,1648,1336,329,6483095365
425790257,APL_R,,APL,Traced,127151,16190,677,145,33649,3544,23360457066
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,4,1,77,31,226850098
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,1,,33,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,14,6,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,3,,827,100,380174418
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,2,,594,121,322182562
488581156,(MBDLaxon2),,,Traced,989,933,1,,8,3,1178319505
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,40,71,73,84,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,30,19,2,1,478509017
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,7,,710,103,341998412
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,22,3,330,44,305318308
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,10,4,909,198,417405171
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,2,,651,132,343929818
612440702,PAM01_b(y5)_L,,PAM01_b,Traced,695,152,2,,119,27,243491946
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,1,2,3,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,1078,9,22,6,4377863012
613040803,CRE049_R,,CRE049,Traced,2229,750,14,4,19,9,1511757943
613079053,MBON04(B'2mp_bilateral)_L,,MBON04,Traced,17615,1600,1,,2201,6,3379363451
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,12,,310,36,321942494
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,25,,100,2,2023774583
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,12,,362,52,328254208
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,528,98,61,12,299806071
644417074,PAM06_b(B'2m)_R,,PAM06_b,Traced,1138,120,184,21,92,8,315506243
