id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,2,9,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4,1,3,3,5117109108
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,6,,1,2489431605
549597974,SMP142_R,,SMP142,Traced,3235,2217,7,11,,2,2511194126
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,2,,9,3,1823088730
613040803,CRE049_R,,CRE049,Traced,2229,750,3,,1,1,1511757943
675136878,CRE070_R,,CRE070,Traced,2002,703,5,1,,2,1301294761
894702888,LAL013_R,,LAL013,Traced,2190,934,1,1,6,5,1654988582
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,,95,198,1472264855
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,1,,78,4,462734560
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,3,10,6190229391
