id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,EB #post,EB #pre,#voxels
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,15,8,,1,371345136
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,2,,24,5,1823088730
915605943,FB6P_R,SMPCREFB6_1,FB6P,Traced,1994,241,7,,42,10,593506244
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,,1515,652,1472264855
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,12,2,4,1,1011197699
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,1,,641,239,462734560
1322470368,ER1_a(ring)_R,,ER1_a,Traced,703,211,1,,488,210,508046690
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,57,34,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,14,1,,1,383407340
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,,1,3486100136
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,420,186,1,1,467187303
