id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,FB #post,FB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,3576,2111,6917059458
423770604,FB5I_R,SMPCREFB5_3,FB5I,Traced,4793,1230,1,,3000,1213,2357223448
548907426,FB4X_R,CRESIPFB45,FB4X,Traced,4862,1240,12,,2850,1235,2158696775
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,2,,1101,873,1823088730
642715622,FB2C_R,SMPCREFB2_1,FB2C,Traced,1675,305,1,,652,295,756531675
677182018,FB2B_b_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1760,554,5,,1377,551,1202233671
766863785,FB5J_R,SMPFB5,FB5J,Traced,1529,211,8,,1199,210,482844983
766864238,FB2C_R,SMPCREFB2_1,FB2C,Traced,1895,218,1,,657,212,507464057
858933153,FB4A_R,CRESMPFB4_1,FB4A,Traced,1506,145,1,,1026,142,397631268
858937324,FB4D_R,CRESMPFB4_2,FB4D,Traced,1784,335,3,,1069,299,650269006
859618655,FB4D_R,CRESMPFB4_2,FB4D,Traced,1648,336,23,3,1102,308,692407236
860305498,FB6N_R,CRESMPFB6_1,FB6N,Traced,2372,599,2,,1804,583,1360706288
915605943,FB6P_R,SMPCREFB6_1,FB6P,Traced,1994,241,7,,1432,227,593506244
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,15,,1096,463,1395825196
923809011,FB4K_R,CRESMPFB4_3,FB4K,Traced,1752,403,5,,1023,402,1255531817
953414780,FB4H_R,CRELALFB4_4,FB4H,Traced,4189,875,2,,1926,759,2648335537
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,1,,1930,692,1724906752
987877232,FB4K_L,CRESMPFB4_3,FB4K,Traced,2078,415,24,,1052,414,1341902381
1016192580,FB4O_R,CRESMPFB4d,FB4O,Traced,1516,613,2,,755,548,965319533
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,1,,833,384,724270517
1100801188,FB4D_R,CRESMPFB4_2,FB4D,Traced,1610,379,2,2,1009,340,678707599
1109599486,FB4J_R,CRELALFB4_5,FB4J,Traced,1881,314,1,,1017,299,736167505
1131822592,FB4I_R,LALCREFB4,FB4I,Traced,1868,335,2,,748,312,1015553194
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,1,,369,332,853725137
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,,1,1,1472264855
1224591262,FB2K_R,LALSMPFB2,FB2K,Traced,1169,137,1,,568,137,341742024
1224595673,FB2B_b_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1766,573,6,,1439,571,1072620872
1225290240,FB4A_R,CRESMPFB4_1,FB4A,Traced,810,107,1,,579,107,285458779
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,12,2,1850,822,1011197699
1286315478,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2212,893,6,3,1945,881,905540252
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,6,1,1965,865,917030170
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,131,64,6190229391
5812980666,FB5K_R,CREFB5,FB5K,Traced,4136,627,6,,2308,450,1601760267
5813053851,FB5W_R,SMPCREFB5_7,FB5W,Traced,993,246,1,,570,232,755813941
5813058333,FB2K_R,LALSMPFB2,FB2K,Traced,1322,158,1,,681,158,358424567
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,13,1,1798,783,1042477121
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,3071,1745,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,1,,3717,2821,3621432113
5813071020,FB5W_R,SMPCREFB5_7,FB5W,Traced,467,100,1,,239,89,296284563
