id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
422751191,SMP177_R,,SMP177,Traced,13884,2333,17,5,7,21,3691832933
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,6,4,11,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,11,1,1,1,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,2,9,35,29,2422546196
487187476,SIP087_R,,SIP087,Traced,10957,3440,26,3,31,37,4036468535
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,14,4,11,7,307715800
581121328,,,,Traced,890,139,3,,49,1,851399266
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,13,3,2,1,324988292
640630581,CRE058_R,,CRE058,Traced,350,160,3,,1,2,394843136
641688553,CRE042_R,,CRE042,Traced,6850,1277,47,1,140,103,2405591250
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,106,,251,343,4367730421
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,5,,22,49,795100404
669965108,CRE076_R,,CRE076,Traced,2873,1348,17,,22,11,2190715571
675136878,CRE070_R,,CRE070,Traced,2002,703,5,1,11,7,1301294761
675528661,CRE024_R,,CRE024,Traced,4337,984,5,,228,6,2090195593
702704906,CRE058_R,,CRE058,Traced,463,147,1,3,4,2,394131167
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,10,2,1,1,311089027
730013818,ATL007(ADM10)_L,CL-AtIb(c)1,ATL007,Traced,1013,340,4,,467,26,877968363
732038716,(ADL08)_L,,,Traced,295,305,1,,22,13,258018867
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,11,,56,1,1388838528
767174553,CRE058_R,,CRE058,Traced,286,141,1,1,3,12,356082675
800303089,PPL108_R,,PPL108,Traced,5875,2272,1,,634,524,2618373937
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,7,3,4,3,135248805
829939688,CRE058_R,,CRE058,Traced,447,171,2,4,5,14,468137590
864156049,CRE047(ADM10)_L,,CRE047,Traced,660,119,1,,183,32,393708474
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,734,3,59,76,2722993954
895441451,MBON26(B'2d)_R,,MBON26,Traced,11560,1283,3956,7,45,60,2786939491
924391422,,,,Traced,455,421,5,,,1,413803412
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,1,,29,31,540136093
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,9,,,1,977135458
1014802430,LAL175_R,,LAL175,Traced,1878,450,4,,427,316,924926310
1015143077,CRE024_L,,CRE024,Traced,4924,969,37,,5,3,1768786393
1015484487,,,,Traced,623,710,5,3,30,18,523595977
1016506999,LAL198_R,,LAL198,Traced,2427,780,3,1,1,8,1609357758
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,1,1,758,13,760736824
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,300,72,79,2,4211579375
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,1,,409,260,959950008
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,193,99,31,1,282949058
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,,1,6190229391
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,10,6,61,44,3325948715
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,2,17,1,3349981626
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,508,,6,1,3410455915
5813022759,CRE059_R,,CRE059,Traced,1452,568,1,,56,45,1127295229
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,44,2,19,57,3288021127
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,10,,80,40,1631233720
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,14,8,3486100136
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,2,,31,1,167259973
5813083779,CRE022_R,,CRE022,Traced,8464,1155,5,,142,136,2658194530
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,58,,332,313,1674077310
5901213440,CRE011_R,,CRE011,Traced,19674,2149,7,,35,85,5844952800
5901221584,LAL137_R,VeLC-(LC)(c)Sm(b),LAL137,Traced,4244,1427,1,,68,164,2323051347
