id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,aL(R) #post,aL(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,15,5,162,68,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,15,10,206,60,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,4,,215,54,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,11,1,3,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,8,4,130,39,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,18,17,6917059458
333035349,KCab-s_R,,KCab-s,Traced,526,212,2,1,194,98,254599892
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,26,7,71,17,434301483
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,44,8,82,37,377339671
363030040,KCab-s_R,,KCab-s,Traced,641,229,1,,282,126,313793782
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4,1,67,11,5117109108
394427392,KCab-s_R,,KCab-s,Traced,650,247,4,4,221,109,248847423
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,329,36,2037,513,3157840413
424754530,KCab-s_R,,KCab-s,Traced,612,241,8,1,250,111,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,35,37,651,177,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1109,3,2,1,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,2,,253,96,382647663
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,8,1,69,21,1773011190
425790257,APL_R,,APL,Traced,127151,16190,11254,1515,14634,1644,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,4,2,212,94,271653563
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,4,2,22,4,348888419
455793743,KCab-s_R,,KCab-s,Traced,634,244,1,,266,126,300619269
456121649,KCab-s_R,,KCab-s,Traced,555,221,2,1,200,113,309280336
456462835,KCab-p_R,,KCab-p,Traced,646,277,7,3,206,104,383994746
456462919,KCab-p_R,,KCab-p,Traced,633,245,9,1,255,115,354321563
456467162,KCab-p_R,,KCab-p,Traced,574,248,5,3,167,96,332313427
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,15,8,193,96,371345136
477861840,KCab-p_R,,KCab-p,Traced,723,243,17,4,182,84,422024205
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,10,5,632,209,555872978
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,319,125,41,17,404232661
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,270,111,30,13,432706975
487187476,SIP087_R,,SIP087,Traced,10957,3440,26,3,7,1,4036468535
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,393,189,1,1,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,312,149,1,2,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,326,150,4,2,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,4,1,195,72,346345890
508918609,KCa'b'-m_R,,KCa'b'-m,Traced,706,266,319,129,15,6,448221441
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,15,3,492,166,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,22,5,437,143,428816755
517510393,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,609,256,305,136,2,3,410542571
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,64,,17,7,1948744287
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,11,26,119,30,1964048244
517858947,KCab-p_R,,KCab-p,Traced,674,269,13,3,181,89,390763882
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,298,119,6,4,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,16,5,185,79,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,306,103,8,4,449871654
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,308,122,22,9,408741628
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,313,171,4,2,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,327,165,,1,405713307
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,359,163,7,4,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,2,1,216,88,350846940
519573128,KCab-p_R,,KCab-p,Traced,728,249,8,1,248,99,360265700
540389646,KCg-m_R,,KCg-m,Traced,845,252,2,1,1,1,398420703
540389734,KCg-m_R,,KCg-m,Traced,771,259,2,1,13,2,378955754
542371432,KCab-p_R,,KCab-p,Traced,691,271,1,,214,96,367180498
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,239,105,26,10,387116321
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,297,135,8,4,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,332,115,6,4,429727313
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,340,121,11,8,321780254
548553386,KCa'b'-m_R,,KCa'b'-m,Traced,667,229,306,120,5,2,508515179
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,238,102,20,6,437355377
548889938,KCa'b'-m_R,,KCa'b'-m,Traced,696,250,309,115,9,4,297282561
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,316,135,4,2,432164604
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,308,103,38,18,370237636
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,289,129,1,2,415488258
549248200,KCab-p_R,,KCab-p,Traced,714,256,5,1,237,107,392920755
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,369,189,1,1,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,318,108,3,1,433385122
570314896,KCa'b'-m_R,,KCa'b'-m,Traced,753,268,379,154,4,3,452328772
573065577,KCab-p_R,,KCab-p,Traced,669,256,6,3,194,96,379155378
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,21,8,559,177,399312668
579583329,KCa'b'-m_R,,KCa'b'-m,Traced,608,236,281,124,3,2,382209820
579587796,KCa'b'-m_R,,KCa'b'-m,Traced,683,260,319,132,6,5,292206525
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,329,136,22,11,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,348,136,14,1,417324948
579916831,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2652,246,29,,32,1,504515769
579924731,KCa'b'-m_R,,KCa'b'-m,Traced,610,245,302,126,2,2,407203929
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,306,125,3,1,391955328
580598373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,586,268,320,146,1,1,427496011
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,345,155,,2,470261330
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,10,9,1,1,434243909
600365719,KCab-p_R,,KCab-p,Traced,657,271,1,1,210,103,366582664
601725442,KC(incomplete?),,,Traced,611,242,64,34,,2,428233069
611304789,KCab-s_R,,KCab-s,Traced,587,240,2,1,197,120,304981734
611646050,KCab-p_R,,KCab-p,Traced,697,263,11,2,193,94,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,5,1,187,80,368031615
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,320,153,3,2,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,324,103,27,14,405985069
612668833,KCab-s_R,,KCab-s,Traced,544,235,1,1,203,116,286463671
630373497,KCab-s_R,,KCab-s,Traced,575,248,1,1,204,111,302148793
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,346,139,2,1,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,17,7,162,69,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,354,162,14,9,440563976
642680826,KCab-p_R,,KCab-p,Traced,670,262,6,2,191,85,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,11,3,220,84,398461486
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,297,125,18,3,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,272,117,14,7,368237390
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,239,106,6,6,409839983
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,315,133,4,3,426186749
662452625,KCg-m_R,,KCg-m,Traced,855,287,4,2,6,3,420547401
662789529,KCab-s_R,,KCab-s,Traced,641,226,1,,246,102,335022825
663134970,KCg-m_R,,KCg-m,Traced,784,259,5,1,1,1,392525010
673029543,KCa'b'-m_R,,KCa'b'-m,Traced,611,225,275,111,6,4,383192868
673085197,CRE051_R,,CRE051,Traced,1568,184,25,,5,1,496936655
673362451,CRE055_R,,CRE055,Traced,643,134,22,1,4,1,316250529
673366263,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,247,331,138,8,6,458158360
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,287,106,14,7,362640450
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,336,130,1,1,436340617
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,2,1,50,9,251389374
704409534,KCab-p_R,,KCab-p,Traced,685,243,4,1,204,82,354049999
704409742,KCab-s_R,,KCab-s,Traced,633,241,4,2,216,110,292719846
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,306,129,13,6,354105707
704746449,KCab-p_R,,KCab-p,Traced,697,254,6,1,257,98,395383220
704746457,KCab-p_R,,KCab-p,Traced,741,247,20,9,209,77,389043123
733036127,MBON07(a1)_R,,MBON07,Traced,15519,474,18,,14600,14,1520161953
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,13,6,144,36,357006298
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,334,145,11,4,435548368
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,260,113,1,1,442032641
737150041,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,309,163,,2,430026335
754893183,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,648,230,306,111,,1,374622528
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,12,5,234,137,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,5,1,154,62,365582357
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,360,122,6,3,419723448
768184604,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,657,249,298,125,9,5,453806345
797187575,CRE055_R,,CRE055,Traced,652,169,5,2,7,1,333114208
798528850,KCa'b'-m_R,,KCa'b'-m,Traced,650,245,318,127,12,4,407487653
799215269,KCab-p_R,,KCab-p,Traced,696,262,3,,273,101,325014264
799219795,KCab-p_R,,KCab-p,Traced,661,250,1,,213,89,362078093
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,251,15,6,2,4762453854
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,297,141,6,1,406524522
816962833,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,571,235,245,107,2,2,383807289
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,275,108,18,16,436705876
829235909,KCab-p_R,,KCab-p,Traced,756,257,3,1,185,81,370647687
830586919,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,647,249,320,123,,1,452127041
847989021,KCab-m_R,,KCab-m,Traced,558,197,1,,208,92,316359111
861280857,KCab-p_R,,KCab-p,Traced,664,252,18,7,233,107,381165541
861285145,KCab-p_R,,KCab-p,Traced,735,266,2,2,249,96,376842335
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,347,138,1,1,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,367,2,8,1,1813984393
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,384,141,3,2,347955774
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,313,115,7,3,409554421
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,285,117,27,11,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,21,10,220,82,361940760
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,314,132,7,3,428622683
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,187,102,,2,192486246
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,323,164,1,1,389074673
1003474283,KCg-m_R,,KCg-m,Traced,821,250,1,,,1,361361087
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,26,10,432,166,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,12,4,481,172,307010567
1016805008,KCab-p_R,,KCab-p,Traced,703,242,10,3,194,71,378892564
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,335,135,3,1,411433282
1034198388,KCab-p_R,,KCab-p,Traced,733,260,31,11,201,85,361965654
1043151516,,,,Traced,156,246,4,4,,3,889810212
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,7,6,551,166,327454873
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,303,118,27,7,437209470
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,300,72,11,1,4211579375
1048854479,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,262,327,143,,1,408398286
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,328,170,1,1,443024347
1064891781,KCab-p_R,,KCab-p,Traced,741,271,7,3,262,96,389121740
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,7,4,676,193,551823489
1078874826,KCab-p_R,,KCab-p,Traced,586,221,7,2,166,80,360621538
1108545472,KCab-p_R,,KCab-p,Traced,628,250,6,2,206,79,345725929
1108545599,KCab-s_R,,KCab-s,Traced,608,251,2,1,193,119,315709589
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,3,555,195,339562986
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,350,169,3,2,444926933
1139667240,MBON13(a'2)_R,,MBON13,Traced,9664,1277,3,,204,21,2294799280
1140950118,KCg-m_R,,KCg-m,Traced,761,244,1,2,2,1,335259195
1141972202,KCg-m_R,,KCg-m,Traced,815,267,13,5,5,2,420915787
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,7,4,,1,426294048
1142658717,KCg-m_R,,KCg-m,Traced,697,264,1,1,,1,372743702
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,350,147,4,4,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,309,147,7,2,420909311
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,309,134,7,5,393635014
1170667130,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,315,374,179,,1,514238091
1172665846,KCg-m_R,,KCg-m,Traced,895,281,18,3,3,3,308381801
1200351169,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,664,250,339,127,,1,445817696
1200351200,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,595,234,309,140,5,1,350624191
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,308,132,2,1,451995760
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,314,139,3,5,404305308
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,25,5,952,260,659070629
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,43,,14426,25,1466363330
1234731487,PAM14(B'1m)_L,,PAM14,Traced,277,117,190,97,,1,121961389
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,330,143,7,3,446959185
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,299,113,35,16,429239588
1328505485,KCab-p_R,,KCab-p,Traced,723,261,6,1,219,85,394578410
1387575003,KCab-p_R,,KCab-p,Traced,706,261,6,1,194,88,398985389
1388585088,KCab-p_R,,KCab-p,Traced,635,220,2,1,192,76,352744706
1418273110,KCab-p_R,,KCab-p,Traced,608,250,4,2,194,97,278789370
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,83,23,6190229391
1450011431,KCab-c_R,,KCab-c,Traced,328,134,1,3,104,44,211232050
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,244,95,45,22,407157814
5812980425,KCab-s_R,,KCab-s,Traced,601,213,1,1,222,96,254520884
5812980561,KCab-m_R,,KCab-m,Traced,561,213,1,,227,112,288691782
5812980566,KCab-p_R,,KCab-p,Traced,708,255,4,,216,85,364085447
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,15,5,128,46,431109241
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,10,6,1,1,3325948715
5812980792,KCab-p_R,,KCab-p,Traced,667,280,13,3,199,91,374117772
5812980938,KCab-p_R,,KCab-p,Traced,693,270,4,2,236,103,399456127
5812980940,KCab-p_R,,KCab-p,Traced,655,260,1,,211,95,352333297
5812981068,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,260,317,147,9,5,420573073
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,301,105,12,5,385557469
5812981072,KCa'b'-m_R,,KCa'b'-m,Traced,649,226,322,114,20,10,393185864
5812981160,KCg-m_R,,KCg-m,Traced,911,269,1,,12,7,407533415
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,335,160,8,4,447193387
5812981274,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,566,235,260,114,3,1,383887653
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,332,130,1,2,474294817
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,305,122,1,1,451840346
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,243,76,19,10,390005539
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,320,161,3,1,446321131
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,404,186,2,3,446538834
5812981361,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,558,214,254,122,3,3,390359463
5812981379,KCab-s_R,,KCab-s,Traced,570,236,2,1,213,99,300101280
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,316,108,1,1,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,339,121,12,8,455420889
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,303,104,6,2,418827569
5812981553,KCa'b'-m_R,,KCa'b'-m,Traced,647,237,310,125,,1,409831606
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,356,130,5,7,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,329,122,7,3,391061782
5812981570,KCa'b'-m_R,,KCa'b'-m,Traced,642,249,312,128,5,2,449506766
5812981581,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,645,213,313,101,,1,458081929
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,329,117,14,4,413897094
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,313,82,6,7,404873540
5812981643,KCab-p_R,,KCab-p,Traced,682,252,8,3,199,75,374726947
5812981680,KCab-p_R,,KCab-p,Traced,734,281,2,1,248,103,282267054
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,396,101,6,2,328939713
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,316,112,18,10,478708280
5812981797,KCa'b'-m_R,,KCa'b'-m,Traced,763,234,327,115,7,1,415406453
5812981800,KCa'b'-m_R,,KCa'b'-m,Traced,651,249,313,147,28,17,399866760
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,321,107,22,10,402147766
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,299,106,12,4,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,270,119,1,1,464186591
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,240,124,14,5,405213419
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,320,111,7,4,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,294,103,6,3,399100731
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,295,114,25,9,365482537
