id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,aL(L) #post,aL(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,27,8,5265462913
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,,1,6,2320900064
489051866,,,,Traced,71,40,9,7,6,2,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,131,51,1964048244
706287739,,,,Traced,45,35,1,1,1,2,32124162
706633128,,,,Traced,52,36,2,1,6,5,27955134
1015622418,,,,Traced,809,407,761,369,3,2,235779801
1173866149,,,,Traced,400,200,20,17,5,3,142748783
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,19394,483,,1,3823216871
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,10,,2070,464,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,4,,3,1,869209965
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,142,10,289,106,2038784377
