id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,a'L(L) #post,a'L(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,1,2,5265462913
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,,2,3,2320900064
489051866,,,,Traced,71,40,9,7,18,11,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,3,2,1964048244
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,27,,14,1,2023774583
706287739,,,,Traced,45,35,1,1,34,26,32124162
706633128,,,,Traced,52,36,2,1,16,6,27955134
766660682,,,,Traced,805,403,5,2,57,37,329942671
768677562,,,,Traced,2537,714,210,7,,2,1232037610
1170409025,,,,Traced,401,202,1,,19,9,122832054
1171423213,,,,Traced,978,429,932,402,1,1,295799970
1173866149,,,,Traced,400,200,20,17,5,1,142748783
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,10,,3,4,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,4,,30,15,869209965
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,142,10,16,12,2038784377
