id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,b'L(R) #post,b'L(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,12,1,19,53,1973521252
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,21,21,6917059458
393404592,SMP127_R,,SMP127,Traced,2570,648,13,4,12,29,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,5,1,4,1,5117109108
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,35,37,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,51,2,8,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,16559,4033,3,2,6483095365
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,5,10,6,2489431605
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,4,,1827,9,3979007410
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,223,42,26,2,322182562
488581156,(MBDLaxon2),,,Traced,989,933,4,1,1,1,1178319505
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,11,26,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,13,,19,20,478509017
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,12,1,382607989
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,1,3,,4,1640712084
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,274,58,53,21,417405171
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,10,,5319,7,6839504360
613083375,CRE032_L,,CRE032,Traced,918,233,3,2,18,1,653637060
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,800,95,9,1,321942494
641688553,CRE042_R,,CRE042,Traced,6850,1277,4,,47,1,2405591250
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,27,,28,1,2023774583
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,137,15,291,55,299806071
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,1,,13,6,275698658
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,8,7,5,2,277333760
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,23,,1,3,2183958132
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,36,4,638,155,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,3,4,11,3,937265171
