id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,2,9,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4814,1090,3,3,5117109108
417221397,SMP238_R,,SMP238,Traced,1837,1162,18,7,7,27,2118638793
484130600,SMP145_R,,SMP145,Traced,3609,2264,14,6,,1,2489431605
549597974,SMP142_R,,SMP142,Traced,3235,2217,33,20,,2,2511194126
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,40,1,9,3,1823088730
613040803,CRE049_R,,CRE049,Traced,2229,750,19,9,1,1,1511757943
675136878,CRE070_R,,CRE070,Traced,2002,703,5,,,2,1301294761
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,13,12,,2,1598047565
861583205,AOTU030_R,,AOTU030,Traced,809,325,1,,,2,624827084
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,1,,245,221,1622607507
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1,,109,3,1166760517
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,4115,979,1,3,3658564958
1201296549,LAL190_R,pMP19 candidates; SpLC-SpIb(c),LAL190,Traced,3339,646,3,1,,1,2077826485
1202241942,TuBu08_SBU_R,,TuBu08,Traced,421,70,1,,52,69,231384843
1232979445,TuBu10_SBU_R,,TuBu10,Traced,256,75,1,,52,73,227339709
1232983358,TuBu08_SBU_R,,TuBu08,Traced,211,66,1,,56,64,194355244
1263646693,LC33a_R,,LC33a,Traced,274,206,1,,,1,488943456
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,3,10,6190229391
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,16,1,,1,1798572771
5813065506,TuBu10_SBU_R,,TuBu10,Traced,308,66,1,,71,64,195579340
