id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
296139882,SMP076_R,,SMP076,Traced,6704,1813,43,,21,2,3427118784
298258513,SMP108_R,,SMP108,Traced,23289,2753,171,,9,3,5584315251
328601956,CRE105_R,,CRE105,Traced,1995,492,38,2,16,2,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,59,47,6917059458
417221397,SMP238_R,,SMP238,Traced,1837,1162,18,7,37,47,2118638793
421041565,SMP157_R,,SMP157,Traced,2309,737,14,4,32,29,1339640338
422738252,SMP178_R,,SMP178,Traced,6049,1058,6,3,28,2,2124179274
448342846,CRE075_R,,CRE075,Traced,6837,880,38,,34,16,3305148308
452742028,SMP457_R,,SMP457,Traced,4033,164,14,,122,5,1550731579
455155337,SMP152_R,,SMP152,Traced,1942,697,20,,21,19,1726731677
484130600,SMP145_R,,SMP145,Traced,3609,2264,14,6,202,235,2489431605
484368420,SLP461(SCB045)_R,,SLP461,Traced,1209,453,6,,11,4,735748551
484821546,SMP586_R,,SMP586,Traced,2205,504,24,2,47,74,1433691715
487187476,SIP087_R,,SIP087,Traced,10957,3440,1,,780,405,4036468535
488922181,SMP048_R,,SMP048,Traced,5146,2705,2,1,258,463,5638174363
508689623,CRE074_R,,CRE074,Traced,5672,1362,26,,573,214,5376151826
518217691,Leaves Body,,,Traced,913,938,125,44,2,5,1000837714
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,14,7,252,5,3738265959
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,3848,9,1415,941,3839917924
520617773,CL265_R,pIP6 candidates,CL265,Traced,2024,941,6,,38,49,3090347718
540730639,KCg-m_R,,KCg-m,Traced,738,234,440,186,3,1,366129174
544038123,mALD1_L,,mALD1,Traced,7276,3026,5,,3086,89,5756235469
547552266,MBON33(y2y3)_R,,MBON33,Traced,6746,711,2086,48,325,61,2406294739
549597974,SMP142_R,,SMP142,Traced,3235,2217,33,20,219,230,2511194126
550988122,SMP471_R,,SMP471,Traced,5458,660,1,,617,141,1982292734
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,24,7,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,2,7,43,99,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,12,4,50,79,979623989
570742599,KCg-m_R,,KCg-m,Traced,800,259,523,209,2,2,409027498
576566223,SMP153_R,,SMP153,Traced,2897,682,1,,215,180,1545265002
578254032,SMP151_R,,SMP151,Traced,1731,597,2,,40,56,1457232811
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,40,1,512,54,1823088730
579575594,LHPV5e3_R,,LHPV5e3,Traced,6596,2163,1,,184,315,3043835720
581678043,CRE051_R,,CRE051,Traced,1335,185,9,2,6,1,433534708
582027783,CRE044_R,,CRE044,Traced,1332,159,26,,463,113,617254604
582372162,,,,Traced,418,690,19,4,19,25,776986494
582709537,CRE044_R,,CRE044,Traced,1250,171,16,,428,140,678420295
602459169,KCg-m_R,,KCg-m,Traced,748,238,449,178,,1,379512073
610312734,CRE023_R,,CRE023,Traced,3901,1023,49,5,156,15,2864705468
610321522,SMP151_R,,SMP151,Traced,1801,578,12,,45,49,1444829096
611323175,mALB1_L,,mALB1,Traced,3606,1903,4,1,66,2,3507551623
611629428,CRE077_R,,CRE077,Traced,4028,748,20,,31,2,1769946727
611693656,SMP164_R,,SMP164,Traced,2493,804,9,11,646,30,2344057409
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,20,22,16,5,791330474
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,1010,49,13,4,665934503
612742298,CRE036_L,,CRE036,Traced,592,134,6,,5,10,567524859
612742316,CRE036_L,,CRE036,Traced,536,144,4,,,3,593417196
613040803,CRE049_R,,CRE049,Traced,2229,750,19,9,101,12,1511757943
613044611,SMP075_R,,SMP075,Traced,2408,458,97,1,45,1,1142572517
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,7,1,27,7,748302593
613083317,CRE039_L,,CRE039,Traced,1042,176,2,,164,12,511939729
613083359,CRE029_c_L,,CRE029_c,Traced,1255,301,7,7,45,5,760445981
613083375,CRE032_L,,CRE032,Traced,918,233,339,17,8,14,653637060
613386220,CRE045_R,,CRE045,Traced,960,139,3,,6,6,497385365
633148704,KCg-m_R,,KCg-m,Traced,848,237,508,199,1,1,360958036
633148859,KCg-m_R,,KCg-m,Traced,828,262,449,217,2,1,364698402
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,5,2,490,61,2934178330
642723975,mALB2_L,,mALB2,Traced,1218,958,1,,75,1,1841140320
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,7289,42,89,1,4367730421
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,37,1,23,35,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,15,5,19,13,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,4,1,3,11,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,8,1,2,5,468734043
644450565,CRE005_R,,CRE005,Traced,1857,858,7,3,679,146,1442612455
644788121,LAL007_R,,LAL007,Traced,1344,765,1,,756,124,1701061495
662802782,KCg-m_R,,KCg-m,Traced,821,234,510,192,,1,343032811
667266529,CRE108(SCB032)_R,,CRE108,Traced,2538,839,27,11,52,128,2527313023
667603691,ATL035_R,,ATL035,Traced,1272,359,3,,364,28,1101689382
667857582,LHPV7c1_R,,LHPV7c1,Traced,2339,1062,185,36,17,6,2219154543
668967527,CRE040_R,CL-Sm(c),CRE040,Traced,14008,1750,41,1,2619,199,5225476639
669649730,LAL022_R,C-LSm,LAL022,Traced,2589,481,1,,678,210,1040173512
669965108,CRE076_R,,CRE076,Traced,2873,1348,1,,127,41,2190715571
673776769,SMP156_R,,SMP156,Traced,5988,578,101,7,701,1,2068609640
674446014,LAL030_a_R,,LAL030_a,Traced,1344,276,2,,288,170,470532941
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,5,2,50,10,836699232
675127699,CRE045_R,,CRE045,Traced,683,139,15,,18,12,502181344
675136878,CRE070_R,,CRE070,Traced,2002,703,5,,88,2,1301294761
675144908,CRE028_L,,CRE028,Traced,1537,302,11,,60,26,867131884
675144948,CRE031_L,,CRE031,Traced,654,198,10,2,95,19,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,3,16,2,5,611705625
675187572,CRE030_a_R,,CRE030_a,Traced,642,213,8,1,13,25,668621996
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,29,4,15,31,739581338
675822802,CRE007_R,,CRE007,Traced,924,392,4,,35,26,944486742
693846112,KCg-m_R,,KCg-m,Traced,787,234,491,189,,1,382253016
701371011,SMP370_R,,SMP370,Traced,1736,699,8,2,261,316,2101402424
703179848,SMP148(ADM10)_L,,SMP148,Traced,2816,540,1,,416,513,1240925488
704816317,,,,Traced,925,1100,2,2,22,41,1390622287
706862579,CRE059_R,,CRE059,Traced,1466,552,3,,189,22,1186755402
707509964,CRE044_R,,CRE044,Traced,1142,131,13,,353,84,534985829
724531411,KCg-m_R,,KCg-m,Traced,821,250,518,212,3,3,364478609
725200110,KCg-m_R,,KCg-m,Traced,685,237,428,186,,1,350777909
733458828,SMP163_R,,SMP163,Traced,6932,1726,20,1,2789,120,3678936127
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,4,,8,11,1388838528
735470654,AVLP563_R,,AVLP563,Traced,3287,876,8,6,19,24,2355820571
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,13,12,48,59,1598047565
736140238,CRE080_R,pMP6b candidates,CRE080,Traced,1128,245,85,1,41,4,854691700
736830579,CRE008_R,,CRE008,Traced,822,242,9,,110,29,609687971
739572008,CRE039_L,,CRE039,Traced,782,159,73,1,154,13,504905684
760690116,CRE066_R,,CRE066,Traced,934,533,1,,132,30,937265171
766186252,SMP385(PDM09)_L,,SMP385,Traced,4511,2809,2,,209,174,2600167473
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,475,195,19,27,2704741582
767903933,SMP273_R,,SMP273,Traced,1311,851,1,,66,3,1725905249
767904550,CRE021_R,aSP14e candidates,CRE021,Traced,3506,794,25,4,281,25,2045947305
768590452,aIPg3_R,,aIPg3,Traced,840,318,2,,1,1,628099355
769191110,AOTU021_R,,AOTU021,Traced,722,161,10,,7,13,553591426
769263962,AVLP477_R,,AVLP477,Traced,3877,898,8,,12,30,3183304555
769605178,CRE047_R,,CRE047,Traced,1053,114,21,,422,61,469273291
770930321,CRE037_L,,CRE037,Traced,558,150,2,,8,5,539301387
770952011,CRE038_L,,CRE038,Traced,507,143,6,,9,14,557020698
792368888,MBON20(y1y2)_R,,MBON20,Traced,6136,1988,2624,39,851,7,5261473419
799249679,CRE092_R,pMP6a candidates,CRE092,Traced,773,283,2,2,33,1,735601613
799263200,CRE043_d_R,,CRE043_d,Traced,1169,169,19,,50,9,621057673
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,41,4,10,3,1511191160
799868224,AOTU019_R,AoSiLVe-LVeSpIp(c),AOTU019,Traced,16870,541,10,1,4522,1,8144664705
800212976,AOTU022_R,,AOTU022,Traced,592,211,13,,11,27,520441588
800286386,CRE080_R,pMP6b candidates,CRE080,Traced,1068,217,190,2,1,5,888608503
800303089,PPL108_R,,PPL108,Traced,5875,2272,23,2,646,491,2618373937
800373114,AVLP477(PDM12)_L,,AVLP477,Traced,323,845,1,,11,53,1534568346
816276925,KCg-m_R,,KCg-m,Traced,818,259,538,222,2,1,342972796
819725372,CL199_R,,CL199,Traced,3265,863,4,1,18,40,2739280146
822708945,mALD3_L,,mALD3,Traced,1958,1536,55,62,55,9,1875675718
827889523,CRE009_R,,CRE009,Traced,2288,421,1,,68,4,1078071024
829636950,CRE046_R,Sm-C,CRE046,Traced,1305,170,5,,5,3,593390794
829939688,CRE058_R,,CRE058,Traced,447,171,1,,9,34,468137590
830034406,LAL154_R,,LAL154,Traced,2561,825,4,,909,8,1562703817
832357089,CRE044_R,,CRE044,Traced,1527,158,56,,252,93,652753263
859960201,CRE043_b_R,,CRE043_b,Traced,1614,221,26,,35,10,769800671
861583205,AOTU030_R,,AOTU030,Traced,809,325,1,,145,25,624827084
862787861,CRE037_R,,CRE037,Traced,247,130,3,,19,10,379708980
863698974,LAL155(PVM03)_L,,LAL155,Traced,1494,548,17,,10,9,1064408131
864156049,CRE047(ADM10)_L,,CRE047,Traced,660,119,1,,163,61,393708474
882580620,CL199(PDM12)_L,,CL199,Traced,724,858,6,,8,26,1896030360
885262087,FB7I_R,SMPSIPFB76,FB7I,Traced,1858,487,1,,,1,929300073
