id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,aL(R) #post,aL(R) #pre,#voxels
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,1,,206,60,549779297
300968622,KCab-m_R,,KCab-m,Traced,511,193,1,,198,81,279723087
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,9,2,215,54,610336226
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,18,17,6917059458
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,5,,4477,1042,2855596370
332353438,KCab-s_R,,KCab-s,Traced,622,227,2,,239,105,282464071
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,82,37,377339671
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4814,1090,67,11,5117109108
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,35,4,2037,513,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,651,177,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,82,2,2,1,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,2,,253,96,382647663
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,19,1,69,21,1773011190
425768822,KCab-s_R,,KCab-s,Traced,719,254,4,1,241,111,350843815
425790257,APL_R,,APL,Traced,127151,16190,33649,3544,14634,1644,23360457066
426477089,KCab-s_R,,KCab-s,Traced,577,232,1,1,201,100,316376045
455793827,KCab-s_R,,KCab-s,Traced,575,252,1,1,227,119,322219018
456462919,KCab-p_R,,KCab-p,Traced,633,245,2,1,255,115,354321563
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,2,,193,96,371345136
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,107,4,3,3,5135386763
487187476,SIP087_R,,SIP087,Traced,10957,3440,1,,7,1,4036468535
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,10,7,1,1,488901567
