id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
299289811,SMP146_R,,SMP146,Traced,5080,1011,20,4,,1,2562854346
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,1,,420,110,549779297
300968622,KCab-m_R,,KCab-m,Traced,511,193,1,,151,68,279723087
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,9,2,1076,264,610336226
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,6,8,6917059458
332353438,KCab-s_R,,KCab-s,Traced,622,227,2,,169,73,282464071
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,197,75,377339671
393404592,SMP127_R,,SMP127,Traced,2570,648,6,,3,9,1245001681
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,4,5,310,72,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,35,4,17924,199,3157840413
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,320,65,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,82,2,10037,18,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,2,,250,88,382647663
425768822,KCab-s_R,,KCab-s,Traced,719,254,4,1,248,89,350843815
425790257,APL_R,,APL,Traced,127151,16190,33649,3544,14938,1215,23360457066
426477089,KCab-s_R,,KCab-s,Traced,577,232,1,1,203,87,316376045
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,77,31,172,40,226850098
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,1134,335,846161332
455793827,KCab-s_R,,KCab-s,Traced,575,252,1,1,156,81,322219018
456462919,KCab-p_R,,KCab-p,Traced,633,245,2,1,192,82,354321563
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,4,,5,2,389441845
487143497,MBON24(B2y5)_R,,MBON24,Traced,8285,723,464,1,5606,6,1630842748
