id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,15,6,19,53,1973521252
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,1,,15,10,549779297
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,21,21,6917059458
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,44,8,377339671
361312808,SMP503_R,,SMP503,Traced,6751,2857,6,,5,1,3604127635
393404592,SMP127_R,,SMP127,Traced,2570,648,6,,12,29,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4814,1090,4,1,5117109108
415511327,KCg-m_R,,KCg-m,Traced,791,213,480,188,4,1,357755854
416189500,KCg-m_R,,KCg-m,Traced,835,254,474,206,4,2,361575893
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,4,5,12,1,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,35,4,329,36,3157840413
424193116,SMP179(PDL05)_L,,SMP179,Traced,1202,459,2,,8,2,886175713
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,35,37,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,82,2,1109,3,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,19,1,8,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,1336,329,3,2,6483095365
425790257,APL_R,,APL,Traced,127151,16190,33649,3544,11254,1515,23360457066
446883390,KCg-m_R,,KCg-m,Traced,865,234,521,193,,1,377269724
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,77,31,13,1,226850098
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,12,9,846161332
456462919,KCab-p_R,,KCab-p,Traced,633,245,2,1,9,1,354321563
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,2,,15,8,371345136
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,4,,307,131,389441845
484130600,SMP145_R,,SMP145,Traced,3609,2264,14,6,10,6,2489431605
486880919,SMP012_R,,SMP012,Traced,1734,464,1,6,4,1,1337974199
487187476,SIP087_R,,SIP087,Traced,10957,3440,1,,26,3,4036468535
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,5,4,287,133,434027068
487489064,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,203,18,8,311,92,413858538
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,10,7,393,189,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,17,18,312,149,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,9,7,326,150,448443256
488179878,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,241,27,9,343,139,409972326
488322846,SMP128_L,,SMP128,Traced,310,261,2,,5,6,319243147
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,594,121,26,2,322182562
488581156,(MBDLaxon2),,,Traced,989,933,8,3,1,1,1178319505
508599211,KCg-m_R,,KCg-m,Traced,900,275,551,238,3,1,391667248
508939879,KCg-m_R,,KCg-m,Traced,679,237,265,131,144,53,391159969
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,73,84,11,26,1964048244
517847127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,651,261,18,10,290,122,454494825
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,4,1,269,116,410906156
517858947,KCab-p_R,,KCab-p,Traced,674,269,5,3,13,3,390763882
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,5,4,306,103,449871654
518528152,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,280,13,9,332,150,406965578
518864844,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,708,282,31,11,371,170,477341060
518869381,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,290,18,15,349,169,487559505
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,10,5,320,145,418664355
518899665,LHPV4m1_R,,LHPV4m1,Traced,3967,1255,2,,25,2,1662469777
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,8,6,313,171,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,11,9,327,165,405713307
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,26,12,360,164,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,7,2,359,163,455019134
520380132,SMP127_L,,SMP127,Traced,508,457,2,1,19,20,478509017
539975122,KC(incomplete?),,,Traced,671,213,208,81,227,90,394579982
540389646,KCg-m_R,,KCg-m,Traced,845,252,534,194,2,1,398420703
540389734,KCg-m_R,,KCg-m,Traced,771,259,470,204,2,1,378955754
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,2,2,297,135,437425024
