id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,15,6,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,20,4,2562854346
326817334,SMP012_R,,SMP012,Traced,1781,488,1,8,1335099785
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,9,2,610336226
328601956,CRE105_R,,CRE105,Traced,1995,492,38,2,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,6917059458
354775482,KCg-m_R,,KCg-m,Traced,824,215,503,178,364842113
354779890,KCg-m_R,,KCg-m,Traced,826,245,495,198,388027390
357599074,(MBDLaxon1),,,Traced,476,881,2,1,1261142667
361445621,SMP108(ADM05)_L,,SMP108,Traced,11702,2349,9,3,3653164758
385132611,KCg-m_R,,KCg-m,Traced,816,216,473,169,359895397
385158577,KCg-m_R,,KCg-m,Traced,778,249,471,194,344786958
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4814,1090,5117109108
415494049,KCg-m_R,,KCg-m,Traced,860,279,518,230,359168904
415511327,KCg-m_R,,KCg-m,Traced,791,213,480,188,357755854
415835070,KCg-m_R,,KCg-m,Traced,874,279,570,243,374127182
415835178,KCg-m_R,,KCg-m,Traced,782,236,475,198,357072364
415848195,KCg-m_R,,KCg-m,Traced,798,213,443,163,342713700
415848228,KCg-m_R,,KCg-m,Traced,804,230,478,191,352180121
415852518,KCg-m_R,,KCg-m,Traced,756,225,463,190,356420419
415908516,KCg-m_R,,KCg-m,Traced,748,235,451,197,344222918
416189410,KCg-m_R,,KCg-m,Traced,792,221,459,181,332080912
416189500,KCg-m_R,,KCg-m,Traced,835,254,474,206,361575893
416508862,KCg-m_R,,KCg-m,Traced,729,236,438,208,306305817
416837168,KCg-m_R,,KCg-m,Traced,897,269,512,223,351642916
417221397,SMP238_R,,SMP238,Traced,1837,1162,18,7,2118638793
421041565,SMP157_R,,SMP157,Traced,2309,737,14,4,1339640338
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,4,5,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,35,4,3157840413
422738252,SMP178_R,,SMP178,Traced,6049,1058,6,3,2124179274
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,15468,213,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,82,2,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,19,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,1336,329,6483095365
425768822,KCab-s_R,,KCab-s,Traced,719,254,4,1,350843815
425790257,APL_R,,APL,Traced,127151,16190,33649,3544,23360457066
426477089,KCab-s_R,,KCab-s,Traced,577,232,1,1,316376045
446533552,KCg-m_R,,KCg-m,Traced,848,257,505,211,384220830
446826981,KCg-m_R,,KCg-m,Traced,706,214,407,172,395677487
446848967,KCg-m_R,,KCg-m,Traced,794,215,465,173,407287419
446883390,KCg-m_R,,KCg-m,Traced,865,234,521,193,377269724
447219992,KCg-m_R,,KCg-m,Traced,753,197,441,155,359890313
447224575,KCg-m_R,,KCg-m,Traced,888,240,562,200,363711829
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,77,31,226850098
455159380,PAM01_b(y5)_R,,PAM01_b,Traced,1311,162,722,112,330101101
455793827,KCab-s_R,,KCab-s,Traced,575,252,1,1,322219018
456174330,PAM01_b(y5)_R,,PAM01_b,Traced,797,133,405,93,279536002
456462919,KCab-p_R,,KCab-p,Traced,633,245,2,1,354321563
456523994,SMP165_R,,SMP165,Traced,1962,465,15,3,1120887108
477900945,KCg-m_R,,KCg-m,Traced,823,273,485,228,375967380
477900959,KCg-m_R,,KCg-m,Traced,924,296,575,252,380792156
477909602,KCg-m_R,,KCg-m,Traced,847,253,480,199,369104591
477909679,KCg-m_R,,KCg-m,Traced,749,251,486,221,373910590
477909698,KCg-m_R,,KCg-m,Traced,861,250,533,216,358516826
478250407,KCg-m_R,,KCg-m,Traced,780,219,460,177,338185464
478250482,KCg-m_R,,KCg-m,Traced,871,270,509,222,362403274
478591447,CL129_R,,CL129,Traced,3121,1067,26,1,1415882800
478660968,KCg-m_R,,KCg-m,Traced,808,261,463,213,344368201
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,33,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,14,6,2489431605
484821546,SMP586_R,,SMP586,Traced,2205,504,24,2,1433691715
486544396,PAL02_R,,PAL02,Traced,3643,1119,17,3,1542761987
486880919,SMP012_R,,SMP012,Traced,1734,464,1,6,1337974199
487143497,MBON24(B2y5)_R,,MBON24,Traced,8285,723,464,1,1630842748
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,107,4,5135386763
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,5,4,434027068
487489064,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,203,18,8,413858538
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,10,7,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,17,18,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,9,7,448443256
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,827,100,380174418
488179878,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,241,27,9,409972326
488205572,KCab-s_R,,KCab-s,Traced,662,273,8,8,324030943
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,594,121,322182562
488581156,(MBDLaxon2),,,Traced,989,933,8,3,1178319505
488922181,SMP048_R,,SMP048,Traced,5146,2705,2,1,5638174363
