id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,FB #post,FB #pre,#voxels
204613133,FB8E_L,SMPSIPFB8_1,FB8E,Traced,446,209,1,,365,198,220786546
234292899,FB7M_L,SMPSIPFB7_5,FB7M,Traced,923,187,4,1,673,167,347121784
235985275,FB8E_L,SMPSIPFB8_1,FB8E,Traced,474,233,1,,431,228,245218113
265120677,FB8A_R,SLPSMPFB8_1,FB8A,Traced,801,266,6,2,348,262,761202336
295820085,FB8E_R,SMPSIPFB8_1,FB8E,Traced,899,292,4,,640,269,561103366
296155122,FB8F_b_R,SIPSLPFB8,FB8F_b,Traced,780,158,1,,150,40,438655704
296497316,SAF(FB9)_R,SlpAF,SAF,Traced,657,131,4,2,371,107,378275835
296880800,FB8E_R,SMPSIPFB8_1,FB8E,Traced,550,202,2,,382,189,375617837
325489440,FB8D_R,SLPSMPFB8_2,FB8D,Traced,1009,155,5,2,500,119,473500434
327398074,SA3_bilateral_L,SlpA,SA3,Traced,214,101,1,1,24,12,153740384
328744210,FB5G_L,SMPSIPFB56,FB5G,Traced,530,190,1,,371,155,272031975
329289084,FB6G_R,SIPSMPFB6_3,FB6G,Traced,1808,868,1,2,1079,802,1571979600
362507326,FB6M_L,WEDLALFB6,FB6M,Traced,733,306,6,1,615,220,832418315
391155165,FB7G_L,SMPFB78,FB7G,Traced,981,375,1,1,907,357,416497322
422876942,FB6E_L,SIPSMPFB6_2,FB6E,Traced,2152,1260,3,2,1919,1230,1338822383
422877762,FB6U_L,SMPCREFB6_2,FB6U,Traced,2077,529,6,,1811,477,669495303
423770604,FB5I_R,SMPCREFB5_3,FB5I,Traced,4793,1230,2,1,3000,1213,2357223448
424236821,FB7C_L,SMPSIPFB7_1,FB7C,Traced,680,186,1,,474,170,513343165
454939928,FB6Y_L,SMPSIPFB6_8,FB6Y,Traced,655,215,2,2,554,211,569928087
481199836,FB8C_L,SMPFB8; Tdc2-PB1/2 candidates,FB8C,Traced,1538,272,1,,895,231,950832376
483193732,FB8C_L,SMPFB8; Tdc2-PB1/2 candidates,FB8C,Traced,1290,272,3,1,746,244,844593401
486315287,FB5H_L,CRESMPFB5_3,FB5H,Traced,3530,1414,1,,2280,1207,1336169619
486842208,FB5C_R,SMPCREFB5_1,FB5C,Traced,2509,533,1,,1661,416,904720446
516322115,FB2L_L,SMPCREFB2_2,FB2L,Traced,1151,274,1,,543,271,543148609
540112974,hDeltaD_07_C4,FB18D3FB8,hDeltaD,Traced,2395,354,28,12,2363,342,851325995
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,15,19,498,466,1838016114
549385850,FB6W_L,CRESMPFB6_2,FB6W,Traced,1622,491,2,,1229,465,608940546
577373434,FB6B_L,SMPSIPFB6_2,FB6B,Traced,1481,585,5,2,1138,575,786341866
580426342,FB5Y_L,SMPSIPFB5d_2,FB5Y,Traced,1204,539,1,,935,536,721763806
614081151,FB5A_R,LALCREFB5,FB5A,Traced,5503,1054,2,,3168,1020,2383963952
639779973,FB2D_L,LALCREFB2_2,FB2D,Traced,3255,596,1,,3029,583,958409797
707539688,FB5A_R,LALCREFB5,FB5A,Traced,5980,1099,4,,3420,1085,2445429216
757694775,PFL3(PB12c)_L2_C9_irreg,PB1-7FB1245LAL,PFL3,Traced,2257,12,1,,1690,12,800382887
762222901,FB6C_b_L,SIPSMPFB6_1,FB6C_b,Traced,919,845,4,2,641,770,1524038099
766937594,FB5W_L,SMPCREFB5_7,FB5W,Traced,805,240,1,,547,231,454269053
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,46,83,,2,1165397767
788729370,hDeltaG_07_C4,FB235d6vD3FB6v,hDeltaG,Traced,2766,410,11,,2753,409,899461550
884921013,FB7I_L,SMPSIPFB76,FB7I,Traced,1939,502,1,,1595,445,621971378
885257860,FB8C_R,SMPFB8; Tdc2-PB1/2 candidates,FB8C,Traced,1449,290,6,,849,252,1010104009
885599260,FB7J_R,FB78,FB7J,Traced,2064,215,8,1,2029,214,717713948
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,2,1,1075,264,493818064
885940052,FB8H_L,SMPSLPFB8,FB8H,Traced,443,247,1,3,264,236,452531833
886280796,hDeltaF_14_C6,FB16d7D2FB67,hDeltaF,Traced,2936,388,1,,2934,388,720373872
886281163,hDeltaD_14_C8,FB18D3FB8,hDeltaD,Traced,2150,354,39,1,2106,352,736377876
886285039,FB9B_a_L,SLPFB9_2,FB9B_a,Traced,111,74,1,,104,72,104407349
886285443,FB9B_b(?)_L,SLPFB9_2,FB9B_b,Traced,261,78,1,,250,70,142560006
889414782,FB6N_L,CRESMPFB6_1,FB6N,Traced,2013,585,1,1,1776,572,888012974
911496103,vDeltaA_b(AB)_C9,AF,vDeltaA_b,Traced,280,62,9,4,225,58,144494630
912187099,vDeltaE_C8,FB123D0FB6v,vDeltaE,Traced,928,139,2,1,923,138,307573925
915605750,hDeltaF_07_C3,FB16d7D2FB67,hDeltaF,Traced,2812,373,5,3,2804,369,790097104
915606051,hDeltaL_07_C6,FB26D5FB6d,hDeltaL,Traced,2697,372,10,4,2677,368,803946164
915610256,hDeltaL_14_C12,FB26D5FB6d,hDeltaL,Traced,2216,465,3,,2211,465,856297241
915610725,FB7J_R,FB78,FB7J,Traced,2175,216,1,,2157,216,826381017
915615021,FB5Z_L,SMPCREFB5_9,FB5Z,Traced,894,308,1,,412,291,494326001
915615087,hDeltaC_07_C6,FB26D7FB6,hDeltaC,Traced,1253,255,13,2,1237,253,552927958
915619188,FB7H_L,SMPFB7,FB7H,Traced,1804,401,1,,1765,393,670999192
915943091,hDeltaG_14_C8,FB235d6vD3FB6v,hDeltaG,Traced,3013,447,8,,3002,447,939972448
