id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
390818643,SMP188(PDL05)_L,,SMP188,Traced,950,471,1,6,31,70,687666518
419980081,ATL013_R,,ATL013,Traced,176,144,1,3,,5,346895266
486315287,FB5H_L,CRESMPFB5_3,FB5H,Traced,3530,1414,1,,20,1,1336169619
488922181,SMP048_R,,SMP048,Traced,5146,2705,2,1,67,182,5638174363
544637659,SMP192(PDL05)_L,,SMP192,Traced,580,391,2,,27,23,661247098
549722579,CRE040(ADM10)_L,CL-Sm(c),CRE040,Traced,8553,1786,2,,1535,206,3413169368
699312063,ATL013_R,,ATL013,Traced,234,177,1,,1,4,431857453
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,46,83,,1,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,569,12,,1,3151242119
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,134,279,3,1,4148353890
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,1,,6,8,4703423471
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,143,276,2,2,5331729469
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,6,2,27,5,1390563331
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,1,,15,11,639370086
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,2,2,3,2,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,38,4,5,1,814085663
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,1,1,7,2,795222199
1167645523,ER4d(ring)_L,,ER4d,Traced,1875,527,3,,4,5,773720688
1198049989,FC2C(FQ7)_C9_R,FB1d367CRE,FC2C,Traced,1073,142,1,,3,5,304289885
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,4,1,5,3,777031418
1231066741,ER5(ring)_L,,ER5,Traced,908,532,67,1,,1,653116753
1231070792,ER5(ring)_L,,ER5,Traced,802,573,65,1,,1,727012684
1231070863,ER5(ring)_L,,ER5,Traced,922,549,52,,1,1,718636091
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,2,1,1,1,720375603
1262183558,,,,Traced,5,10,1,1,2,4,10664662
1292846965,ER4d(ring)_L,,ER4d,Traced,1823,554,2,,4,1,793818583
1322142804,ER1_b(ring)_L,,ER1_b,Traced,158,88,1,,2,2,103711026
1386331495,,,,Traced,16,3,13,1,2,2,6305568
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,26,2,7,3,783143047
1447724560,,,,Traced,69,53,1,,47,37,92764497
5813013152,ATL013(PDL05)_L,,ATL013,Traced,181,216,1,1,,5,292304495
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,9,1,33,6,1173703683
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,5,2,14,8,3486100136
