id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,BU(L) #post,BU(L) #pre,#voxels
295136778,FB8A_R,SLPSMPFB8_1,FB8A,Traced,667,308,2,,,1,957819355
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,1686,433,15,19,1838016114
579420623,FB5Y_L,SMPSIPFB5d_2,FB5Y,Traced,1281,523,1,,,1,772907348
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,1560,601,46,83,1165397767
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,6796,1406,569,12,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,7117,1212,518,9,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,1235,1188,134,279,4148353890
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,6369,1328,505,16,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,6309,1261,607,12,3339909507
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,1757,457,8,7,1935836510
1003249888,hDeltaK_07_C6a,EBFB34D5FB6,hDeltaK,Traced,886,269,72,1,54,21,658035288
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,2088,416,,7,1439854944
1036330791,PFR_a(PB11a)_R2_C8,PFR_a,PFR_a,Traced,1492,390,40,,,1,440621040
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1217,1160,143,276,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1613,451,22,23,2079662476
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,2917,406,3,7,1375874653
1135518161,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,182,83,1,,4,3,177730173
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1541,677,46,81,1198248632
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,1835,524,2,2,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,1874,546,38,4,814085663
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,2184,606,,1,786241461
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,2018,601,1,1,795222199
1168055653,ER3w_b(ring)_L,,ER3w_b,Traced,904,302,804,299,98,2,438796749
1168064774,ER2_c(ring)_L,,ER2_c,Traced,1406,475,1326,471,80,4,671313309
1168392003,ER3w_b(ring)_L,,ER3w_b,Traced,917,292,823,286,89,2,459211674
1168392468,ER3w_b(ring)_L,,ER3w_b,Traced,909,306,850,299,53,4,441292208
