id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,EB #post,EB #pre,#voxels
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,76,21,,1,3103732460
632544268,EPG(PB08)_R2,EPG,EPG,Traced,3959,432,3,,3671,224,1117114642
694920753,EPG(PB08)_R5,EPG,EPG,Traced,3441,455,1,,3207,261,1192481040
695629525,EPG(PB08)_R2,EPG,EPG,Traced,4153,472,4,,3837,250,1239801790
882144985,IB005_R,,IB005,Traced,2133,702,246,154,,1,1521696579
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,1,,,1,493818064
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,19,2,,1,732988105
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3,1,1235,1188,4148353890
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,2,2,1217,1160,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1,,1613,451,2079662476
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,1,,2937,188,836597415
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,1,1,,1,1579340978
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,1,,3001,211,846890948
1137288015,EL(EQ5)_L,EBGAs,EL,Traced,4987,858,6,,4669,775,1233512438
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,3,2,1835,524,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,5,1,1874,546,814085663
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,5,3,2184,606,786241461
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,6,4,1909,530,1212692476
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,7,2,2018,601,795222199
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,3,1,1946,568,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1,2,1912,542,1166760517
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,4,1,1899,575,1211989816
1167645523,ER4d(ring)_L,,ER4d,Traced,1875,527,4,5,1866,517,773720688
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,6,3,1989,597,1292065740
1167982211,ER4d(ring)_L,,ER4d,Traced,1615,487,3,1,1603,481,670334136
1198006801,ER4d(ring)_L,,ER4d,Traced,2051,623,5,,2041,621,832982241
1198413357,ER2_c(ring)_L,,ER2_c,Traced,1323,463,1,,1239,456,630315706
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,9,3,1798,548,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,5,4,2079,578,1174302319
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,8,6,1810,547,1246980226
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,5,3,1939,580,777031418
1230026402,ER4d(ring)_L,,ER4d,Traced,1845,537,6,1,1830,534,760123557
1230738163,ER3a_c(ring)_L,,ER3a_c,Traced,729,251,4,,714,250,360042168
1231070863,ER5(ring)_L,,ER5,Traced,922,549,1,1,868,547,718636091
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,4,2,2006,557,1276005185
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1,1,1985,573,720375603
1261760230,ER3a_b(ring)_L,,ER3a_b,Traced,583,258,9,,567,254,311578782
1261773006,ER3a_b(ring)_L,,ER3a_b,Traced,585,259,2,,569,253,306382934
1261773104,ER3a_d(ring)_L,,ER3a_d,Traced,650,242,8,,632,240,275406332
1291094742,ER1_b(ring)_L,,ER1_b,Traced,571,233,3,,567,231,276237954
1291103485,ER1_a(ring)_L,,ER1_a,Traced,368,189,1,1,364,186,224377538
1292846965,ER4d(ring)_L,,ER4d,Traced,1823,554,4,1,1808,552,793818583
1322129724,ER1_b(ring)_L,,ER1_b,Traced,482,201,3,1,474,198,244246188
1322129730,ER1_b(ring)_L,,ER1_b,Traced,509,202,1,1,504,200,235331267
1322133531,ER1_b(ring)_L,,ER1_b,Traced,468,189,4,1,462,186,234150609
1322142804,ER1_b(ring)_L,,ER1_b,Traced,158,88,2,2,154,83,103711026
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,4,5,1876,536,1148479791
1324209745,FB3B(EB)_L,EBCREFB3,FB3B,Traced,696,244,13,,220,41,346714067
1353168228,ER1_b(ring)_L,,ER1_b,Traced,211,82,3,3,203,69,105050398
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,7,3,1891,553,783143047
1513674176,ER4d(ring)_R,,ER4d,Traced,1993,588,2,2,1847,565,1182276480
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,777,576,,1,2164861052
5813047793,ER4m(ring)_L,,ER4m,Traced,1530,906,1,,1522,905,982538865
5813059835,ER1_a(ring)_L,,ER1_a,Traced,459,217,5,,449,216,220990482
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,,1,3486100136
5813088939,FB6P_L,SMPCREFB6_1,FB6P,Traced,1862,285,3,,152,33,600756468
