id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,FB #post,FB #pre,#voxels
386280932,FC2B(FQ7)_C7_R,FB1d356CRE,FC2B,Traced,2270,200,17,8,2225,147,451954908
391155063,FB2G_b_L,SIPLALFB2,FB2G_b,Traced,795,397,7,,552,393,699767169
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,66,226,2348,14,1542373100
485926760,FB4E_L,CRELALFB4_1,FB4E,Traced,788,138,30,3,529,135,296309896
486315287,FB5H_L,CRESMPFB5_3,FB5H,Traced,3530,1414,20,1,2280,1207,1336169619
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,76,21,3971,2823,3103732460
611814312,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1322,401,38,,973,398,575526783
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,41,162,2229,13,1102000302
639779973,FB2D_L,LALCREFB2_2,FB2D,Traced,3255,596,10,,3029,583,958409797
704233784,FB2C_L,SMPCREFB2_1,FB2C,Traced,1280,307,11,,728,305,475166099
724267537,PFNv(PB05)_R5_C6,PFNv,PFNv,Traced,1294,324,1,,114,114,557959797
733203990,FB5Q_L,SMPCREFB5d,FB5Q,Traced,1245,469,1,1,524,417,597800683
735941543,FB2C_L,SMPCREFB2_1,FB2C,Traced,1272,298,22,,705,286,448082303
736286550,FB5F_L,SMPCREFB5_2,FB5F,Traced,1400,516,29,1,612,470,629338023
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,57,196,2012,6,1535167929
766963432,FB5X_L,SMPCREFB5_8,FB5X,Traced,1367,425,19,,784,423,536822032
767313151,FB5X_L,SMPCREFB5_8,FB5X,Traced,1504,465,122,9,654,430,599339916
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,4,2,1,3,2704741582
786989471,PFR_b(PB11b)_R4_C5,PFR_b,PFR_b,Traced,1833,200,2,2,1598,110,690237195
797989902,FB5A_L,LALCREFB5,FB5A,Traced,4461,1098,426,2,3452,1083,1941985758
798002859,FB5E_L,CRESMPFB5_2,FB5E,Traced,2195,611,46,4,1701,572,709706874
817678848,FC2C(FQ7)_C5_R,FB1d367CRE,FC2C,Traced,818,115,1,,781,87,261860028
828027702,FB2C_L,SMPCREFB2_1,FB2C,Traced,1178,264,49,,591,257,457328614
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,59,193,1711,4,1049700272
859372751,FB5A_L,LALCREFB5,FB5A,Traced,4336,1041,582,,3211,1031,1759347763
859714144,FB4Q_a_L,CRESMPFB4_5,FB4Q_a,Traced,1663,710,28,,1023,700,824119372
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,43,200,1748,10,1069803729
881458181,PFL1(PB12a)_R3_C6,PFLC,PFL1,Traced,1288,5,1,,512,2,930498996
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,67,186,2694,14,1151779323
885939922,FB1J_L,SLPSIPFB178,FB1J,Traced,1145,272,1,,1075,264,493818064
886281051,SAF(FB9)_L,SlpAF,SAF,Traced,468,138,1,,374,102,281089513
889414782,FB6N_L,CRESMPFB6_1,FB6N,Traced,2013,585,2,,1776,572,888012974
891107336,FB5W_L,SMPCREFB5_7,FB5W,Traced,663,229,11,,421,217,354530421
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,19,2,856,631,732988105
910447181,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3671,15,5,4,3227,10,723546053
910787992,PFL1(PB12a)_R5_C4,PFLC,PFL1,Traced,1194,63,9,42,624,2,868477066
911134017,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3081,11,1,,2756,11,779452568
915951605,FC2B(FQ7)_C6_R,FB1d356CRE,FC2B,Traced,1873,171,1,,1824,129,454521357
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,59,200,2118,10,1366489368
917643796,OA-ASM2(ADM02)_L,,OA-ASM2,Traced,944,928,3,4,1,2,1384441420
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3,1,3695,1698,4148353890
921814579,FB2K_L,LALSMPFB2,FB2K,Traced,869,152,78,,629,150,323635955
922146751,FB4O_L,CRESMPFB4d,FB4O,Traced,1334,690,13,,834,641,676663805
923809011,FB4K_R,CRESMPFB4_3,FB4K,Traced,1752,403,6,,1023,402,1255531817
942172835,PFL3(PB12c)_R4_C4,PB1-7FB1245LAL,PFL3,Traced,2327,5,1,,1918,4,885694660
946300206,FB5G_L,SMPSIPFB56,FB5G,Traced,1311,469,1,,635,411,615556448
946300310,FB6X_L,SMPCREFB6_4,FB6X,Traced,1050,323,2,,544,289,528176750
947685653,FC2C(FQ7)_C7_R,FB1d367CRE,FC2C,Traced,1414,140,6,8,1357,98,379542248
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,36,147,2584,16,1090467478
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,31,5,2235,452,1132282137
956212778,FB4E_L,CRELALFB4_1,FB4E,Traced,770,172,58,,553,163,310611993
977335129,FC2B(FQ7)_C5_R,FB1d356CRE,FC2B,Traced,2108,186,1,,2065,141,440096336
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,53,152,2071,8,1104413493
988269593,FB4E_L,CRELALFB4_1,FB4E,Traced,928,168,119,,516,167,354461974
1002507170,PFL1(PB12a)_R7_C1,PFLC,PFL1,Traced,1392,85,5,39,873,11,1127535523
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,14,16,2073,112,761416202
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,2,2,3598,1723,5331729469
1039068185,FB5O_L,SMPCREFB5_5,FB5O,Traced,1930,574,3,,1411,530,632536517
1039076835,FB5P_L,SMPCREFB5_6,FB5P,Traced,639,229,18,,272,222,393003208
1039775880,FC2B(FQ7)_C6_R,FB1d356CRE,FC2B,Traced,2246,233,4,4,2190,183,482810578
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1,,695,463,2079662476
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,16,2,1941,488,699203176
1049351868,FB5V_L,CRELALFB5,FB5V,Traced,723,155,215,4,121,144,323417675
1049674502,FB5V_L,CRELALFB5,FB5V,Traced,906,285,101,14,443,227,432827534
1050024735,FB5V_L,CRELALFB5,FB5V,Traced,722,178,261,3,114,163,370605789
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,17,12,1645,119,745793303
1070102904,FB5T_L,CRESMPFB5_6,FB5T,Traced,688,188,51,1,217,173,346991797
1073504644,PFR_b(PB11b)_R5_C4,PFR_b,PFR_b,Traced,2215,271,18,7,1900,134,737078778
1081755066,FB4E_L,CRELALFB4_1,FB4E,Traced,766,164,56,,512,161,347911492
1097718901,PFL1(PB12a)_R2_C7,PFLC,PFL1,Traced,1417,9,5,3,961,4,868066626
1100796921,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2493,2346,1,2,2062,2154,1593973477
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,1,1,2099,2147,1579340978
1101142279,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2700,526,175,10,1704,444,713952917
1102514975,FB5J_L,SMPFB5,FB5J,Traced,1614,238,3,,1338,236,465565865
1103577592,FC2C(FQ7)_C8_R,FB1d367CRE,FC2C,Traced,1482,149,1,2,1443,114,352366383
1111753990,FB5V_L,CRELALFB5,FB5V,Traced,741,161,153,,167,158,383954341
1112090340,FB4E_L,CRELALFB4_1,FB4E,Traced,816,188,61,,591,187,324272310
1112777131,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1404,354,112,1,929,347,582749115
1131831702,FB4K_R,CRESMPFB4_3,FB4K,Traced,1656,426,45,,976,421,1356524757
1131836121,FB4L(PPM3-FB3/4-DAN)_L,LALSIPFB4,FB4L,Traced,990,590,1,,975,574,752035105
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,27,5,2441,620,1390563331
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,10,1,384,314,560532390
1132168481,FB4Q_b_L,CRESMPFB4_5,FB4Q_b,Traced,1254,421,12,,888,419,464462071
1132846376,FB5M_L,CRESMPFB5_5,FB5M,Traced,1654,445,2,,1035,438,676094561
1135907207,PFR_b(PB11b)_R6_C3,PFR_b,PFR_b,Traced,2556,229,10,13,2245,129,704924127
1143129698,FB5V_L,CRELALFB5,FB5V,Traced,932,209,298,2,220,202,401889647
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,15,11,1345,111,639370086
1162862472,FB3C_L,LALSMPFB3,FB3C,Traced,598,199,1,,542,199,303383920
1163190900,FB5V_L,CRELALFB5,FB5V,Traced,968,282,188,16,458,237,462718318
1163194940,FB4I_L,LALCREFB4,FB4I,Traced,1454,320,391,9,721,309,578397680
1163199311,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1690,678,135,4,837,626,817671200
1163212068,FB3E_L,SMPLALFB3,FB3E,Traced,812,312,5,,582,256,514265267
1163228703,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1231,361,147,1,836,351,540522164
1163570493,FB5V_L,CRELALFB5,FB5V,Traced,1224,273,330,17,442,215,450487949
1164131530,CL033(ADL27)_L,,CL033,Traced,2105,2961,1,1,,3,3406078343
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,48,160,2093,6,1481422725
1167969148,FC3(FQ8)_C2_R,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,559,141,1,,553,140,332536266
1168664512,FC1C(FQ6)_C9_L,FB2CRE,FC1C,Traced,488,110,2,1,438,53,223552690
1168733095,FB2D_L,LALCREFB2_2,FB2D,Traced,2813,526,31,,2644,520,865382524
1169739559,FB2K_L,LALSMPFB2,FB2K,Traced,752,138,176,,545,138,272803307
1194242354,FB4E_L,CRELALFB4_1,FB4E,Traced,754,194,66,1,618,191,306159092
1194562363,FB5V_L,CRELALFB5,FB5V,Traced,772,185,290,2,109,176,389750439
1198049989,FC2C(FQ7)_C9_R,FB1d367CRE,FC2C,Traced,1073,142,3,5,1020,102,304289885
1200032115,PFL3(PB12c)_R7_C1,PB1-7FB1245LAL,PFL3,Traced,4647,264,60,254,3920,4,1365251696
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,56,175,2113,5,1532312771
1200070420,FB2G_b_L,SIPLALFB2,FB2G_b,Traced,806,468,6,,624,463,641890860
