id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,gL(L) #post,gL(L) #pre,#voxels
360958913,mAL1_L,,mAL1,Traced,237,148,4,1,5,1,458789583
361376643,CRE025_R,,CRE025,Traced,3432,545,3,,2,1,1813320802
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,6,8,54,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,4,11,10,5,2489431605
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,1,4,15,5,3738265959
518670779,MBON33(y2y3)(ADM05)_L,,MBON33,Traced,2990,390,159,12,782,26,1172280543
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,76,21,28,1,3103732460
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,5,,437,3,758606595
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,2,1,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,227,88,12,2,1064093786
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,72,82,1,3,1640712084
579425252,Leaves Body,,,Traced,648,720,11,8,71,21,820954559
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,264,23,5,2,2075693705
581121328,,,,Traced,890,139,49,1,6,1,851399266
604289581,SMP376(PDM08)_L,C-Sm,SMP376,Traced,3551,871,63,35,73,1,1801835068
611089775,MBON35(y2)_L,,MBON35,Traced,14188,465,687,29,2141,13,1891978571
612095452,,,,Traced,329,641,14,14,24,9,603144270
612422902,MBON25(y1y2)_R,,MBON25,Traced,395,181,6,9,68,2,491944011
612755343,CRE023_L,,CRE023,Traced,2297,801,108,53,34,1,2214780944
613126471,CRE044(ADM10)_L,,CRE044,Traced,842,139,167,72,38,1,457318739
643830129,CRE046(ADM10)_L,Sm-C,CRE046,Traced,791,190,21,17,23,1,473774363
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,141,5,2371,14,3202870430
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,22,49,5,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,44,13,91,6,583473753
645228729,,,,Traced,1317,384,28,,139,11,797714747
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,12,11,1,2,642080855
674195939,(ADM10)_L,,,Traced,1211,350,9,1,160,3,626081409
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,1906,73,165,11,2764738281
675187509,CRE033_R,,CRE033,Traced,698,177,9,1,8,2,611705625
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,13,25,46,4,739581338
675528661,CRE024_R,,CRE024,Traced,4337,984,228,6,179,1,2090195593
706862579,CRE059_R,,CRE059,Traced,1466,552,45,29,3,1,1186755402
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,105,132,33,2,1535739624
730013818,ATL007(ADM10)_L,CL-AtIb(c)1,ATL007,Traced,1013,340,467,26,27,3,877968363
732885054,,,,Traced,2241,1050,419,223,52,1,1571345277
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,12,9,21,12,1598047565
768677562,,,,Traced,2537,714,203,19,210,7,1232037610
797981213,CRE043_c(ADM10)_L,,CRE043_c,Traced,837,195,66,17,23,1,352118377
800303089,PPL108_R,,PPL108,Traced,5875,2272,634,524,,2,2618373937
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,3,4,1,135248805
826663057,,,,Traced,375,596,3,,1,2,495908932
826957102,CRE028_R,,CRE028,Traced,746,214,94,68,6,2,748610617
829050526,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,512,113,29,4,37,1,656343401
829059301,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,582,199,4,1,26,3,697448888
829693574,SMP273(PDL21)_L,,SMP273,Traced,1289,901,78,4,51,1,1300546786
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,24,3,71,8,710680979
862792304,(PDM13)_L,,,Traced,536,106,18,11,38,2,766883149
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,795,10,172,1,1561570718
893754136,(MBDLaxon2),,,Traced,2509,1179,390,178,21,1,3754329882
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,19,2,14,1,732988105
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,915,208,288,1,2272675577
922810839,SMP152(ADM11)_L,,SMP152,Traced,507,669,23,19,57,13,604703882
925241334,LAL155_R,,LAL155,Traced,3211,604,29,38,7,4,1395981955
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,31,5,5,2,1132282137
956963070,,,,Traced,11,4,1,,2,3,41230133
984536209,LAL100_R,,LAL100,Traced,3609,1173,58,62,13,3,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,29,31,18,2,540136093
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,45,1,35,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,73,85,8437,41,2278694286
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,8,,108,28,294789403
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,6,8,19,20,4703423471
1013066710,CRE071_R,,CRE071,Traced,1410,623,21,7,3,1,1233966102
1016248907,(PDM13)_L,,,Traced,646,241,29,6,14,1,955221841
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,2,,13692,266,2083130629
1017617049,,,,Traced,1431,765,51,42,62,4,834504936
1017880794,,,,Traced,269,499,9,38,39,3,582186870
1019347828,PAM08_a(y4)_L,,PAM08_a,Traced,719,179,17,,520,150,228381303
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,63,16,16,2,552011293
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,79,2,1407,485,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,3,,13331,335,2226046804
1048250312,LAL155_R,,LAL155,Traced,2385,591,26,46,2,1,1317529596
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,16,2,11,1,699203176
1079687209,(PVL05)_L,,,Traced,157,176,1,8,3,1,165023040
1080386873,,,,Traced,550,431,39,20,23,3,374813331
1081434698,PAM07(y4<y1y2)_L,,PAM07,Traced,736,186,5,,533,150,257320792
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,29,,520,204,265742623
1112431072,CRE028_R,,CRE028,Traced,1347,312,99,60,14,1,873325642
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,10,1,40,2,560532390
1137957299,ATL005(ADM02)_L,CL-AtIb(c)2,ATL005,Traced,1287,277,558,22,50,1,767461289
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,112,217,3,1,606324377
1143807196,,,,Traced,1241,1358,163,223,3,4,1094396908
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,4,,710,165,266956643
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,18,,674,149,317578750
1172446050,PAM08_a(y4)_L,,PAM08_a,Traced,1073,208,5,,677,152,257552610
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,6,9,13,1,547627159
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,,425,149,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,23,,430,120,228273943
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,27,,270,54,216360555
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,5,,161,50,225739136
1298986046,,,,Traced,535,385,242,195,13,10,351298339
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,5,9,10,19,5492683352
1453176009,,,,Traced,2400,56,512,12,648,14,1032341298
1605518663,AOTU019(ADM10)_L,AoSiLVe-LVeSpIp(c),AOTU019,Traced,3228,2111,2428,8,16,7,6781032290
1639031442,,,,Traced,11,4,5,,4,3,62735160
1699738161,,,,Traced,7,4,1,2,2,1,67282046
1731354634,ALBN1(ADL28)_L,,ALBN1,Traced,855,1231,1,,1,1,1369145149
5812980520,CRE029_c_R,,CRE029_c,Traced,834,333,6,,1,5,771099799
5812980743,SMP151(ADM10)_L,,SMP151,Traced,331,572,24,35,9,2,654233320
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,17,1,38,2,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,777,576,15,2,2164861052
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,12,,380,76,211372631
5812982125,CRE032_R,,CRE032,Traced,600,223,1,8,74,4,547536751
5812983404,(PDM13)_L,,,Traced,407,116,36,4,7,1,527816845
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,92,115,1,1,3369272816
5813012242,,,,Traced,127,63,3,7,14,3,318153795
5813020424,PAM12(y3)_L,,PAM12,Traced,842,136,32,,463,87,274285169
5813022076,PAM12(y3)_L,,PAM12,Traced,835,213,25,,579,160,283015676
5813022199,CRE029_a_R,,CRE029_a,Traced,1027,313,2,4,2,6,775964720
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,6,1,7,1,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,19,57,82,18,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,9,14,21,3,903566720
5813033000,MBON34(y2)_R,,MBON34,Traced,604,202,16,30,78,4,485802384
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,80,40,3668,75,1631233720
5813053847,(PVL05)_L,,,Traced,247,229,23,30,3,3,282691036
5813054659,CRE039_R,,CRE039,Traced,514,125,89,10,22,1,399729943
5813057461,AVLP563(PVL15)_L,,AVLP563,Traced,1138,890,3,15,29,2,1021556858
5813057947,PAM08_a(y4)_L,,PAM08_a,Traced,452,127,1,,265,91,143579591
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,59,38,32,18,3343482793
5813058316,CRE043_b(ADM10)_L,,CRE043_b,Traced,872,195,18,9,33,1,390251982
5813058452,CRE106(PVM14)_L,,CRE106,Traced,456,414,25,37,9,1,486257855
5813060672,,,,Traced,375,601,35,94,10,4,491264022
5813061212,PAM08_e(y4)_L,,PAM08_e,Traced,585,153,8,,325,112,243974277
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,211,143,3486100136
5813061262,,,,Traced,839,618,1,6,181,78,793227147
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,153,40,3315,4,1596324019
5813061541,FB4G_L,CRELALFB4_3,FB4G,Traced,3677,710,434,49,28,1,1329389740
5813061560,PAM08_a(y4)_L,,PAM08_a,Traced,555,166,2,,438,136,234715149
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,31,1,481,108,167259973
5813082722,CRE021(ADM06)_L,aSP14e candidates,CRE021,Traced,2268,635,115,25,47,5,1084830460
5813088419,,,,Traced,830,166,62,49,51,1,345224462
5813123042,CRE039_R,,CRE039,Traced,614,176,76,3,37,1,498065951
5813124740,PAM07(y4<y1y2)_L,,PAM07,Traced,604,120,5,,340,82,270313769
5813133444,,,,Traced,541,425,13,7,65,19,362433036
